dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,1.232409954071045,4.208019733428955,ok,,1035,776,259,259,,0,5e-06,False,0.6733458042144775,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.94537686908758,520.1439762115479,12.428553819656372,ok,,26215,19661,6554,6554,0.1577349780127406,9,5e-06,True,519.9007680416107,stratified,stratified split
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7421131697546319,38.24024295806885,1.3193950653076172,ok,,7987,5990,1997,1997,0.5747444108128548,9,5e-06,True,38.19758582115173,stratified,stratified split
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9886969773939548,891.3512582778931,19.4663987159729,ok,,31492,23619,7873,7874,0.0338944992981851,9,5e-06,True,891.0813210010529,stratified,stratified split
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5851717902350814,1681.2838897705078,34.84951591491699,ok,,44236,33177,11059,11060,0.8805075827986002,9,5e-06,True,1680.849643945694,stratified,stratified split
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8173736347472695,890.4878516197205,19.309696435928345,ok,,31492,23619,7873,7874,0.3999139489606023,9,5e-06,True,890.1330332756042,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,76.52150249481201,2.5339815616607666,ok,,8000,6000,2000,2000,0.3217843882739544,9,5e-06,True,76.4282124042511,stratified,stratified split
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.6940298507462687,10.84122633934021,0.3285748958587646,ok,,1072,804,268,268,0.5356537774205208,9,5e-06,True,10.805766820907593,stratified,stratified split
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.913032945736434,264.37148118019104,7.014236688613892,ok,,16512,12384,4128,4128,0.224831863772124,9,5e-06,True,264.22620677948,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7329285714285714,2668.640292406082,53.76030254364014,ok,,56000,42000,14000,14000,0.540709875524044,9,5e-06,True,2668.1071739196777,stratified,stratified split
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8322903629536921,300.4726276397705,7.282541513442993,ok,,31958,23968,7990,7990,0.4397767409682274,9,5e-06,True,300.3693597316742,stratified,stratified split
