dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_ttt,bucket_ttt_vs_baseline,accuracy_baseline,accuracy_ttt,delta_ttt_vs_baseline,delta_pp_ttt_vs_baseline,relative_delta_pct_ttt_vs_baseline,fit_seconds_baseline,fit_seconds_ttt,predict_seconds_baseline,predict_seconds_ttt,ttt_applied_ttt,ttt_steps_ttt,ttt_lr_ttt,ttt_loss_ttt,ttt_update_seconds_ttt,n_train_a_ttt,n_train_b_ttt,n_holdout_c_ttt,n_test_d_ttt,ttt_split_strategy_ttt,ttt_split_reason_ttt,error_type_ttt,error_first_line_ttt,dataset_dir
ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,ok,ok,tie,0.4401544401544401,0.4401544401544401,0.0,0.0,0.0,0.8151788711547852,1.232409954071045,3.5207114219665527,4.208019733428955,False,0,5e-06,,0.6733458042144775,1035,776,259,259,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10,,,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification
Amazon_employee_access,binclass,26215,5243,6554,7,2,ok,ok,improved,0.9443088190418064,0.94537686908758,0.0010680500457735,0.1068050045773594,0.1131038940054958,0.8197550773620605,520.1439762115479,13.53306531906128,12.428553819656372,True,9,5e-06,0.1577349780127406,519.9007680416107,26215,19661,6554,6554,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access
BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,ok,ok,improved,0.7406109163745619,0.7421131697546319,0.00150225338007,0.150225338007004,0.2028397565922832,0.630218505859375,38.24024295806885,2.6772477626800537,1.3193950653076172,True,9,5e-06,0.5747444108128548,38.19758582115173,7987,5990,1997,1997,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization
BNG(breast-w),binclass,31492,6299,7874,9,2,ok,ok,improved,0.9883159766319533,0.9886969773939548,0.0003810007620015,0.0381000762001537,0.0385505011565164,0.619035005569458,891.3512582778931,19.000386476516724,19.4663987159729,True,9,5e-06,0.0338944992981851,891.0813210010529,31492,23619,7873,7874,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w)
BNG(cmc),multiclass,44236,8848,11060,9,3,ok,ok,regressed,0.58625678119349,0.5851717902350814,-0.0010849909584086,-0.1084990958408638,-0.1850709438618065,0.7731552124023438,1681.2838897705078,34.38356924057007,34.84951591491699,True,9,5e-06,0.8805075827986002,1680.849643945694,44236,33177,11059,11060,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/BNG(cmc)
BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,ok,ok,improved,0.8150876301752603,0.8173736347472695,0.0022860045720092,0.2286004572009226,0.2804612028669468,0.6858181953430176,890.4878516197205,19.008645057678223,19.309696435928345,True,9,5e-06,0.3999139489606023,890.1330332756042,31492,23619,7873,7874,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe)
Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,ok,ok,regressed,0.877,0.8745,-0.0024999999999999,-0.2499999999999946,-0.2850627137970292,0.4421720504760742,76.52150249481201,2.512715101242065,2.5339815616607666,True,9,5e-06,0.3217843882739544,76.4282124042511,8000,6000,2000,2000,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset
Basketball_c,binclass,1072,215,268,11,2,ok,ok,regressed,0.7126865671641791,0.6940298507462687,-0.0186567164179104,-1.8656716417910448,-2.6178010471204187,0.3779196739196777,10.84122633934021,0.3998756408691406,0.3285748958587646,True,9,5e-06,0.5356537774205208,10.805766820907593,1072,804,268,268,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Basketball_c
California-Housing-Classification,binclass,16512,3303,4128,8,2,ok,ok,improved,0.9127906976744186,0.913032945736434,0.0002422480620154,0.0242248062015448,0.0265392781316287,0.4982361793518066,264.37148118019104,6.714113712310791,7.014236688613892,True,9,5e-06,0.224831863772124,264.22620677948,16512,12384,4128,4128,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification
Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,ok,ok,regressed,0.7341428571428571,0.7329285714285714,-0.0012142857142857,-0.1214285714285723,-0.1654018291496412,0.8122813701629639,2668.640292406082,53.11316227912903,53.76030254364014,True,9,5e-06,0.540709875524044,2668.1071739196777,56000,42000,14000,14000,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset
Click_prediction_small,binclass,31958,6392,7990,3,2,ok,ok,improved,0.8320400500625782,0.8322903629536921,0.0002503128911138,0.0250312891113879,0.0300842358604076,0.4048318862915039,300.4726276397705,6.997009754180908,7.282541513442993,True,9,5e-06,0.4397767409682274,300.3693597316742,31958,23968,7990,7990,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small
Credit_c,multiclass,80000,16000,20000,22,3,ok,ok,tie,0.792,0.792,0.0,0.0,0.0,1.7806065082550049,1.7806065082550049,111.15165758132936,111.15165758132936,False,0,,,0.0,0,0,0,0,,TTT failed; accuracy replaced with v1.1_baseline accuracy.,baseline_fallback_from_v1.1_baseline,original_error_type=RuntimeError; original_error_first_line=RuntimeError: Caught RuntimeError in replica 0 on device 0.,/home/crc00006699/zh/tabiclv2/data178/Credit_c
Customer_Personality_Analysis,binclass,1792,359,448,24,2,ok,ok,regressed,0.8839285714285714,0.8816964285714286,-0.0022321428571427,-0.2232142857142793,-0.2525252525252454,0.4083352088928222,14.18190598487854,0.7227966785430908,0.6862466335296631,True,9,5e-06,0.2636589342728257,14.118333101272585,1792,1344,448,448,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis
Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,ok,ok,improved,0.7489177489177489,0.7532467532467533,0.0043290043290044,0.4329004329004404,0.578034682080935,0.3530807495117187,10.683709859848022,0.6521532535552979,0.5188422203063965,True,9,5e-06,0.4741747165098786,10.641978979110718,920,690,230,231,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen
E-CommereShippingData,binclass,8799,1760,2200,10,2,ok,ok,regressed,0.6781818181818182,0.6763636363636364,-0.0018181818181818,-0.181818181818183,-0.26809651474531,0.4323041439056396,92.02002143859865,2.8907456398010254,3.005728006362915,True,9,5e-06,0.5000794660300016,91.9247612953186,8799,6599,2200,2200,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData
Employee,binclass,3722,745,931,8,2,ok,ok,improved,0.8528464017185822,0.8549946294307197,0.0021482277121375,0.2148227712137518,0.2518891687657468,0.3660156726837158,26.46536993980408,0.9537360668182372,0.97179913520813,True,9,5e-06,0.37516556866467,26.415345668792725,3722,2791,931,931,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Employee
FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,ok,ok,tie,0.7448101265822785,0.7448101265822785,0.0,0.0,0.0,0.465599775314331,80.67553353309631,3.1942059993743896,3.050803899765014,True,9,5e-06,0.5310987923294306,80.50378727912903,7896,5922,1974,1975,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned
