dataset_name,task_type,baseline_acc,ttt_acc,delta_pp,n_train_eval,n_test_eval,n_features_eval,n_classes_eval,n_num_features_json,n_cat_features_json,imbalance_ratio,domain_tag,source_short,info_json_path
Water_Quality_and_Potability,binclass,0.6417682926829268,0.6219512195121951,-1.981707317073167,2620,656,8,2,8,0,,scientific/health/environment,https://www.kaggle.com/datasets/uom190346a/water-quality-and-potability,data178/Water_Quality_and_Potability/info.json
Basketball_c,binclass,0.7126865671641791,0.6940298507462687,-1.8656716417910448,1072,268,11,2,11,0,,business/customer/finance,https://www.kaggle.com/code/clkmuhammed/credit-score-classification-part-1-data-cleaning#B,data178/Basketball_c/info.json
FOREX_audchf-day-High,binclass,0.7547683923705722,0.7411444141689373,-1.3623978201634968,1466,367,10,2,10,0,1.0276548672566372,financial/FOREX; openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=41875&sort=runs,data178/FOREX_audchf-day-High/info.json
FOREX_audjpy-day-High,binclass,0.7656675749318801,0.7547683923705722,-1.089918256130784,1465,367,10,2,10,0,1.0561167227833894,financial/FOREX; openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=41882&sort=runs,data178/FOREX_audjpy-day-High/info.json
statlog,binclass,0.745,0.735,-1.0000000000000009,800,200,20,2,7,13,,openml/synthetic-benchmark; business/customer/finance,https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data,data178/statlog/info.json
sports_articles_for_objectivity_analysis,binclass,0.855,0.845,-1.0000000000000009,800,200,59,2,57,2,,text/sequence/symbolic,https://archive.ics.uci.edu/dataset/450/sports+articles+for+objectivity+analysis,data178/sports_articles_for_objectivity_analysis/info.json
QSAR_biodegradation,binclass,0.8862559241706162,0.8767772511848341,-0.9478672985782088,843,211,41,2,41,0,,scientific/health/environment,https://archive.ics.uci.edu/dataset/254/qsar+biodegradation,data178/QSAR_biodegradation/info.json
wine-quality-red,multiclass,0.66875,0.659375,-0.9374999999999912,1279,320,4,6,4,0,68.1,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=40691&sort=runs,data178/wine-quality-red/info.json
MIC,binclass,0.9090909090909092,0.9,-0.909090909090915,1319,330,104,2,9,95,5.416342412451362,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=45648&sort=runs,data178/MIC/info.json
cmc,multiclass,0.5898305084745763,0.5830508474576271,-0.6779661016949157,1178,295,9,3,2,7,1.8888888888888888,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=23&sort=runs,data178/cmc/info.json
rice_cammeo_and_osmancik,binclass,0.9291338582677166,0.9225721784776902,-0.6561679790026309,3048,762,7,2,7,0,,other,https://archive.ics.uci.edu/dataset/545/rice+cammeo+and+osmancik,data178/rice_cammeo_and_osmancik/info.json
turiye_student_evaluation,multiclass,0.5223367697594502,0.5163230240549829,-0.6013745704467333,4656,1164,32,5,30,2,,other,https://archive.ics.uci.edu/dataset/262/turkiye+student+evaluation,data178/turiye_student_evaluation/info.json
waveform_database_generator,multiclass,0.356,0.35,-0.6000000000000005,3999,1000,21,3,21,0,,openml/synthetic-benchmark,https://archive.ics.uci.edu/dataset/108/waveform+database+generator+version+2,data178/waveform_database_generator/info.json
first-order-theorem-proving,multiclass,0.6372549019607843,0.6315359477124183,-0.5718954248365993,4894,1224,51,6,51,0,5.255144032921811,openml/synthetic-benchmark; text/sequence/symbolic,https://www.openml.org/search?type=data&status=active&id=1475&sort=runs,data178/first-order-theorem-proving/info.json
abalone,multiclass,0.6519138755980861,0.6471291866028708,-0.4784688995215336,3341,836,8,3,7,1,1.093726379440665,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=1557&sort=runs,data178/abalone/info.json
splice,multiclass,0.9561128526645768,0.95141065830721,-0.470219435736674,2552,638,60,3,0,60,2.1577574967405475,openml/synthetic-benchmark; text/sequence/symbolic; business/customer/finance,https://www.openml.org/search?type=data&status=active&id=46&sort=runs,data178/splice/info.json
dna,multiclass,0.9655172413793104,0.9608150470219436,-0.470219435736674,2548,638,180,3,0,180,2.1620915032679737,openml/synthetic-benchmark; text/sequence/symbolic; business/customer/finance,https://www.openml.org/search?type=data&status=active&id=40670&sort=runs,data178/dna/info.json
led24,multiclass,0.734375,0.7296875,-0.4687499999999955,2560,640,24,10,0,24,1.1385135135135136,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=40677&sort=runs,data178/led24/info.json
ozone-level-8hr,binclass,0.9566074950690336,0.9526627218934912,-0.3944773175542426,2027,507,72,2,72,0,14.8375,openml/synthetic-benchmark; scientific/health/environment,https://www.openml.org/search?type=data&status=active&id=1487&sort=runs,data178/ozone-level-8hr/info.json
wine,binclass,0.7749510763209393,0.7710371819960861,-0.3913894324853229,2043,511,4,2,4,0,1.0,openml/synthetic-benchmark; business/customer/finance,https://www.openml.org/search?type=data&status=active&id=44091&sort=runs,data178/wine/info.json
ada,binclass,0.8481927710843373,0.844578313253012,-0.3614457831325302,3317,830,48,2,48,0,3.0301263362487854,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=41156&sort=runs,data178/ada/info.json
spambase,binclass,0.9598262757871878,0.9565689467969598,-0.3257328990228014,3680,921,57,2,57,0,1.5377826806398236,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=44&sort=runs,data178/spambase/info.json
