dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,1.2375309467315674,3.765934467315674,ok,,1035,776,259,259,,0,5e-06,False,0.6766409873962402,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9452242905096124,462.6721565723419,12.481653213500977,ok,,26215,19661,6554,6554,0.1578755276277661,10,5e-06,True,462.42764377594,stratified,stratified split
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7406109163745619,41.78903007507324,1.4258956909179688,ok,,7987,5990,1997,1997,0.5770065113902092,10,5e-06,True,41.75478458404541,stratified,stratified split
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9885699771399544,665.7556374073029,19.49833655357361,ok,,31492,23619,7873,7874,0.0342587237246334,10,5e-06,True,665.486266374588,stratified,stratified split
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5863471971066908,1257.73534989357,34.76707601547241,ok,,44236,33177,11059,11060,0.8812226206064224,10,5e-06,True,1257.2982079982758,stratified,stratified split
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8157226314452629,666.3818671703339,19.412928104400635,ok,,31492,23619,7873,7874,0.4009722732007503,10,5e-06,True,666.0365631580353,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.874,57.75481414794922,2.578958511352539,ok,,8000,6000,2000,2000,0.3229673057794571,10,5e-06,True,57.660138845443726,stratified,stratified split
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.6940298507462687,10.537545680999756,0.3491957187652588,ok,,1072,804,268,268,0.5380537882447243,10,5e-06,True,10.502070665359495,stratified,stratified split
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.91109496124031,197.90862035751343,7.05582857131958,ok,,16512,12384,4128,4128,0.2267432827502489,10,5e-06,True,197.7658491134644,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7331428571428571,1992.861611366272,53.67673587799072,ok,,56000,42000,14000,14000,0.5409773588180542,10,5e-06,True,1992.3203094005585,stratified,stratified split
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8321652065081352,331.7694070339203,7.432254552841186,ok,,31958,23968,7990,7990,0.4398280158638954,10,5e-06,True,331.67156457901,stratified,stratified split
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,0,0,0,0,0,0.792,1.7806065082550049,111.15165758132936,ok,"baseline_fallback_from_v1.1_baseline; original_error: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 496, in forward
    out = self._train_forward(X, y_train, d=d, embed_with_test=embed_with_test)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 334, in _train_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 269, in forward
    representations = self._train_forward(embeddings, d)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 204, in _train_forward
    representations = self._aggregate_embeddings(embeddings, key_mask)  # (B, T, C*E)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 147, in _aggregate_embeddings
    embeddings = block(embeddings, key_padding_mask=key_mask, rope=rope)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 454, in forward
    attn_result = self._attn_block(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 506, in _attn_block
    result = self.attn(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 269, in forward
    return multi_head_attention_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/attention.py"", line 287, in multi_head_attention_forward
    attn_output = sdpa_with_flattened_batch(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/attention.py"", line 118, in sdpa_with_flattened_batch
    out = F.scaled_dot_product_attention(q, k, v, attn_mask, dropout_p)
RuntimeError: CUDA error: invalid configuration argument
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.

",0,0,0,0,,0,,False,0.0,,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8816964285714286,12.626205921173096,0.7263021469116211,ok,,1792,1344,448,448,0.2664437852799892,10,5e-06,True,12.55846071243286,stratified,stratified split
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7445887445887446,10.780521154403688,0.5235939025878906,ok,,920,690,230,231,0.4820574671030044,10,5e-06,True,10.73451280593872,stratified,stratified split
