dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,1.2287731170654297,3.82518482208252,ok,,1035,776,259,259,,0,5e-06,False,0.680800199508667,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9455294476655478,463.32961654663086,12.519830703735352,ok,,26215,19661,6554,6554,0.1573767056688666,10,5e-06,True,463.086056470871,stratified,stratified split
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7416124186279419,41.86969876289368,1.4476649761199951,ok,,7987,5990,1997,1997,0.5725170895457268,10,5e-06,True,41.83390212059021,stratified,stratified split
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9885699771399544,666.4476218223572,19.583720684051517,ok,,31492,23619,7873,7874,0.0336693227291107,10,5e-06,True,666.1733863353729,stratified,stratified split
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5853526220614829,1259.9663865566254,34.82612466812134,ok,,44236,33177,11059,11060,0.8800346627831459,10,5e-06,True,1259.5364394187927,stratified,stratified split
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.817246634493269,667.0300018787384,19.50053095817566,ok,,31492,23619,7873,7874,0.3994033895432949,10,5e-06,True,666.6789174079895,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,58.3399178981781,2.5632965564727783,ok,,8000,6000,2000,2000,0.3207118138670921,10,5e-06,True,58.24778771400452,stratified,stratified split
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.6940298507462687,10.480143785476685,0.340275764465332,ok,,1072,804,268,268,0.534078024327755,10,5e-06,True,10.44600248336792,stratified,stratified split
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9125484496124032,198.69866466522217,7.094283580780029,ok,,16512,12384,4128,4128,0.2235381752252578,10,5e-06,True,198.55717992782596,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7329285714285714,2001.432661294937,53.663103103637695,ok,,56000,42000,14000,14000,0.5405298843979836,10,5e-06,True,2000.89568400383,stratified,stratified split
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8322903629536921,332.09404492378235,7.4826819896698,ok,,31958,23968,7990,7990,0.4397372603416443,10,5e-06,True,331.9961421489716,stratified,stratified split
