dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,1.2229554653167725,3.768056154251098,ok,,1035,776,259,259,,0,5e-06,False,0.6694679260253906,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9450717119316449,461.3165104389191,12.352217435836792,ok,,26215,19661,6554,6554,0.1587244374677539,10,5e-06,True,461.0752508640289,stratified,stratified split
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7376064096144216,41.56977295875549,1.3816649913787842,ok,,7987,5990,1997,1997,0.5840734727680683,10,5e-06,True,41.534088134765625,stratified,stratified split
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9886969773939548,664.9231381416321,19.44427609443665,ok,,31492,23619,7873,7874,0.0350647955201566,10,5e-06,True,664.6518559455872,stratified,stratified split
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5869801084990959,1254.144454717636,34.69949913024902,ok,,44236,33177,11059,11060,0.8827633112668991,10,5e-06,True,1253.7228684425354,stratified,stratified split
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8152146304292609,663.594241142273,19.29276013374329,ok,,31492,23619,7873,7874,0.4028789959847927,10,5e-06,True,663.2359719276428,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,57.53704929351807,2.522920846939087,ok,,8000,6000,2000,2000,0.3267742656171322,10,5e-06,True,57.4487054347992,stratified,stratified split
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,10.566338300704956,0.3297605514526367,ok,,1072,804,268,268,0.5417288690805435,10,5e-06,True,10.532081365585327,stratified,stratified split
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9106104651162792,197.21062111854556,7.011000633239746,ok,,16512,12384,4128,4128,0.2320045940577983,10,5e-06,True,197.06616258621216,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7337142857142858,1992.1683926582336,53.54518365859985,ok,,56000,42000,14000,14000,0.5416155382990837,10,5e-06,True,1991.6329605579376,stratified,stratified split
