dataset,key,layer,group,shape,numel,base_norm,current_norm,delta_l2,rel_l2,mean_abs_delta,median_abs_delta,max_abs_delta,rms_delta,changed_fraction_exact,changed_fraction_gt_1e_12,cosine_similarity
Amazon,icl_predictor.tf_icl.blocks.0.linear1.weight,block_00,ffn.linear1,1024x512,524288,23.014326095581055,23.01463508605957,0.021530088037252426,0.0009355080808290733,2.615284756757319e-05,2.6175344828516245e-05,5.075335502624512e-05,2.9734708036823514e-05,0.9999885559082031,0.9999885559082031,1.0000181198120117
Amazon,icl_predictor.tf_icl.blocks.0.linear1.bias,block_00,ffn.linear1,1024,1024,0.9378963708877563,0.9380075931549072,0.0009611304267309606,0.001024772519185875,2.7340087399352342e-05,2.6574591174721718e-05,4.9877213314175606e-05,3.0035322546018512e-05,1.0,1.0,0.9999995231628418
Amazon,icl_predictor.tf_icl.blocks.0.linear2.weight,block_00,ffn.linear2,512x1024,524288,14.457690238952637,14.457024574279785,0.021595900878310204,0.001493731053949679,2.622035208332818e-05,2.6712194085121155e-05,5.0809234380722046e-05,2.9825581474675176e-05,0.9999904632568359,0.9999904632568359,1.0000228881835938
Amazon,icl_predictor.tf_icl.blocks.0.linear2.bias,block_00,ffn.linear2,512,512,0.3319941759109497,0.3319735527038574,0.0005970647907815874,0.0017984194726956258,2.3137490643421188e-05,2.294324804097414e-05,5.035896901972592e-05,2.638678316074935e-05,1.0,1.0,0.9999983310699463
Amazon,icl_predictor.tf_icl.blocks.0.norm1.weight,block_00,norm1,512,512,21.398300170898438,21.398651123046875,0.0007134236511774361,3.334020204780821e-05,2.8586480766534805e-05,3.0040740966796875e-05,5.060434341430664e-05,3.152918101310699e-05,1.0,1.0,1.0000001192092896
Amazon,icl_predictor.tf_icl.blocks.0.norm1.bias,block_00,norm1,512,512,1.572695016860962,1.5727819204330444,0.0005975646781735122,0.00037996221248659393,2.3612543373019435e-05,2.438575029373169e-05,4.945695400238037e-05,2.6408874841062906e-05,1.0,1.0,1.0
Amazon,icl_predictor.tf_icl.blocks.0.norm2.weight,block_00,norm2,512,512,20.691320419311523,20.691377639770508,0.0006617199978791177,3.198055921368326e-05,2.5966903194785118e-05,2.7120113372802734e-05,5.036592483520508e-05,2.9244180880098903e-05,0.998046875,0.998046875,0.9999998807907104
Amazon,icl_predictor.tf_icl.blocks.0.norm2.bias,block_00,norm2,512,512,0.8688327074050903,0.8687210083007812,0.0005572702502831817,0.0006414010954386354,2.219743146270048e-05,2.170167863368988e-05,5.00604510307312e-05,2.4628096740102574e-05,1.0,1.0,0.9999998807907104
Amazon,icl_predictor.tf_icl.blocks.0.attn.in_proj_weight,block_00,attn.in_proj,1536x512,786432,33.16353988647461,33.16461181640625,0.028589509427547455,0.0008620765311970365,2.8602407837752253e-05,2.9917806386947632e-05,5.073845386505127e-05,3.22390488029347e-05,0.9999873042106628,0.9999873042106628,1.0000288486480713
Amazon,icl_predictor.tf_icl.blocks.0.attn.in_proj_bias,block_00,attn.in_proj,1536,1536,1.1678119897842407,1.1678493022918701,0.0008992994553409517,0.0007700721205185877,1.630467886570841e-05,1.291884109377861e-05,5.0502363592386246e-05,2.2946096071873134e-05,0.9993489384651184,0.9993489384651184,0.9999997615814209
