dataset,layer,num_tensors,numel,delta_l2,max_abs_delta,mean_abs_delta,rms_delta,rel_l2,changed_fraction_gt_1e_12
Amazon,block_00,12,2102784,0.044712404190388765,5.0809234380722046e-05,2.71905867047003e-05,3.0812191012345564e-05,0.0010965150917939537,0.9999876428556059
Amazon,block_01,12,2102784,0.0421906864225823,5.0766393542289734e-05,2.5315051113222952e-05,2.9078746697464428e-05,0.0009198187413345967,0.9999781168229916
Amazon,block_02,12,2102784,0.044215990934672184,5.077198147773743e-05,2.6787677520608785e-05,3.048696509492408e-05,0.0010433505947880465,0.9999857331849027
Amazon,block_03,12,2102784,0.04251444050157884,5.077710375189781e-05,2.552138167555263e-05,2.9300130447228493e-05,0.0010084469145148858,0.9999738367537904
Amazon,block_04,12,2102784,0.044398119960538954,5.078059621155262e-05,2.6881316043080933e-05,3.061160984645957e-05,0.0010267951751658812,0.9999738441844157
Amazon,block_05,12,2102784,0.04526987096257431,5.078921094536781e-05,2.751054500708357e-05,3.121080888807445e-05,0.0010462504865442026,0.9999690960148462
Amazon,block_06,12,2102784,0.045742500153155424,5.07645308971405e-05,2.7871914072337137e-05,3.153366148661575e-05,0.0009781749661158042,0.9999790753591429
Amazon,block_07,12,2102784,0.04554376696068093,5.07943332195282e-05,2.7648708446131962e-05,3.14041793202409e-05,0.000991424015840984,0.9999762219845131
Amazon,block_08,12,2102784,0.04561654787421455,5.0766742788255215e-05,2.7739028407790893e-05,3.145335772084602e-05,0.0009904194365197843,0.999970047163911
Amazon,block_09,12,2102784,0.04638844854628318,5.077477544546127e-05,2.8446963309553767e-05,3.1961271779138414e-05,0.0009694428889538196,0.9999781316697293
Amazon,block_10,12,2102784,0.046493567205701206,5.078315734863281e-05,2.87978398976108e-05,3.205796438888311e-05,0.0009669343709101845,0.9999790753591429
Amazon,block_11,12,2102784,0.045454456487560316,5.072099156677723e-05,2.842299438409484e-05,3.133506104074853e-05,0.0011074651691596006,0.9999881035543747
Amazon,decoder,4,535562,0.02370042425221715,5.0712376832962036e-05,2.9602540886686164e-05,3.234978588826217e-05,0.0009573493420190105,0.9999178430843295
Amazon,ln,2,1024,0.0009911051414727146,5.036592483520508e-05,2.8716574888676405e-05,3.096027117693214e-05,0.000909084356182867,0.999023438
Amazon,y_encoder,2,5632,0.001156611309419345,5.0615519285202026e-05,7.1019828531213784e-06,1.4489802211887484e-05,7.987484074239556e-05,0.27272727543657477
BLE,block_00,12,2102784,0.05357108176821646,5.0807371735572815e-05,3.3805561105834565e-05,3.6939430016433174e-05,0.0013190670497644432,0.9999909643596299
BLE,block_01,12,2102784,0.052596148879831474,5.0805509090423584e-05,3.3147564571961975e-05,3.6267929374428913e-05,0.0011376953362384713,0.9999885939756449
BLE,block_02,12,2102784,0.05294299941498771,5.08064404129982e-05,3.347316944219474e-05,3.6508345386724073e-05,0.0012468949638570303,0.9999890695356644
BLE,block_03,12,2102784,0.05200783829238502,5.079992115497589e-05,3.25763594309172e-05,3.5861666555595476e-05,0.001227135803336928,0.9999838235432253
BLE,block_04,12,2102784,0.0530469502425943,5.0809234380722046e-05,3.3398143858342564e-05,3.6575907496173844e-05,0.0012225589281431343,0.9999847746342384
BLE,block_05,12,2102784,0.05278585237114586,5.0809234380722046e-05,3.3122428230663534e-05,3.639769052947869e-05,0.0012164127782626096,0.9999895302489462
BLE,block_06,12,2102784,0.05123393525970074,5.0809234380722046e-05,3.179701837745944e-05,3.532427900351044e-05,0.001098687512270608,0.9999814605753526
BLE,block_07,12,2102784,0.05235248988313336,5.0805509090423584e-05,3.257691305475856e-05,3.610128740281312e-05,0.0011413187160554698,0.9999814531447274
BLE,block_08,12,2102784,0.05288068211117271,5.080879054730758e-05,3.300400109991278e-05,3.6464993429465896e-05,0.0011417644236372537,0.9999866769033422
BLE,block_09,12,2102784,0.05408184897920591,5.081668496131897e-05,3.408350595662546e-05,3.729317147659363e-05,0.0011271785748432842,0.9999923910542012
BLE,block_10,12,2102784,0.0542708428741782,5.081668496131897e-05,3.4135394498841584e-05,3.742044890325173e-05,0.0011288924596387045,0.9999881035543747
BLE,block_11,12,2102784,0.05533533943106964,5.079875700175762e-05,3.4906160100151595e-05,3.815638347458338e-05,0.001351156081043239,0.9999842991032448
BLE,decoder,4,535562,0.02881298112044387,5.0807371735572815e-05,3.6352068128204535e-05,3.9348122820062914e-05,0.0011632804154986384,0.9999570542307514
BLE,ln,2,1024,0.00122236451765714,5.072355270385742e-05,3.482732063275762e-05,3.818526510370926e-05,0.0011221811555564237,1
