dataset,layer,group,num_tensors,numel,mean_abs_delta,rel_l2,max_abs_delta,changed_fraction_gt_1e_12
Amazon,block_00,attn.in_proj,2,787968,2.2453543351730332e-05,0.000816074325857812,5.073845386505127e-05,0.9996681213378906
Amazon,block_00,attn.out_proj,2,262656,2.4793965167191345e-05,0.0014743767599819492,5.0786882638931274e-05,0.9999942779541016
Amazon,block_00,ffn.linear1,2,525312,2.6746467483462766e-05,0.0009801403000074742,5.075335502624512e-05,0.9999942779541016
Amazon,block_00,ffn.linear2,2,524800,2.4678921363374684e-05,0.0016460752633226524,5.0809234380722046e-05,0.999995231628418
Amazon,block_00,norm1,2,1024,2.609951206977712e-05,0.00020665120726720107,5.060434341430664e-05,1.0
Amazon,block_00,norm2,2,1024,2.40821673287428e-05,0.00033669082732615935,5.036592483520508e-05,0.9990234375
Amazon,block_01,attn.in_proj,2,787968,2.0090395992156118e-05,0.0007719074668786771,5.072169005870819e-05,0.9993362426757812
Amazon,block_01,attn.out_proj,2,262656,2.343565120099811e-05,0.0013844304698947877,5.074217915534973e-05,0.9999904632568359
Amazon,block_01,ffn.linear1,2,525312,2.4209171897382475e-05,0.0008897980079598333,5.074217915534973e-05,0.9999876022338867
Amazon,block_01,ffn.linear2,2,524800,2.4046385988185648e-05,0.0016390158918585065,5.0766393542289734e-05,0.9999961853027344
Amazon,block_01,norm1,2,1024,2.4250390197266825e-05,0.00022759658095468908,5.042552947998047e-05,0.9990234375
Amazon,block_01,norm2,2,1024,2.425963248242624e-05,0.0005195033317468209,5.062669515609741e-05,0.9990234375
Amazon,block_02,attn.in_proj,2,787968,2.1330368326744065e-05,0.0007898113208570835,5.073637294117361e-05,0.9986921846866608
Amazon,block_02,attn.out_proj,2,262656,2.4904202291509137e-05,0.0015790086001595638,5.074590444564819e-05,0.9999942779541016
Amazon,block_02,ffn.linear1,2,525312,2.950471935037058e-05,0.001060141519694173,5.0751492381095886e-05,0.9999904632568359
Amazon,block_02,ffn.linear2,2,524800,2.6106861696462147e-05,0.002093756085207092,5.077198147773743e-05,0.9999961853027344
Amazon,block_02,norm1,2,1024,2.4382392439292744e-05,0.0003392975140802667,5.060434341430664e-05,1.0
Amazon,block_02,norm2,2,1024,2.8131320505053736e-05,0.000666273320486947,5.0187110900878906e-05,1.0
Amazon,block_03,attn.in_proj,2,787968,1.9315034023748012e-05,0.000631334548104213,5.0768256187438965e-05,0.9986794590950012
Amazon,block_03,attn.out_proj,2,262656,2.4117269276757725e-05,0.0014256843313800696,5.0751492381095886e-05,0.9999923706054688
Amazon,block_03,ffn.linear1,2,525312,2.579188185336534e-05,0.0008634041499000456,5.075894296169281e-05,0.9999914169311523
Amazon,block_03,ffn.linear2,2,524800,2.454489094816381e-05,0.0016308170049375947,5.077710375189781e-05,0.9999914169311523
Amazon,block_03,norm1,2,1024,2.0295174181228504e-05,0.0004611467773155165,5.030632019042969e-05,1.0
Amazon,block_03,norm2,2,1024,2.468406455591321e-05,0.0005702012517686637,5.048513412475586e-05,1.0
Amazon,block_04,attn.in_proj,2,787968,2.243016479042126e-05,0.0006375051153420109,5.0768256187438965e-05,0.9977060854434967
Amazon,block_04,attn.out_proj,2,262656,2.607899295981042e-05,0.0011278991088255386,5.07645308971405e-05,0.9999961853027344
Amazon,block_04,ffn.linear1,2,525312,2.2668199562758673e-05,0.0008140527153505087,5.075335502624512e-05,0.9999856948852539
Amazon,block_04,ffn.linear2,2,524800,2.548085194575833e-05,0.0017165320224371257,5.078059621155262e-05,0.9999942779541016
Amazon,block_04,norm1,2,1024,2.4709434001124464e-05,0.0005307370491974764,5.035474896430969e-05,0.9990234375
Amazon,block_04,norm2,2,1024,2.3185226382338442e-05,0.00042021592073217674,5.066394805908203e-05,1.0
Amazon,block_05,attn.in_proj,2,787968,2.2927792997506913e-05,0.0006275386525652378,5.076080560684204e-05,0.9957504272460938
Amazon,block_05,attn.out_proj,2,262656,2.4720562578295358e-05,0.0012515449247066488,5.077198147773743e-05,0.9999961853027344
Amazon,block_05,ffn.linear1,2,525312,2.4055851099547e-05,0.0007720920984331335,5.077640525996685e-05,0.9999885559082031
Amazon,block_05,ffn.linear2,2,524800,2.609122748253867e-05,0.0015672694416993612,5.078921094536781e-05,0.9999923706054688
Amazon,block_05,norm1,2,1024,2.564728583820397e-05,0.000552013539431964,5.012005567550659e-05,1.0
Amazon,block_05,norm2,2,1024,2.3022339519229718e-05,0.0003851965990796614,5.048513412475586e-05,0.998046875
Amazon,block_06,attn.in_proj,2,787968,2.3651828087167814e-05,0.0005542335356979567,5.07645308971405e-05,0.9960861206054688
Amazon,block_06,attn.out_proj,2,262656,2.451535237923963e-05,0.0009645383373096874,5.0759874284267426e-05,0.9999904632568359
Amazon,block_06,ffn.linear1,2,525312,2.628534821269568e-05,0.000836293584385644,5.075521767139435e-05,0.9999895095825195
Amazon,block_06,ffn.linear2,2,524800,2.5795907276915386e-05,0.0014437599445230067,5.075335502624512e-05,0.9999971389770508
Amazon,block_06,norm1,2,1024,2.493246938684024e-05,0.0005681366634656933,5.054473876953125e-05,0.9990234375
Amazon,block_06,norm2,2,1024,2.3712657821306493e-05,0.00041897569822099034,5.060434341430664e-05,1.0
Amazon,block_07,attn.in_proj,2,787968,2.1524041585507803e-05,0.00056456538175676,5.077384412288666e-05,0.9967333376407623
Amazon,block_07,attn.out_proj,2,262656,2.576574479462579e-05,0.0010378246532166727,5.07943332195282e-05,0.9999904632568359
Amazon,block_07,ffn.linear1,2,525312,2.7284429052087944e-05,0.0008676578557502705,5.07645308971405e-05,0.9999895095825195
Amazon,block_07,ffn.linear2,2,524800,2.5807786187215243e-05,0.0014417221444424058,5.0766393542289734e-05,0.999995231628418
Amazon,block_07,norm1,2,1024,2.490102269803174e-05,0.0005912062942039661,5.066394805908203e-05,1.0
Amazon,block_07,norm2,2,1024,2.5843456569418777e-05,0.00047078415318901716,5.036592483520508e-05,0.9990234375
Amazon,block_08,attn.in_proj,2,787968,2.1803107301821e-05,0.0006260768328527174,5.075708031654358e-05,0.9964033961296082
Amazon,block_08,attn.out_proj,2,262656,2.6404826712678187e-05,0.001026257495470707,5.075894296169281e-05,0.9999904632568359
Amazon,block_08,ffn.linear1,2,525312,2.6011865884356666e-05,0.0008388820826378332,5.076359957456589e-05,0.9994974136352539
Amazon,block_08,ffn.linear2,2,524800,2.6700825401348993e-05,0.00145305102935437,5.0766742788255215e-05,0.9999961853027344
Amazon,block_08,norm1,2,1024,2.5093252588703763e-05,0.0005303749706448152,5.054473876953125e-05,0.998046875
Amazon,block_08,norm2,2,1024,2.479502381902421e-05,0.00048825648757147805,5.066394805908203e-05,1.0
Amazon,block_09,attn.in_proj,2,787968,2.1237608507362893e-05,0.000580066934058573,5.077477544546127e-05,0.999011367559433
Amazon,block_09,attn.out_proj,2,262656,2.5351231670356356e-05,0.0010302703592581903,5.074217915534973e-05,0.9999942779541016
Amazon,block_09,ffn.linear1,2,525312,2.956186290248297e-05,0.0009598179453369847,5.074683576822281e-05,0.9999895095825195
Amazon,block_09,ffn.linear2,2,524800,2.8739680601574946e-05,0.0015254714446225402,5.075708031654358e-05,0.9999933242797852
Amazon,block_09,norm1,2,1024,2.3882535970187746e-05,0.00045840733627921197,5.0698406994342804e-05,0.9970703125
Amazon,block_09,norm2,2,1024,2.7482676159706898e-05,0.0005432971947317101,5.042552947998047e-05,1.0
Amazon,block_10,attn.in_proj,2,787968,2.3175285605248064e-05,0.0006484450103433888,5.078315734863281e-05,0.9980335235595703
Amazon,block_10,attn.out_proj,2,262656,2.8414986445568502e-05,0.0012928722417732221,5.072169005870819e-05,0.9999980926513672
Amazon,block_10,ffn.linear1,2,525312,2.9277084649947938e-05,0.0009114407320207921,5.077570676803589e-05,0.9999933242797852
Amazon,block_10,ffn.linear2,2,524800,2.8169716642878484e-05,0.0011198539320692604,5.0708651542663574e-05,0.9999923706054688
Amazon,block_10,norm1,2,1024,2.7377101105230395e-05,0.00046622951020138957,5.054473876953125e-05,0.9990234375
Amazon,block_10,norm2,2,1024,2.7910337848879863e-05,0.0008140798421420663,5.054473876953125e-05,1.0
Amazon,block_11,attn.in_proj,2,787968,2.3599621272296645e-05,0.0007172150801978299,5.072099156677723e-05,0.9967415928840637
Amazon,block_11,attn.out_proj,2,262656,2.6765232178149745e-05,0.0016308166448864962,5.049724131822586e-05,0.9999980926513672
Amazon,block_11,ffn.linear1,2,525312,2.802321978379041e-05,0.0008819560039073462,5.0691887736320496e-05,0.9999933242797852
Amazon,block_11,ffn.linear2,2,524800,2.8227993425389286e-05,0.0019373624398167394,5.062296986579895e-05,0.9999980926513672
Amazon,block_11,norm1,2,1024,2.8271934752410743e-05,0.0005829503098138182,5.0008296966552734e-05,1.0
Amazon,block_11,norm2,2,1024,2.7132595278089866e-05,0.0004753250871184007,5.030632019042969e-05,1.0
Amazon,decoder,decoder,4,535562,2.482288937244448e-05,0.0009032548031967869,5.0712376832962036e-05,0.9990933388471603
Amazon,ln,ln,2,1024,2.8716574888676405e-05,0.000909084356182867,5.036592483520508e-05,0.9990234375
Amazon,y_encoder,y_encoder,2,5632,1.6705481812095968e-05,0.00013580305933463344,5.0615519285202026e-05,0.6000000014901161
BLE,block_00,attn.in_proj,2,787968,2.8033239686919842e-05,0.000980254876029551,5.0807371735572815e-05,0.9999961853027344
BLE,block_00,attn.out_proj,2,262656,3.1583215786668006e-05,0.001838725311371651,5.080178380012512e-05,0.9999961853027344
BLE,block_00,ffn.linear1,2,525312,3.257807111367583e-05,0.0011754860305886491,5.079724360257387e-05,0.9999923706054688
BLE,block_00,ffn.linear2,2,524800,3.143886806356022e-05,0.0020484081239583144,5.080178380012512e-05,0.9999971389770508
BLE,block_00,norm1,2,1024,3.495543933240697e-05,0.00029048510832319427,5.066394805908203e-05,1.0
BLE,block_00,norm2,2,1024,2.9795592126902193e-05,0.000430238099245803,5.066394805908203e-05,1.0
BLE,block_01,attn.in_proj,2,787968,2.7912739824387245e-05,0.0010158057858774576,5.079805850982666e-05,0.9996681213378906
BLE,block_01,attn.out_proj,2,262656,3.14088983941474e-05,0.0017790209594386462,5.0805509090423584e-05,0.9999980926513672
BLE,block_01,ffn.linear1,2,525312,3.069648300879635e-05,0.001093339978793522,5.080178380012512e-05,0.999995231628418
BLE,block_01,ffn.linear2,2,524800,3.1988513001124375e-05,0.002105249150455544,5.079992115497589e-05,0.9999933242797852
BLE,block_01,norm1,2,1024,3.442293564148713e-05,0.0003104140919008052,5.054473876953125e-05,1.0
BLE,block_01,norm2,2,1024,3.2325948268407956e-05,0.0007116076529738657,5.065789446234703e-05,1.0
BLE,block_02,attn.in_proj,2,787968,2.7659285478875972e-05,0.0009726398915277836,5.080178380012512e-05,0.9996681213378906
BLE,block_02,attn.out_proj,2,262656,3.2087094950838946e-05,0.0019639293602923542,5.0798989832401276e-05,0.9999980926513672
BLE,block_02,ffn.linear1,2,525312,3.266956809966359e-05,0.0011583256701467183,5.0790607929229736e-05,0.999995231628418
BLE,block_02,ffn.linear2,2,524800,3.210664362995885e-05,0.002503458863195955,5.08064404129982e-05,0.9999942779541016
BLE,block_02,norm1,2,1024,3.4007252907031216e-05,0.0004566201679018454,5.078315734863281e-05,1.0
BLE,block_02,norm2,2,1024,3.2841206120792776e-05,0.0007447281246147654,5.065780715085566e-05,1.0
BLE,block_03,attn.in_proj,2,787968,2.6445464754942805e-05,0.0008244834314551691,5.079805850982666e-05,0.9993400573730469
BLE,block_03,attn.out_proj,2,262656,3.140462467854377e-05,0.0017719818387022881,5.079805850982666e-05,0.9999961853027344
BLE,block_03,ffn.linear1,2,525312,3.234610994695686e-05,0.0010353692260411944,5.079992115497589e-05,0.9999876022338867
BLE,block_03,ffn.linear2,2,524800,3.12971187668154e-05,0.0019836230791605183,5.079619586467743e-05,0.9999971389770508
BLE,block_03,norm1,2,1024,3.135413317068014e-05,0.0006155285607428325,5.042552947998047e-05,1.0
BLE,block_03,norm2,2,1024,3.29168833559379e-05,0.0007456149931440476,5.066394805908203e-05,1.0
BLE,block_04,attn.in_proj,2,787968,2.7799726922239643e-05,0.0007579735269137357,5.0805509090423584e-05,0.9967377781867981
BLE,block_04,attn.out_proj,2,262656,3.237284181523137e-05,0.001360052242493812,5.079805850982666e-05,0.9999942779541016
BLE,block_04,ffn.linear1,2,525312,3.085224852839019e-05,0.001027610823106121,5.0809234380722046e-05,0.999995231628418
BLE,block_04,ffn.linear2,2,524800,3.1809166102902964e-05,0.0020700974793987003,5.0798989832401276e-05,0.9999980926513672
BLE,block_04,norm1,2,1024,3.3527288906043395e-05,0.0006419911682940216,5.066394805908203e-05,1.0
BLE,block_04,norm2,2,1024,3.052705142181367e-05,0.0005510532461094089,5.066394805908203e-05,0.9990234375
BLE,block_05,attn.in_proj,2,787968,2.7111327653983608e-05,0.0007203618762922932,5.0809234380722046e-05,0.9999929964542389
BLE,block_05,attn.out_proj,2,262656,3.123464011878241e-05,0.0015180636232385142,5.079904804006219e-05,0.9999923706054688
BLE,block_05,ffn.linear1,2,525312,3.1808227504370734e-05,0.0009618832100886632,5.0809234380722046e-05,0.9999971389770508
BLE,block_05,ffn.linear2,2,524800,3.0847890229779296e-05,0.0018036771750907022,5.0809234380722046e-05,0.9999961853027344
BLE,block_05,norm1,2,1024,3.2997733796946704e-05,0.0006910236628965995,5.060434341430664e-05,1.0
BLE,block_05,norm2,2,1024,2.987349853356136e-05,0.00047736898811768906,5.060434341430664e-05,1.0
BLE,block_06,attn.in_proj,2,787968,2.579365263954969e-05,0.000605314231417732,5.0809234380722046e-05,0.998687744140625
BLE,block_06,attn.out_proj,2,262656,3.0477470318146516e-05,0.0011536719782331405,5.0809234380722046e-05,0.9999942779541016
BLE,block_06,ffn.linear1,2,525312,2.9007270313741174e-05,0.0008951623555423993,5.079992115497589e-05,0.9999885559082031
BLE,block_06,ffn.linear2,2,524800,2.9898859793320298e-05,0.0016302278846500615,5.0805509090423584e-05,0.9999971389770508
BLE,block_06,norm1,2,1024,3.0178584893292282e-05,0.0006673603744242859,5.066394805908203e-05,0.9990234375
BLE,block_06,norm2,2,1024,2.8005164494970813e-05,0.0004726022901257775,5.066394805908203e-05,1.0
