dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,1.4411382675170898,3.9270341396331783,ok,,1035,828,0,259,,0,5e-06,False,0.8033771514892578,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False,False,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9449191333536772,0.9303561601436308,415.73227405548096,12.821310758590698,ok,,26215,20972,0,6554,0.2390722474083304,16,5e-06,True,415.50163650512695,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.9488842265878314,0.9494564180812513,3,True,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7381071607411117,0.7377381397634667,40.74677300453186,1.4208614826202393,ok,,7987,6389,0,1997,0.6064409539103508,8,5e-06,True,40.71003556251526,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7509386733416771,0.7584480600750939,8,False,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9879349758699516,0.9879501100608112,505.2271547317505,20.278456449508667,ok,,31492,25193,0,7874,0.0494219332467764,16,5e-06,True,504.9726409912109,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.9872995713605334,0.9874583267185268,4,False,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5874321880650994,0.5861486167429909,466.153422832489,36.21183371543884,ok,,44236,35388,0,11060,0.8943938240408897,10,5e-06,True,465.7463569641113,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.5777576853526221,0.5777576853526221,0,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8147066294132588,0.8126935701163973,317.91009855270386,20.290555000305176,ok,,31492,25193,0,7874,0.4332848284393549,10,5e-06,True,317.5758059024811,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.8088585489760279,0.8088585489760279,0,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8642013812308549,76.36983728408813,2.84360933303833,ok,,8000,6400,0,2000,0.3368407860398292,8,5e-06,True,76.27965497970581,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.865,0.868125,7,False,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,0.7105483766648094,16.67564558982849,0.3506813049316406,ok,,1072,857,0,268,0.5349221117794514,8,5e-06,True,16.63980269432068,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7534883720930232,0.7581395348837209,3,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9232073643410852,0.9232073508215588,220.79158520698547,7.214802503585815,ok,,16512,13209,0,4128,0.1802032450214028,8,5e-06,True,220.65048789978027,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.916439600363306,0.9185588858613382,6,False,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7343571428571428,0.7340138059297397,987.3940441608428,55.811795234680176,ok,,56000,44800,0,14000,0.5464988760650158,24,5e-06,True,986.89053940773,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,3,epoch_chunk,0.7325892857142857,0.7329464285714286,4,False,False,
