dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,llm_col_enabled,llm_col_model,llm_col_alpha,llm_col_dim,llm_col_feature_count,llm_col_cache_hits,llm_col_cache_misses,llm_col_error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4864864864864865,0.4677189476256108,2.129434108734131,4.48334550857544,ok,,1035,828,0,259,,0,5e-06,False,1.5352747440338137,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False,False,,True,text-embedding-v4,0.05,128,141,141,0,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.94537686908758,0.9311867063810368,421.1658961772919,12.876711130142212,ok,,26215,20972,0,6554,0.2390875937417149,16,5e-06,True,420.9359221458435,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.9485027655922182,0.950028609574671,7,False,False,,True,text-embedding-v4,0.05,128,7,7,0,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7376064096144216,0.7372328655674335,40.86300325393677,1.419383525848389,ok,,7987,6389,0,1997,0.60633135586977,8,5e-06,True,40.82505989074707,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7515644555694618,0.7565707133917396,8,False,False,,True,text-embedding-v4,0.05,128,3,3,0,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9881889763779528,0.9882027839473012,505.4251086711884,20.355056762695312,ok,,31492,25193,0,7874,0.0494215604849159,16,5e-06,True,505.1731557846069,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.9872995713605334,0.9874583267185268,6,False,False,,True,text-embedding-v4,0.05,128,9,9,0,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5875226039783001,0.5858501479530973,741.7502257823944,36.51516938209534,ok,,44236,35388,0,11060,0.8834593296051025,16,5e-06,True,741.3524491786957,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.577870705244123,0.5783227848101266,2,False,False,,True,text-embedding-v4,0.05,128,9,9,0,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8157226314452629,0.8134235805968034,506.39718556404114,20.501675844192505,ok,,31492,25193,0,7874,0.4458018317818641,16,5e-06,True,506.07452917099,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.8085410382600413,0.8086997936180346,2,False,False,,True,text-embedding-v4,0.05,128,9,9,0,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8638225283031876,76.52643895149231,2.8174731731414795,ok,,8000,6400,0,2000,0.3368316534906626,8,5e-06,True,76.43585157394409,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.865,0.869375,7,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,0.7105483766648094,16.97976016998291,0.3664584159851074,ok,,1072,857,0,268,0.5349034033715725,8,5e-06,True,16.94379949569702,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7534883720930232,0.7581395348837209,3,False,False,,True,text-embedding-v4,0.05,128,11,11,0,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9229651162790696,0.9229650801132644,220.9635484218597,7.221773624420166,ok,,16512,13209,0,4128,0.1802110243588686,8,5e-06,True,220.81882500648496,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.916439600363306,0.9179533757190432,4,False,False,,True,text-embedding-v4,0.05,128,8,8,0,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7337857142857143,0.7335189115432768,988.1493482589722,56.34609246253967,ok,,56000,44800,0,14000,0.5465829074382782,24,5e-06,True,987.6491103172302,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,3,epoch_chunk,0.7324107142857142,0.7333035714285714,5,False,False,,True,text-embedding-v4,0.05,128,11,11,0,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8332916145181477,0.7606286239548004,197.06005096435547,7.294392108917236,ok,,31958,25566,0,7990,0.4461470246315002,16,5e-06,True,196.9676501750946,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.8322903629536921,0.8326032540675845,8,False,False,,True,text-embedding-v4,0.05,128,3,3,0,
