dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,aoc,aoc_metric,aoc_error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,llm_col_enabled,llm_col_model,llm_col_alpha,llm_col_dim,llm_col_feature_count,llm_col_cache_hits,llm_col_cache_misses,llm_col_error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4864864864864865,0.4677189476256108,1.569788932800293,3.899799108505249,ok,,1.5038691009119731,log_loss,,1035,828,0,259,,0,5e-06,False,0.973390817642212,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False,True,text-embedding-v4,0.05,128,141,141,0,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880733760592986,3652.675860881805,20.61973214149475,ok,,0.0008158242022129,1_minus_roc_auc,,31492,25193,0,7874,0.0378112746402621,44,5e-06,True,3652.428330183029,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.9872995713605334,0.9882521035084936,14,True,True,text-embedding-v4,0.05,128,9,9,0,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8735,0.8633081757288066,271.0856900215149,2.7311341762542725,ok,,0.1165826843792944,1_minus_roc_auc,,8000,6400,0,2000,0.3139077480882406,12,5e-06,True,270.99617314338684,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.865,0.868125,4,True,True,text-embedding-v4,0.05,128,10,0,10,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7342857142857143,0.7340035355954256,3896.077474117279,56.96031522750855,ok,,0.1982520137149432,1_minus_roc_auc,,56000,44800,0,14000,0.5461759194731712,36,5e-06,True,3895.5782260894775,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,0.7324107142857142,0.7332142857142857,4,True,True,text-embedding-v4,0.05,128,11,0,11,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8928571428571429,0.8848287598792377,44.04778480529785,0.7877383232116699,ok,,0.0865554119167939,1_minus_roc_auc,,1792,1433,0,448,0.2665215255692601,9,5e-06,True,43.981908321380615,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8885793871866295,0.8913649025069638,1,True,True,text-embedding-v4,0.05,128,24,0,24,
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8592910848549946,0.8530915398850347,119.98018622398376,1.0791008472442627,ok,,0.1194174509001636,1_minus_roc_auc,,3722,2977,0,931,0.3692710790783167,16,5e-06,True,119.92648482322691,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8523489932885906,0.8563758389261745,8,True,True,text-embedding-v4,0.05,128,8,0,8,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7170564746149458,0.7168669892309556,1485.567404270172,24.781044721603397,ok,,0.2104334991819089,1_minus_roc_auc,,35060,28048,0,8765,0.548858255147934,16,5e-06,True,1485.269782781601,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.7189104392470052,0.7189104392470052,0,True,True,text-embedding-v4,0.05,128,10,0,10,
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7219623502567027,0.7219339817020655,1486.159803390503,24.76826500892639,ok,,0.1998761114041607,1_minus_roc_auc,,35060,28048,0,8765,0.5699698012322187,16,5e-06,True,1485.8900797367096,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.7181973759269823,0.7181973759269823,0,True,True,text-embedding-v4,0.05,128,10,0,10,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7111716621253406,0.7103545966706896,66.61445093154907,0.4652967453002929,ok,,0.2080808980755522,1_minus_roc_auc,,1467,1173,0,367,0.5241509489715099,24,5e-06,True,66.57792496681213,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.6972789115646258,0.7244897959183674,16,True,True,text-embedding-v4,0.05,128,10,0,10,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.8,0.7922205310333165,18.11000275611877,0.2749972343444824,ok,,0.176718018823282,1_minus_roc_auc,,1200,960,0,300,0.4508579764515161,10,5e-06,True,18.079630613327023,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.7666666666666667,0.775,2,True,True,text-embedding-v4,0.05,128,6,0,6,
