dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_context_selector,ttt_taar_score_source,ttt_taar_selected_context_mean,ttt_taar_selected_context_min,ttt_taar_selected_context_max,ttt_taar_fallback_count,ttt_taar_skip_count,ttt_taar_feature_enabled,ttt_taar_feature_score_source,ttt_taar_selected_feature_mean,ttt_taar_selected_feature_min,ttt_taar_selected_feature_max,ttt_taar_feature_fallback_count
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.503941898782927,1.4155840873718262,4.019190788269043,ok,,1035,828,0,259,,0,1e-05,False,0.8378250598907471,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,taar_sample,,,,,0,0,False,,,,,0
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9441562404638388,0.9294777284745342,0.5778265839146273,0.8343142512257914,0.1663157519817883,40.39951181411743,12.763047456741331,ok,,26215,20972,0,6554,,0,1e-05,False,39.78058671951294,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=24x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,3,epoch_chunk,roc_auc,0.8550393751132234,0.8550393751132234,0.949074957085638,0.949074957085638,0,True,False,,taar_sample,taar_sample,,,,0,24,False,,,,,0
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7336004006009014,0.7330988191192322,0.7326163567434275,0.9027895681284224,0.5860072345642322,8.34555196762085,1.4333107471466064,ok,,7987,6389,0,1997,,0,1e-05,False,7.899748802185059,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=8x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,1,epoch_chunk,roc_auc,0.9016391855752374,0.9016391855752374,0.7509386733416771,0.7509386733416771,0,True,False,,taar_sample,taar_sample,,,,0,8,False,,,,,0
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880774596607574,0.9880918254272,0.9990907651773496,0.0343236415690793,51.25494861602783,20.220986127853397,ok,,31492,25193,0,7874,,0,1e-05,False,50.49980974197388,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=24x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,3,epoch_chunk,roc_auc,0.9988056620762288,0.9988056620762288,0.98666454992856,0.98666454992856,0,True,False,,taar_sample,taar_sample,,,,0,24,False,,,,,0
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5874321880650994,0.5861486167429909,0.5695522496274562,0.7647013047461507,0.8750451390694162,74.74273729324341,35.98321461677551,ok,,44236,35388,0,11060,,0,1e-05,False,73.84717988967896,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=32x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,4,epoch_chunk,roc_auc,0.7589704602393859,0.7589704602393859,0.5762884267631103,0.5762884267631103,0,True,False,,taar_sample,taar_sample,,,,0,32,False,,,,,0
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8148336296672594,0.8127924569695848,0.7858749171640029,0.8827866104146994,0.4067285411439342,52.13352966308594,20.266871452331543,ok,,31492,25193,0,7874,,0,1e-05,False,51.19993424415589,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=24x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,3,epoch_chunk,roc_auc,0.8779035922294894,0.8779035922294894,0.8096523257659946,0.8096523257659946,0,True,False,,taar_sample,taar_sample,,,,0,24,False,,,,,0
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.875,0.8648358896033153,0.7440938627379305,0.8819736531600938,0.313754796589385,14.39004921913147,2.799808979034424,ok,,8000,6400,0,2000,,0,1e-05,False,13.772897243499756,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=8x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,1,epoch_chunk,roc_auc,0.8777604954204428,0.8777604954204428,0.861875,0.861875,0,True,False,,taar_sample,taar_sample,,,,0,8,False,,,,,0
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.6996191714905836,0.6777699031419797,0.7436806047720291,0.578142398832161,3.827768564224243,0.4392211437225342,ok,,1072,857,0,268,,0,1e-05,False,3.428332567214966,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=8x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,1,epoch_chunk,roc_auc,0.8182193288098295,0.8182193288098295,0.7581395348837209,0.7581395348837209,0,True,False,,taar_sample,taar_sample,,,,0,8,False,,,,,0
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9217538759689924,0.9217535866844322,0.9217549139162388,0.979632613826687,0.1835720778675608,25.28715682029724,7.202274799346924,ok,,16512,13209,0,4128,,0,1e-05,False,24.73399901390076,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=16x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,2,epoch_chunk,roc_auc,0.9770747569526432,0.9770747569526432,0.9182561307901907,0.9182561307901907,0,True,False,,taar_sample,taar_sample,,,,0,16,False,,,,,0
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7322142857142857,0.7317897470574969,0.7321916268380823,0.800756373716367,0.5431197788010976,107.53532814979552,55.64356184005737,ok,,56000,44800,0,14000,,0,1e-05,False,106.68323945999146,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | No valid epoch chunks produced an optimizer update; skipped=40x taar_sample selector failed after stratified split: RuntimeError: TAAR sample attention scorer failed: RuntimeError: Caught RuntimeError in replica 0 on device 0.
Original Traceback (most recent call last):
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker
    output = module(*input, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 498, in forward
    out = self._inference_forward(
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 408, in _inference_forward
    representations = self.row_interactor(
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 271, in forward
    representations = self._inference_forward(embeddings, mgr_config)
  File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/interaction.py"", line 236, in _inference_forward
    embeddings[:, :, : self.num_cls] = cls_tokens.to(embeddings.device)
RuntimeError: Inplace update to inference tensor outside InferenceMode is not allowed.You can make a clone to get a normal tensor before doing inplace update.See https://github.com/pytorch/rfcs/pull/17 for more details.
",30,5,epoch_chunk,roc_auc,0.8000135905651249,0.8000135905651249,0.7323214285714286,0.7323214285714286,0,True,False,,taar_sample,taar_sample,,,,0,40,False,,,,,0
