dataset_name,outcome,adaptor_accuracy,iclv2_accuracy,delta_accuracy,delta_pp,n_test,delta_correct,task_type,n_features_result,n_features_info,n_total_info,feature_bin,sample_bin,n_classes,ttt_applied,ttt_adaptor_enabled,ttt_best_epoch,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_split_reason
ada_prior,win,0.856516976999,0.855421686747,0.00109529025192,0.109529025192,913,1,binclass,14,14,4562,11-30,2k-5k,2,True,True,0,0.8397260273972603,0.8397260273972603,full train set chunked per epoch | validation=dataset_val_split
Gender_Gap_in_Spanish_WP,win,0.615789473684,0.614736842105,0.00105263157895,0.105263157895,950,1,multiclass,13,13,4746,11-30,2k-5k,3,True,True,0,0.6092105263157894,0.6092105263157894,full train set chunked per epoch | validation=dataset_val_split
KDDCup09_upselling,win,0.811890838207,0.810916179337,0.000974658869396,0.0974658869396,1026,1,binclass,49,49,5128,31-100,5k-20k,2,True,True,0,0.8136419001218027,0.8136419001218027,full train set chunked per epoch | validation=dataset_val_split
eye_movements,win,0.836380255941,0.835466179159,0.00091407678245,0.091407678245,2188,2,multiclass,27,27,10936,11-30,5k-20k,3,True,True,19,0.8148571428571428,0.8131428571428572,full train set chunked per epoch | validation=dataset_val_split
FOREX_cadjpy-hour-High,win,0.716714204221,0.715915573303,0.000798630918425,0.0798630918425,8765,7,binclass,10,10,43825,<=10,20k-100k,2,True,True,0,0.7136337706788363,0.7136337706788363,full train set chunked per epoch | validation=dataset_val_split
California-Housing-Classification,win,0.922238372093,0.921753875969,0.000484496124031,0.0484496124031,4128,2,binclass,8,8,20640,<=10,20k-100k,2,True,True,0,0.9191643960036332,0.9191643960036332,full train set chunked per epoch | validation=dataset_val_split
Amazon_employee_access,win,0.944613976198,0.944156240464,0.000457735733903,0.0457735733903,6554,3,binclass,7,7,32769,<=10,20k-100k,2,True,True,1,0.9488842265878314,0.9488842265878314,full train set chunked per epoch | validation=dataset_val_split
electricity,win,0.926624737945,0.926183382986,0.000441354959726,0.0441354959726,9063,4,binclass,8,8,45312,<=10,20k-100k,2,True,True,0,0.9143448275862068,0.9143448275862068,full train set chunked per epoch | validation=dataset_val_split
Credit_c,win,0.819,0.81865,0.00035,0.035,20000,7,multiclass,22,22,100000,11-30,20k-100k,3,True,True,21,0.812625,0.813375,full train set chunked per epoch | validation=dataset_val_split
FOREX_audusd-hour-High,win,0.707358813463,0.707016543069,0.000342270393611,0.0342270393611,8765,3,binclass,10,10,43825,<=10,20k-100k,2,True,True,0,0.7082144894466629,0.7082144894466629,full train set chunked per epoch | validation=dataset_val_split
MagicTelescope,win,0.894321766562,0.894058885384,0.000262881177708,0.0262881177708,3804,1,binclass,9,9,19020,<=10,5k-20k,2,True,True,0,0.8814060446780552,0.8814060446780552,full train set chunked per epoch | validation=dataset_val_split
BNG(cmc),win,0.587613019892,0.587432188065,0.000180831826401,0.0180831826401,11060,2,multiclass,9,9,55296,<=10,20k-100k,3,True,True,0,0.5765144665461122,0.5765144665461122,full train set chunked per epoch | validation=dataset_val_split
Cardiovascular-Disease-dataset,win,0.732357142857,0.732214285714,0.000142857142857,0.0142857142857,14000,2,binclass,11,11,70000,11-30,20k-100k,2,True,True,0,,,full train set chunked per epoch | validation=dataset_val_split
