dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.5039419252701582,1.3360629081726074,4.025086402893066,ok,,1035,828,0,259,,0,1e-05,False,0.7601296901702881,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9441562404638388,0.9294777284745342,0.5778265839146273,0.8343142512257914,0.1663157519817883,39.21893930435181,12.771094560623167,ok,,26215,20972,0,6554,0.2302184551954269,24,1e-05,True,38.99549889564514,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.8550393751132234,0.8550393751132234,0.949074957085638,0.949074957085638,0,True,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.771657486229344,0.7713721249448069,0.7710444732685625,0.9238727621912004,0.5233806799055356,37.562498331069946,1.4478209018707275,ok,,7987,6389,0,1997,0.5495144724845886,30,1e-05,True,37.52864050865173,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9016391855752374,0.9192374442026102,0.7509386733416771,0.7828535669586983,30,False,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880774596607574,0.9880918254272,0.999091193994276,0.0343132452765176,44.22048830986023,20.40172266960144,ok,,31492,25193,0,7874,0.0481023006141185,24,1e-05,True,43.96511721611023,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.9988056620762288,0.9988056620762288,0.98666454992856,0.98666454992856,0,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5876130198915009,0.5862962516292766,0.5687889901282926,0.7654486569444182,0.874089921449486,140.5880937576294,36.62359881401062,ok,,44236,35388,0,11060,0.8740688562393188,72,1e-05,True,140.19423007965088,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7589704602393859,0.7600613014482193,0.5762884267631103,0.577870705244123,10,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8149606299212598,0.8128715619400054,0.7858007909125131,0.8842887790790738,0.4055779497627719,93.83267760276794,20.4848051071167,ok,,31492,25193,0,7874,0.4580574631690979,51,1e-05,True,93.50178074836732,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.8779035922294894,0.8796287027787065,0.8096523257659946,0.8102873471979679,9,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8755,0.8652834419381789,0.7444077359331597,0.883157425530307,0.3123494973601377,18.857383251190186,2.833881139755249,ok,,8000,6400,0,2000,0.3116273581981659,12,1e-05,True,18.769643783569336,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8777604954204428,0.8791762575724013,0.861875,0.86375,4,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7030301526820772,0.6807819513347508,0.7441235530356721,0.5776234718939693,4.191174507141113,0.4272048473358154,ok,,1072,857,0,268,0.5875790119171143,10,1e-05,True,4.155601501464844,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8182193288098295,0.8186777920410783,0.7581395348837209,0.7534883720930232,2,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9258720930232558,0.9258719886198852,0.9258716061496282,0.9802549004188874,0.1805565630124068,46.72005367279053,7.261375665664673,ok,,16512,13209,0,4128,0.2422026693820953,32,1e-05,True,46.578256130218506,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.9770747569526432,0.9786009066337372,0.9182561307901907,0.9221919467151076,8,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7343571428571428,0.7340055546229096,0.7343364438649612,0.801391935148387,0.5423214612870783,105.75850772857666,56.59321331977844,ok,,56000,44800,0,14000,0.5458585619926453,50,1e-05,True,105.25375294685364,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,roc_auc,0.8000135905651249,0.8006131761963835,0.7323214285714286,0.7322321428571429,2,True,False,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.832665832290363,0.7584605346943685,0.5042318846932468,0.6247752387836326,0.4452660487619216,62.43577814102173,7.323353290557861,ok,,31958,25566,0,7990,0.4230405986309051,39,1e-05,True,62.34780526161194,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.6253027089434714,0.6265807648090496,0.8322903629536921,0.8327596996245307,5,True,False,
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.82095,0.8209020879322274,0.8347819621770226,0.9325832655665872,0.4139023909501131,525.1858155727386,116.82571601867676,ok,,80000,64000,0,20000,0.6273970007896423,196,1e-05,True,523.6956560611725,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,roc_auc,0.9259133161803352,0.930034004365829,0.812875,0.8234375,20,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8928571428571429,0.8848287598792377,0.7278959533043444,0.9132487170446978,0.2437763592344614,6.328336000442505,0.7953402996063232,ok,,1792,1433,0,448,0.2042217254638672,10,1e-05,True,6.263239145278931,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8795474164508571,0.8800098655814528,0.8913649025069638,0.8941504178272981,2,True,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7272727272727273,0.7269950480539316,0.7252710027100271,0.8413881361035832,0.4963360141112762,8.1948721408844,0.9021172523498536,ok,,920,736,0,231,0.5003272891044617,20,1e-05,True,8.151319026947021,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8179876601803513,0.8291409587090651,0.7445652173913043,0.7608695652173914,12,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6763636363636364,0.6643989307797264,0.7263047265614603,0.7302141193219139,0.5037008522350079,13.798628568649292,3.168986320495605,ok,,8799,7039,0,2200,0.4961567521095276,8,1e-05,True,13.707079887390137,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7443400402414486,0.7443400402414486,0.6823863636363636,0.6823863636363636,0,True,False,
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8571428571428571,0.8512330447399785,0.8115359042553192,0.8836385024549918,0.3519753837154741,19.846791744232178,1.1541833877563477,ok,,3722,2977,0,931,0.3565750420093536,30,1e-05,True,19.7987539768219,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8829083588957055,0.8895106403374233,0.8523489932885906,0.8483221476510067,25,False,False,
