dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_baseline_ttt,status_TTT,accuracy_baseline,accuracy_baseline_ttt,accuracy_TTT,delta_baseline_ttt_vs_baseline,delta_pp_baseline_ttt_vs_baseline,relative_delta_pct_baseline_ttt_vs_baseline,bucket_baseline_ttt_vs_baseline,delta_TTT_vs_baseline,delta_pp_TTT_vs_baseline,relative_delta_pct_TTT_vs_baseline,bucket_TTT_vs_baseline,delta_TTT_vs_baseline_ttt,delta_pp_TTT_vs_baseline_ttt,bucket_TTT_vs_baseline_ttt,fit_seconds_baseline,fit_seconds_baseline_ttt,fit_seconds_TTT,predict_seconds_baseline,predict_seconds_baseline_ttt,predict_seconds_TTT,ttt_applied_baseline_ttt,ttt_applied_TTT,ttt_steps_baseline_ttt,ttt_steps_TTT,ttt_lr_baseline_ttt,ttt_lr_TTT,ttt_loss_baseline_ttt,ttt_loss_TTT,ttt_update_seconds_baseline_ttt,ttt_update_seconds_TTT,ttt_split_strategy_baseline_ttt,ttt_split_strategy_TTT,ttt_split_reason_baseline_ttt,ttt_split_reason_TTT,error_type_baseline_ttt,error_first_line_baseline_ttt,error_type_TTT,error_first_line_TTT,dataset_dir
ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,ok,ok,ok,0.4401544401544401,0.4401544401544401,0.4401544401544401,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie,0.0,0.0,tie,0.8151788711547852,1.2743916511535645,1.2235324382781982,3.5207114219665527,3.864221572875977,3.4731314182281494,False,False,0,0,2e-06,2e-06,,,0.7133162021636963,0.6688287258148193,stratified,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10,,,,,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification
Amazon_employee_access,binclass,26215,5243,6554,7,2,ok,ok,ok,0.9443088190418064,0.9443088190418064,0.9447665547757096,0.0,0.0,0.0,tie,0.0004577357339031751,0.04577357339031751,0.048473097430948624,improved,0.0004577357339031751,0.04577357339031751,improved,0.8197550773620605,6.612170934677124,59.79065370559693,13.53306531906128,11.798025369644163,12.539429664611816,True,True,1,1,2e-06,2e-06,0.2157608568668365,0.1622424513101577,6.375312328338623,59.54726696014404,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access
BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,ok,ok,ok,0.7406109163745619,0.7406109163745619,0.7396094141211818,0.0,0.0,0.0,tie,-0.0010015022533801377,-0.10015022533801377,-0.1352265043948705,regressed,-0.0010015022533801377,-0.10015022533801377,regressed,0.630218505859375,1.0869014263153076,4.673146724700928,2.6772477626800537,1.1495611667633057,1.3874742984771729,True,True,1,1,2e-06,2e-06,0.638681173324585,0.5984398722648621,1.0538527965545654,4.639437198638916,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization
BNG(breast-w),binclass,31492,6299,7874,9,2,ok,ok,ok,0.9883159766319533,0.9883159766319533,0.9884429768859536,0.0,0.0,0.0,tie,0.00012700025400036452,0.012700025400036452,0.012850167052157161,improved,0.00012700025400036452,0.012700025400036452,improved,0.619035005569458,8.999601125717163,100.9606866836548,19.000386476516724,18.86037397384644,19.80961871147156,True,True,1,1,2e-06,2e-06,0.0405731126666069,0.0364158221830924,8.732261657714844,100.68654227256776,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w)
BNG(cmc),multiclass,44236,8848,11060,9,3,ok,ok,ok,0.58625678119349,0.5863471971066908,0.5867088607594937,9.041591320080311e-05,0.009041591320080311,0.015422578655164752,improved,0.0004520795660036825,0.04520795660036825,0.07711289327576694,improved,0.0003616636528028794,0.03616636528028794,improved,0.7731552124023438,16.596966981887817,190.47321033477783,34.38356924057007,34.27764654159546,35.44835305213928,True,True,1,1,2e-06,2e-06,0.9176764488220216,0.8855311075846354,16.165717601776123,190.0386950969696,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/BNG(cmc)
BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,ok,ok,ok,0.8150876301752603,0.8152146304292609,0.8154686309372619,0.00012700025400058657,0.012700025400058657,0.01558117793706168,improved,0.00038100076200153765,0.038100076200153765,0.0467435338111578,improved,0.0002540005080009511,0.02540005080009511,improved,0.6858181953430176,9.242222785949709,101.07823419570924,19.008645057678223,18.995980978012085,19.64273476600647,True,True,1,1,2e-06,2e-06,0.4084962010383606,0.4057140126824379,8.893261909484863,100.73417592048644,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe)
Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,ok,ok,ok,0.877,0.877,0.877,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie,0.0,0.0,tie,0.4421720504760742,1.1799542903900146,9.08629822731018,2.512715101242065,2.288098096847534,2.5593509674072266,True,True,1,1,2e-06,2e-06,0.3825761377811432,0.3325077891349792,1.0917234420776367,8.997632026672363,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset
Basketball_c,binclass,1072,215,268,11,2,ok,ok,ok,0.7126865671641791,0.7126865671641791,0.7126865671641791,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie,0.0,0.0,tie,0.3779196739196777,0.432657241821289,1.4552156925201416,0.3998756408691406,0.2655723094940185,0.3361208438873291,True,True,1,1,2e-06,2e-06,0.5917789936065674,0.5521643857161204,0.4026682376861572,1.4256207942962646,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Basketball_c
California-Housing-Classification,binclass,16512,3303,4128,8,2,ok,ok,ok,0.9127906976744186,0.9127906976744186,0.9135174418604652,0.0,0.0,0.0,tie,0.0007267441860466795,0.07267441860466795,0.07961783439492284,improved,0.0007267441860466795,0.07267441860466795,improved,0.4982361793518066,2.9831104278564453,30.016531467437744,6.714113712310791,6.623786687850952,7.06855034828186,True,True,1,1,2e-06,2e-06,0.4783243238925934,0.238284641255935,2.8428409099578857,29.87815880775452,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification
Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,ok,ok,ok,0.7341428571428571,0.734,0.7338571428571429,-0.00014285714285711126,-0.014285714285711126,-0.019459038723482758,regressed,-0.0002857142857142225,-0.028571428571422253,-0.038918077446965516,regressed,-0.00014285714285711126,-0.014285714285711126,regressed,0.8122813701629639,26.18410301208496,301.4637174606323,53.11316227912903,53.75921726226807,54.69570875167847,True,True,1,1,2e-06,2e-06,0.5971483588218689,0.5425123323996862,25.64237332344055,300.9215614795685,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset
