dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.44015444015444016,1.2235324382781982,3.4731314182281494,ok,,1035,776,259,259,,0,2e-06,False,0.6688287258148193,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9447665547757095,59.790653705596924,12.539429664611816,ok,,26215,19661,6554,6554,0.16224245131015777,1,2e-06,True,59.54726696014404,stratified,stratified split
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7396094141211818,4.673146724700928,1.3874742984771729,ok,,7987,5990,1997,1997,0.5984398722648621,1,2e-06,True,4.639437198638916,stratified,stratified split
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9884429768859537,100.96068668365479,19.809618711471558,ok,,31492,23619,7873,7874,0.03641582218309244,1,2e-06,True,100.68654227256775,stratified,stratified split
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5867088607594937,190.47321033477783,35.44835305213928,ok,,44236,33177,11059,11060,0.8855311075846354,1,2e-06,True,190.0386950969696,stratified,stratified split
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8154686309372619,101.07823419570923,19.64273476600647,ok,,31492,23619,7873,7874,0.4057140126824379,1,2e-06,True,100.73417592048645,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,9.08629822731018,2.5593509674072266,ok,,8000,6000,2000,2000,0.33250778913497925,1,2e-06,True,8.997632026672363,stratified,stratified split
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,1.4552156925201416,0.3361208438873291,ok,,1072,804,268,268,0.5521643857161204,1,2e-06,True,1.4256207942962646,stratified,stratified split
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9135174418604651,30.016531467437744,7.06855034828186,ok,,16512,12384,4128,4128,0.23828464125593504,1,2e-06,True,29.878158807754517,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7338571428571429,301.4637174606323,54.69570875167847,ok,,56000,42000,14000,14000,0.5425123323996862,1,2e-06,True,300.9215614795685,stratified,stratified split
