dataset_name,accuracy_direction,ttt_accuracy,icl_accuracy,delta_accuracy,ttt_f1,icl_f1,delta_f1,ttt_balanced_accuracy,icl_balanced_accuracy,delta_balanced_accuracy,ttt_roc_auc,icl_roc_auc,delta_roc_auc,ttt_log_loss,icl_log_loss,delta_log_loss,info_total_samples,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,ttt_task_type,ttt_n_train,ttt_n_val,ttt_n_test,ttt_n_features,ttt_n_classes,icl_fit_seconds,ttt_fit_seconds,delta_fit_seconds,icl_predict_seconds,ttt_predict_seconds,delta_predict_seconds
Click_prediction_small,up,0.8335419274092616,0.7178973717146433,0.11564455569461829,0.7625649450583764,0.7328824852598665,0.029682459798509808,0.5094981182677866,0.5617061232559201,-0.052208004988133494,0.5970143771139855,0.6068707714699518,-0.009856394355966303,0.4463293118733826,0.485295541678156,-0.03896622980477338,39948,3,3,0,2,binclass,31958,6392,7990,3,2,0.4601240158081054,637.17724442482,636.7171204090118,7.268305778503418,14.483633995056152,7.215328216552734
Basketball_c,up,0.7126865671641791,0.7014925373134329,0.011194029850746245,0.7105483766648094,0.6996191714905836,0.010929205174225798,0.6886959603118357,0.6777699031419797,0.010926057169855952,0.7445369714150719,0.7436806047720291,0.000856366643042783,0.5769946507311013,0.578142398832161,-0.0011477481010596646,1340,11,11,0,2,binclass,1072,215,268,11,2,0.5046069622039795,17.534497022628784,17.029890060424805,0.525444507598877,0.6651298999786377,0.13968539237976074
GesturePhaseSegmentationProcessed,up,0.8384810126582278,0.8273417721518987,0.011139240506329084,0.8374098194257072,0.8260853739124627,0.011324445513244519,0.8139182762631858,0.802370869395916,0.01154740686726985,0.97099536727292,0.9674377739901914,0.003557593282728644,0.4540028598221567,0.4795279464544412,-0.025525086632284477,9873,32,32,0,5,multiclass,7898,1580,1975,32,5,0.556318998336792,978.7465233802797,978.1902043819429,4.067829847335815,6.628843784332275,2.56101393699646
FOREX_audcad-day-High,up,0.7547683923705722,0.7465940054495913,0.008174386920980936,0.7547683923705722,0.7464998647714711,0.008268527599101128,0.7547228657993228,0.7463613140854275,0.008361551713895299,0.834848214816135,0.8321748945523673,0.0026733202637677644,0.5022843839866397,0.5061551590364243,-0.003870775049784614,1834,10,10,0,2,binclass,1467,294,367,10,2,0.3674311637878418,36.458722829818726,36.091291666030884,0.562645435333252,0.943687915802002,0.38104248046875
California-Housing-Classification,up,0.9265988372093024,0.9217538759689924,0.004844961240309975,0.9265986864471796,0.9217535866844322,0.004845099762747385,0.9265996415572892,0.9217549139162388,0.004844727641050484,0.9801273211043416,0.979632613826687,0.0004947072776546602,0.1863699468902518,0.1835720778675608,0.0027978690226909964,20640,8,8,0,2,binclass,16512,3303,4128,8,2,0.4873850345611572,692.6066987514496,692.1193137168884,7.226936340332031,12.85939884185791,5.632462501525879
IBM_HR_Analytics_Employee_Attrition_and_Performance,up,0.8809523809523809,0.8775510204081632,0.003401360544217691,0.8714045315721473,0.865202906820623,0.006201624751524304,0.7137996382117322,0.6945473339650271,0.0192523042467051,0.8324575760186061,0.8369368593332758,-0.004479283314669624,0.3612062713515975,0.328281731374454,0.03292453997714351,1470,31,25,6,2,binclass,1176,236,294,31,2,0.3980047702789306,102.51240706443788,102.11440229415895,0.6872234344482422,1.1106204986572266,0.4233970642089844
Firm-Teacher_Clave-Direction_Classification,up,0.8810185185185185,0.8791666666666667,0.0018518518518518823,0.8807586851223602,0.8773704055474667,0.0033882795748935157,0.8089529402231681,0.7965378040041882,0.012415136218979939,0.9722726495261734,0.9704543789116464,0.0018182706145269956,0.3082737481830931,0.3156933918031613,-0.007419643620068195,10800,16,0,16,4,multiclass,8640,1728,2160,16,4,0.5170106887817383,789.4068884849548,788.8898777961731,3.540311098098755,5.826144456863403,2.2858333587646484
Cardiovascular-Disease-dataset,up,0.7333571428571428,0.7322142857142857,0.0011428571428571122,0.7329787914892053,0.7317897470574969,0.0011890444317084192,0.7333357088443131,0.7321916268380823,0.0011440820062308399,0.8009206798924668,0.800756373716367,0.00016430617609985987,0.5423015367658063,0.5431197788010976,-0.00081824203529135,70000,11,5,6,2,binclass,56000,11200,14000,11,2,0.8458647727966309,1399.9436287879944,1399.0977640151978,55.76278185844421,141.2313323020935,85.46855044364929
KDDCup09_upselling,up,0.8118908382066277,0.8109161793372319,0.0009746588693957392,0.8082697921659188,0.8091752055466928,-0.0009054133807739895,0.8118908382066277,0.8109161793372319,0.0009746588693957392,0.9115758314999108,0.9113592406400448,0.00021659085986602822,0.3660319673937728,0.3571993028980876,0.008832664495685205,5128,49,34,15,2,binclass,4102,821,1026,49,2,0.5348720550537109,383.5034749507904,382.9686028957367,2.8688762187957764,3.9703776836395264,1.10150146484375
E-CommereShippingData,up,0.6772727272727272,0.6763636363636364,0.0009090909090908594,0.665211366874681,0.6643989307797264,0.0008124360949545162,0.7274321222773565,0.7263047265614603,0.0011273957158962622,0.7298157098686193,0.7302141193219139,-0.0003984094532946125,0.5037299870120678,0.5037008522350079,2.913477705990264e-05,10999,10,6,4,2,binclass,8799,1760,2200,10,2,0.4234671592712402,188.33628630638125,187.91281914711,3.1939918994903564,5.223059177398682,2.029067277908325
Bank_Customer_Churn_Dataset,up,0.8755,0.875,0.0004999999999999449,0.8652834419381789,0.8648358896033153,0.000447552334863599,0.7444077359331597,0.7440938627379305,0.0003138731952291307,0.8821109244838059,0.8819736531600938,0.00013727132371210704,0.3136568889686981,0.313754796589385,-9.790762068689896e-05,10000,10,6,4,2,binclass,8000,1600,2000,10,2,0.475996732711792,171.75213241577148,171.2761356830597,2.877380847930908,4.504229068756104,1.6268482208251962
