dataset_name,accuracy_direction,chunk3000_accuracy,default3_accuracy,delta_accuracy,chunk3000_f1,default3_f1,delta_f1,chunk3000_balanced_accuracy,default3_balanced_accuracy,delta_balanced_accuracy,chunk3000_roc_auc,default3_roc_auc,delta_roc_auc,chunk3000_log_loss,default3_log_loss,delta_log_loss,info_total_samples,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,chunk3000_task_type,chunk3000_n_train,chunk3000_n_val,chunk3000_n_test,chunk3000_n_features,chunk3000_n_classes,chunk3000_ttt_oom_fallback,default3_ttt_oom_fallback,chunk3000_fit_seconds,default3_fit_seconds,delta_fit_seconds,chunk3000_predict_seconds,default3_predict_seconds,delta_predict_seconds,chunk3000_ttt_applied,chunk3000_ttt_steps,chunk3000_ttt_update_seconds,chunk3000_ttt_fallback_reason,chunk3000_ttt_val_baseline_metric,chunk3000_ttt_val_best_metric,chunk3000_ttt_val_baseline_accuracy,chunk3000_ttt_val_best_accuracy,default3_task_type,default3_n_train,default3_n_val,default3_n_test,default3_n_features,default3_n_classes,default3_ttt_applied,default3_ttt_steps,default3_ttt_update_seconds,default3_ttt_fallback_reason,default3_ttt_val_baseline_metric,default3_ttt_val_best_metric,default3_ttt_val_baseline_accuracy,default3_ttt_val_best_accuracy
Diabetic_Retinopathy_Debrecen,up,0.7402597402597403,0.7272727272727273,0.012987012987012991,0.739887282528792,0.7269950480539316,0.012892234474860431,0.7380307136404698,0.7252710027100271,0.012759710930442703,0.838452273411623,0.8413881361035832,-0.0029358626919602226,0.488286370752477,0.4963360141112762,-0.008049643358799208,1151,19,16,3,2,binclass,920,184,231,19,2,False,False,13.417666912078856,8.1948721408844,5.222794771194456,1.6180219650268557,0.9021172523498536,0.7159047126770021,True,8,13.347731828689575,,0.8179876601803513,0.8179876601803513,0.7445652173913043,0.7445652173913043,binclass,920,184,231,19,2,True,20,8.151319026947021,,0.8179876601803513,0.8291409587090651,0.7445652173913043,0.7608695652173914
Basketball_c,up,0.7126865671641791,0.7052238805970149,0.007462686567164201,0.7105483766648094,0.7030301526820772,0.007518223982732164,0.6886959603118357,0.6807819513347508,0.00791400897708483,0.7445369714150719,0.7441235530356721,0.0004134183793997881,0.5769946507311013,0.5776234718939693,-0.0006288211628679985,1340,11,11,0,2,binclass,1072,215,268,11,2,False,False,17.534497022628784,4.191174507141113,13.343322515487671,0.6651298999786377,0.4272048473358154,0.23792505264282232,True,12,17.486780643463135,,0.8182193288098295,0.819594718503576,0.7581395348837209,0.7441860465116279,binclass,1072,215,268,11,2,True,10,4.155601501464844,,0.8182193288098295,0.8186777920410783,0.7581395348837209,0.7534883720930232
FICO-HELOC-cleaned,up,0.7549367088607595,0.7478481012658228,0.00708860759493668,0.7546711509554379,0.7475944834431004,0.007076667512337487,0.7537749764770173,0.7467160272661157,0.007058949210901555,0.8264137415306991,0.8256844263473841,0.0007293151833149825,0.5123393688624764,0.5135238209434383,-0.0011844520809618508,9871,23,21,2,2,binclass,7896,1580,1975,23,2,False,False,186.16689610481265,29.84642505645752,156.32047104835513,5.830348253250122,3.59371566772461,2.2366325855255123,True,16,185.8802592754364,,0.8069103929536685,0.8069103929536685,0.7493670886075949,0.7493670886075949,binclass,7896,1580,1975,23,2,True,16,29.679129362106323,,0.8069288497711355,0.8072739120107338,0.7487341772151899,0.7430379746835443
KDDCup09_upselling,up,0.8118908382066277,0.8060428849902534,0.005847953216374213,0.8082697921659188,0.8035751565008837,0.00469463566503503,0.8118908382066277,0.8060428849902534,0.005847953216374213,0.9115758314999108,0.9119406161060004,-0.0003647846060895743,0.3660319673937728,0.3586065101465809,0.007425457247191902,5128,49,34,15,2,binclass,4102,821,1026,49,2,False,False,383.5034749507904,22.77706742286682,360.7264075279236,3.9703776836395264,2.576677799224853,1.3936998844146733,True,19,382.90812492370605,,0.910830217791229,0.9125274464423476,0.8136419001218027,0.8099878197320342,binclass,4102,821,1026,49,2,True,15,22.56935954093933,,0.9113999169188772,0.9134799121713846,0.8148599269183922,0.8136419001218027
IBM_HR_Analytics_Employee_Attrition_and_Performance,up,0.8809523809523809,0.8775510204081632,0.003401360544217691,0.8714045315721473,0.865202906820623,0.006201624751524304,0.7137996382117322,0.6945473339650271,0.0192523042467051,0.8324575760186061,0.8369368593332758,-0.004479283314669624,0.3612062713515975,0.328281731374454,0.03292453997714351,1470,31,25,6,2,binclass,1176,236,294,31,2,False,False,102.51240706443788,5.203052282333374,97.3093547821045,1.1106204986572266,0.7242991924285889,0.3863213062286377,True,30,102.38609051704408,,0.8616427432216905,0.8863636363636365,0.8940677966101694,0.9067796610169492,binclass,1176,236,294,31,2,True,8,5.120785474777222,,0.8616427432216905,0.8616427432216905,0.8940677966101694,0.8940677966101694
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,up,0.684375,0.68125,0.0031249999999999334,0.6842238962003302,0.6810506566604128,0.0031732395399174385,0.684375,0.68125,0.0031249999999999334,0.7625390624999999,0.75955078125,0.0029882812499999467,0.5616873453693428,0.5656284292963456,-0.003941083927002764,1600,20,0,20,2,binclass,1280,256,320,20,2,False,False,40.12822675704956,5.499858379364014,34.62836837768555,0.7681899070739746,0.5701007843017578,0.1980891227722168,True,13,39.950005769729614,,0.718353271484375,0.72039794921875,0.671875,0.68359375,binclass,1280,256,320,20,2,True,10,5.4412994384765625,,0.71820068359375,0.719573974609375,0.671875,0.66796875
Employee,up,0.8592910848549946,0.8571428571428571,0.002148227712137518,0.8525054685391413,0.8512330447399785,0.001272423799162814,0.810195887888707,0.8115359042553192,-0.0013400163666121845,0.8768233428805238,0.8836385024549918,-0.006815159574467988,0.3555141445402871,0.3519753837154741,0.0035387608248130253,4653,8,3,5,2,binclass,3722,745,931,8,2,False,False,54.7440402507782,19.846791744232178,34.89724850654602,1.5472400188446045,1.1541833877563477,0.39305663108825684,True,8,54.659443616867065,,0.8830361707566462,0.8830361707566462,0.8523489932885906,0.8523489932885906,binclass,3722,745,931,8,2,True,30,19.7987539768219,,0.8829083588957055,0.8895106403374233,0.8523489932885906,0.8483221476510067
FOREX_audcad-hour-High,up,0.7170564746149458,0.7153451226468911,0.0017113519680547196,0.716855308415628,0.7152997997969825,0.001555508618645396,0.7163509676028831,0.7149629120562733,0.0013880555466098121,0.7893177748546962,0.7904254990960299,-0.0011077242413336519,0.5532131832393203,0.551418082815335,0.0017951004239853408,43825,10,10,0,2,binclass,35060,7012,8765,10,2,False,False,740.8408010005951,94.91067051887512,645.93013048172,50.28841328620911,24.704962491989136,25.583450794219978,True,48,740.3398208618164,,0.7930635829207795,0.7930635829207795,0.7164860239589276,0.7164860239589276,binclass,35060,7012,8765,10,2,True,45,94.59619903564452,,0.7929345262565985,0.7954045568157512,0.7154877353108956,0.7171990872789503
E-CommereShippingData,up,0.6772727272727272,0.6763636363636364,0.0009090909090908594,0.665211366874681,0.6643989307797264,0.0008124360949545162,0.7274321222773565,0.7263047265614603,0.0011273957158962622,0.7298157098686193,0.7302141193219139,-0.0003984094532946125,0.5037299870120678,0.5037008522350079,2.913477705990264e-05,10999,10,6,4,2,binclass,8799,1760,2200,10,2,False,False,188.33628630638125,13.798628568649292,174.53765773773196,5.223059177398682,3.168986320495605,2.0540728569030766,True,18,188.16829228401184,,0.7442977867203221,0.7451951710261568,0.6829545454545455,0.6835227272727272,binclass,8799,1760,2200,10,2,True,8,13.707079887390137,,0.7443400402414486,0.7443400402414486,0.6823863636363636,0.6823863636363636
Click_prediction_small,up,0.8335419274092616,0.832665832290363,0.0008760951188986343,0.7625649450583764,0.7584605346943685,0.004104410364007882,0.5094981182677866,0.5042318846932468,0.005266233574539814,0.5970143771139855,0.6247752387836326,-0.027760861669647086,0.4463293118733826,0.4452660487619216,0.001063263111460988,39948,3,3,0,2,binclass,31958,6392,7990,3,2,False,False,637.17724442482,62.43577814102173,574.7414662837982,14.483633995056152,7.323353290557861,7.160280704498291,True,48,637.0122935771942,,0.6259131967463027,0.6259131967463027,0.8322903629536921,0.8322903629536921,binclass,31958,6392,7990,3,2,True,39,62.34780526161194,,0.6253027089434714,0.6265807648090496,0.8322903629536921,0.8327596996245307
