dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_context_selector,ttt_taar_score_source,ttt_taar_selected_context_mean,ttt_taar_selected_context_min,ttt_taar_selected_context_max,ttt_taar_fallback_count,ttt_taar_skip_count,ttt_taar_feature_enabled,ttt_taar_feature_score_source,ttt_taar_selected_feature_mean,ttt_taar_selected_feature_min,ttt_taar_selected_feature_max,ttt_taar_feature_fallback_count
ASP-POTASSCO-classification,/data0/zhuhao2025/tabiclv2_test/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4864864864864865,0.4677189476256108,0.39796338539654047,0.8513989588114014,1.503789239435718,6.412717580795288,13.25194525718689,ok,,1035,828,0,259,,0,1e-05,False,5.5302581787109375,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,taar_sample,,,,,0,0,False,,,,,0
Amazon_employee_access,/data0/zhuhao2025/tabiclv2_test/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9446139761977418,0.9303100199911339,0.5817843675557882,0.8347434651170244,0.16629332368469296,612.652628660202,24.878912687301636,ok,,26215,20972,0,6554,0.21998201310634613,45,1e-05,True,612.2838160991669,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,roc_auc,0.8554856086358841,0.8555981660468239,0.9488842265878314,0.948121304596605,1,True,False,,taar_sample,attention,2183.822222222222,490.0,2691.0,0,0,False,,,,,0
BLE_RSSI_dataset_for_Indoor_localization,/data0/zhuhao2025/tabiclv2_test/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7336004006009014,0.7330939074782732,0.7326163567434275,0.9028185183210141,0.5858824810446973,134.11887955665588,2.2038187980651855,ok,,7987,6389,0,1997,0.5886730551719666,16,1e-05,True,134.06568121910095,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.9016697085347305,0.9016697085347305,0.7509386733416771,0.7509386733416771,0,True,False,,taar_sample,attention,1661.5625,726.0,2642.0,0,0,False,,,,,0
BNG(breast-w),/data0/zhuhao2025/tabiclv2_test/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239523,0.9880774596607574,0.9880918254272,0.9990917657501777,0.034311779371549896,670.4671075344086,40.85415768623352,ok,,31492,25193,0,7874,0.09949707239866257,48,1e-05,True,670.063068151474,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,6,epoch_chunk,roc_auc,0.9988028148255339,0.9988028148255339,0.9871408160025401,0.9871408160025401,0,True,False,,taar_sample,attention,2081.8958333333335,155.0,2506.0,0,0,False,,,,,0
BNG(cmc),/data0/zhuhao2025/tabiclv2_test/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5876130198915009,0.5863973804291363,0.5695022144018181,0.7646141815548501,0.875189190152952,1090.6153709888458,77.29545331001282,ok,,44236,35388,0,11060,0.9993435740470886,64,1e-05,True,1089.9680469036102,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,8,epoch_chunk,roc_auc,0.7591380674379433,0.7591380674379433,0.5765144665461122,0.5765144665461122,0,True,False,,taar_sample,attention,2466.21875,300.0,2873.0,0,0,False,,,,,0
BNG(tic-tac-toe),/data0/zhuhao2025/tabiclv2_test/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8152146304292609,0.8130888916054947,0.7859096138011621,0.8831712982584852,0.405528552316303,757.3690524101257,40.84342908859253,ok,,31492,25193,0,7874,0.640981912612915,54,1e-05,True,756.9082281589508,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,6,epoch_chunk,roc_auc,0.877775519968929,0.8781690237968605,0.8083822829020479,0.8088585489760279,1,True,False,,taar_sample,attention,2270.203703703704,155.0,2797.0,0,0,False,,,,,0
Bank_Customer_Churn_Dataset,/data0/zhuhao2025/tabiclv2_test/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8755,0.8652834419381789,0.7444077359331597,0.8821109244838059,0.3136568889686981,171.75213241577148,4.5042290687561035,ok,,8000,6400,0,2000,0.3836438059806824,18,1e-05,True,171.6148717403412,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.8782336200171432,0.8784202213211854,0.86125,0.86125,1,True,False,,taar_sample,attention,1665.111111111111,708.0,2627.0,0,0,False,,,,,0
Basketball_c,/data0/zhuhao2025/tabiclv2_test/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,0.7105483766648094,0.6886959603118357,0.7445369714150719,0.5769946507311013,17.534497022628784,0.6651298999786377,ok,,1072,857,0,268,0.5851698517799377,12,1e-05,True,17.486780643463135,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8182193288098295,0.819594718503576,0.7581395348837209,0.7441860465116279,4,True,False,,taar_sample,attention,486.5,475.0,495.0,0,0,False,,,,,0
California-Housing-Classification,/data0/zhuhao2025/tabiclv2_test/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9265988372093024,0.9265986864471795,0.9265996415572892,0.9801273211043416,0.18636994689025183,692.6066987514496,12.85939884185791,ok,,16512,13209,0,4128,0.23694083094596863,51,1e-05,True,692.357578754425,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.9770800732698504,0.9784507665029486,0.9191643960036331,0.9182561307901907,9,True,False,,taar_sample,attention,2176.6862745098038,1516.0,2562.0,0,0,False,,,,,0
Cardiovascular-Disease-dataset,/data0/zhuhao2025/tabiclv2_test/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7333571428571428,0.7329787914892053,0.7333357088443131,0.8009206798924668,0.5423015367658063,1399.9436287879944,141.2313323020935,ok,,56000,44800,0,14000,0.5593697726726532,81,1e-05,True,1399.0810360908508,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,9,epoch_chunk,roc_auc,0.7884386031870991,0.7986294064944088,0.7082142857142857,0.7329464285714286,1,True,False,,taar_sample,attention,2752.7901234567903,2335.0,2899.0,0,0,False,,,,,0
