dataset_name,status_old,status_new,accuracy_old,accuracy_new,accuracy_diff,f1_old,f1_new,n_train_old,n_val_old,n_test_old,n_features_old,n_classes_old
maternal_health_risk,ok,ok,0.8768472906403941,0.8719211822660099,-0.0049261083743842304,0.8764351318316744,0.8701077326808658,811,163,203,6,3
ASP-POTASSCO-classification,ok,ok,0.4903474903474903,0.4903474903474903,0.0,0.4027275032082981,0.4709621259507563,1035,207,259,141,11
Amazon_employee_access,ok,ok,0.9441562404638388,0.9441562404638388,0.0,0.6120275214222636,0.9294777284745342,26215,5243,6554,7,2
BLE_RSSI_dataset_for_Indoor_localization,ok,ok,0.7336004006009014,0.7336004006009014,0.0,0.7326906648972024,0.7330988191192322,7987,1598,1997,3,3
BNG(breast-w),ok,ok,0.9880619761239524,0.9880619761239524,0.0,0.9868098741143094,0.9880774596607574,31492,6299,7874,9,2
BNG(cmc),ok,ok,0.5874321880650994,0.5874321880650994,0.0,0.5716704549931236,0.5861486167429909,44236,8848,11060,9,3
BNG(tic-tac-toe),ok,ok,0.8148336296672594,0.8148336296672594,0.0,0.7914222662913235,0.8127924569695848,31492,6299,7874,9,2
Bank_Customer_Churn_Dataset,ok,ok,0.875,0.875,0.0,0.7774834625709383,0.8648358896033153,8000,1600,2000,10,2
Basketball_c,ok,ok,0.7014925373134329,0.7014925373134329,0.0,0.6796366027135258,0.6996191714905836,1072,215,268,11,2
California-Housing-Classification,ok,ok,0.9217538759689924,0.9217538759689924,0.0,0.92175365096989,0.9217535866844322,16512,3303,4128,8,2
Cardiovascular-Disease-dataset,ok,ok,0.7322142857142857,0.7322142857142857,0.0,0.7317836054494422,0.7317897470574969,56000,11200,14000,11,2
Click_prediction_small,ok,ok,0.7178973717146433,0.7178973717146433,0.0,0.5524480953448833,0.7328824852598665,31958,6392,7990,3,2
Credit_c,ok,ok,0.81865,0.81865,0.0,0.8137384071270374,0.8186470082745152,80000,16000,20000,22,3
Customer_Personality_Analysis,ok,ok,0.890625,0.890625,0.0,0.7518959301077092,0.8819285508425728,1792,359,448,24,2
Diabetic_Retinopathy_Debrecen,ok,ok,0.7402597402597403,0.7402597402597403,0.0,0.7384905660377359,0.739887282528792,920,184,231,19,2
E-CommereShippingData,ok,ok,0.6763636363636364,0.6763636363636364,0.0,0.6718506333802318,0.6643989307797264,8799,1760,2200,10,2
Employee,ok,ok,0.8603651987110634,0.8603651987110634,0.0,0.8315602836879432,0.8533323103677561,3722,745,931,8,2
FICO-HELOC-cleaned,ok,ok,0.7549367088607595,0.7549367088607595,0.0,0.7540736456684648,0.7546711509554379,7896,1580,1975,23,2
FOREX_audcad-day-High,ok,ok,0.7465940054495913,0.7465940054495913,0.0,0.7464057240933508,0.7464998647714711,1467,294,367,10,2
FOREX_audcad-hour-High,ok,ok,0.7176269252709641,0.7176269252709641,0.0,0.7170839047234147,0.7174473325377901,35060,7012,8765,10,2
FOREX_audchf-day-High,ok,ok,0.7493188010899182,0.7493188010899182,0.0,0.7493020493020492,0.749274129655601,1466,294,367,10,2
FOREX_audjpy-day-High,ok,ok,0.7874659400544959,0.7874659400544959,0.0,0.7867677730766939,0.7871334795888758,1465,293,367,10,2
FOREX_audjpy-hour-High,ok,ok,0.7220764403879064,0.7220764403879064,0.0,0.721778141798632,0.7220514955581413,35060,7012,8765,10,2
FOREX_audsgd-hour-High,ok,ok,0.7105533371363377,0.7105533371363377,0.0,0.7103361605885293,0.7105705302797058,35060,7012,8765,10,2
FOREX_audusd-hour-High,ok,ok,0.7070165430690245,0.7070165430690245,0.0,0.705977695367743,0.7070125551699793,35060,7012,8765,10,2
FOREX_cadjpy-day-High,ok,ok,0.7275204359673024,0.7275204359673024,0.0,0.7272754295226205,0.7272531562094675,1467,294,367,10,2
FOREX_cadjpy-hour-High,ok,ok,0.7159155733029093,0.7159155733029093,0.0,0.7154999804465996,0.7158882806377188,35060,7012,8765,10,2
Firm-Teacher_Clave-Direction_Classification,ok,ok,0.8791666666666667,0.8791666666666667,0.0,0.8149758951598048,0.8773704055474667,8640,1728,2160,16,4
Fitness_Club_c,ok,ok,0.8033333333333333,0.8033333333333333,0.0,0.7515126840841768,0.7961465279630122,1200,240,300,6,2
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,ok,ok,0.678125,0.678125,0.0,0.672752906601535,0.6727529066015349,1280,256,320,20,2
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,ok,ok,0.684375,0.684375,0.0,0.6842238962003302,0.6842238962003302,1280,256,320,20,2
Gender_Gap_in_Spanish_WP,ok,ok,0.6147368421052631,0.6147368421052631,0.0,0.4440270996387579,0.5695262646275574,3796,760,950,13,3
GesturePhaseSegmentationProcessed,ok,ok,0.8273417721518987,0.8273417721518987,0.0,0.8126865911660461,0.8260853739124627,7898,1580,1975,32,5
HR_Analytics_Job_Change_of_Data_Scientists,ok,ok,0.8006263048016702,0.8006263048016702,0.0,0.7403763647398645,0.8031068007088733,15326,3066,3832,13,2
IBM_HR_Analytics_Employee_Attrition_and_Performance,ok,ok,0.8775510204081632,0.8775510204081632,0.0,0.728001644736842,0.865202906820623,1176,236,294,31,2
INNHotelsGroup,ok,ok,0.9046175051688492,0.9046175051688492,0.0,0.8904752189509553,0.9040424831745656,29020,5804,7255,17,2
Indian_pines,ok,ok,0.9879715691634772,0.9879715691634772,0.0,0.9887119641615578,0.9879578467409422,7315,1463,1829,220,8
JapaneseVowels,ok,ok,0.9994982438534872,0.9994982438534872,0.0,0.9994229604196598,0.999498083906782,7968,1594,1993,14,9
KDDCup09_upselling,ok,ok,0.8109161793372319,0.8109161793372319,0.0,0.8091752055466928,0.8091752055466928,4102,821,1026,49,2
MIC,ok,ok,0.9090909090909092,0.9090909090909092,0.0,0.7911216136382817,0.8995772562318263,1319,264,330,104,2
MagicTelescope,ok,ok,0.8940588853838065,0.8940588853838065,0.0,0.8807927337791324,0.8925848685388427,15216,3044,3804,9,2
Marketing_Campaign,ok,ok,0.8839285714285714,0.8839285714285714,0.0,0.7346938775510203,0.8741572521865889,1792,359,448,27,2
Mobile_Price_Classification,ok,ok,0.965,0.965,0.0,0.965028546694125,0.965028546694125,1600,320,400,20,4
National_Health_and_Nutrition_Health_Survey,ok,ok,0.8333333333333334,0.8333333333333334,0.0,0.5121346922687089,0.7812470672147456,1822,365,456,7,2
PhishingWebsites,ok,ok,0.9805517865219358,0.9805517865219358,0.0,0.9802573749055418,0.9805310686674488,8844,1769,2211,30,2
PieChart3,ok,ok,0.8842592592592593,0.8842592592592593,0.0,0.5898838004101161,0.8504784688995214,861,173,216,37,2
Pima_Indians_Diabetes_Database,ok,ok,0.7272727272727273,0.7272727272727273,0.0,0.6821933962264151,0.7179459691252145,614,123,154,8,2
PizzaCutter3,ok,ok,0.8851674641148325,0.8851674641148325,0.0,0.5406593406593406,0.8432935485567066,834,167,209,37,2
Pumpkin_Seeds,ok,ok,0.882,0.882,0.0,0.8816017081462039,0.8818763921833047,2000,400,500,12,2
QSAR_biodegradation,ok,ok,0.8909952606635071,0.8909952606635071,0.0,0.8737414470432135,0.8890044360150116,843,169,211,41,2
Rain_in_Australia,ok,ok,0.8577272102296164,0.8577272102296164,0.0,0.7279818414169369,0.8494565538506728,116368,23274,29092,18,3
SDSS17,ok,ok,0.9776,0.9776,0.0,0.9742406117152256,0.9774870023962676,80000,16000,20000,12,3
Satellite,ok,ok,0.9931372549019608,0.9931372549019608,0.0,0.8460908365846824,0.9921048327071554,4080,816,1020,36,2
Telecom_Churn_Dataset,ok,ok,0.9610194902548724,0.9610194902548724,0.0,0.9180434782608696,0.9601297177498206,2666,534,667,17,2
UJI_Pen_Characters,ok,ok,0.5384615384615384,0.5384615384615384,0.0,0.5375922557466122,0.5267602845208057,1091,219,273,80,35
Water_Quality_and_Potability,ok,ok,0.6570121951219512,0.6570121951219512,0.0,0.5472489854512326,0.5961836671620173,2620,524,656,8,2
Wilt,ok,ok,0.9927461139896372,0.9927461139896372,0.0,0.9634329206567458,0.9926443320683423,3856,772,965,5,2
abalone,ok,ok,0.6399521531100478,0.6399521531100478,0.0,0.6405779590014546,0.6434301523934186,3341,669,836,8,3
accelerometer,ok,ok,0.7422633247279501,0.7422633247279501,0.0,0.8051988906161271,0.7402736752765593,122403,24481,30601,4,4
ada,ok,ok,0.8626506024096385,0.8626506024096385,0.0,0.8032700992174051,0.8577022271436191,3317,664,830,48,2
ada_agnostic,ok,ok,0.8510405257393209,0.8510405257393209,0.0,0.7911205017091487,0.8473644506454453,3649,730,913,48,2
ada_prior,ok,ok,0.8554216867469879,0.8554216867469879,0.0,0.7848082279837154,0.8467806516402012,3649,730,913,14,2
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,ok,ok,0.595,0.595,0.0,0.5702461799660441,0.5815916808149405,1600,320,400,7,2
allbp,ok,ok,0.9774834437086092,0.9774834437086092,0.0,0.7313995013813086,0.975153287094861,3017,604,755,29,3
allrep,ok,ok,0.9841059602649008,0.9841059602649008,0.0,0.7173902919105113,0.9836103393706578,3017,604,755,29,4
analcatdata_authorship,ok,ok,0.9940828402366864,0.9940828402366864,0.0,0.9959252633671238,0.9940804879569156,672,135,169,69,4
artificial-characters,ok,ok,0.9408023483365948,0.9408023483365948,0.0,0.9372072210535924,0.9408972355487204,8174,1635,2044,7,10
autoUniv-au4-2500,ok,ok,0.728,0.728,0.0,0.5049997545601285,0.6981575377472086,2000,400,500,100,3
autoUniv-au7-1100,ok,ok,0.4090909090909091,0.4090909090909091,0.0,0.3761782727172004,0.3888925460387546,880,176,220,12,5
bank,ok,ok,0.9089903792989052,0.9089903792989052,0.0,0.7697766792748747,0.9069116764401848,36168,7234,9043,16,2
banknote_authentication,ok,ok,0.5381818181818182,0.5381818181818182,0.0,0.4104589726709542,0.4413918493181166,1097,220,275,4,2
baseball,ok,ok,0.9440298507462688,0.9440298507462688,0.0,0.685149689667762,0.9342657264063036,1072,215,268,16,3
car-evaluation,ok,ok,0.9855491329479767,0.9855491329479767,0.0,0.9710529043761308,0.985510846572902,1382,277,346,21,4
churn,ok,ok,0.967,0.967,0.0,0.9263312281923692,0.9656316025636732,4000,800,1000,20,2
cmc,ok,ok,0.6033898305084746,0.6033898305084746,0.0,0.5812559796178561,0.603394360896538,1178,236,295,9,3
company_bankruptcy_prediction,ok,ok,0.968475073313783,0.968475073313783,0.0,0.6803200505802007,0.9642473162234833,5455,1091,1364,95,2
compass,ok,ok,0.8305797536797838,0.8305797536797838,0.0,0.8304174127174747,0.8304189888433224,13315,2663,3329,17,2
contraceptive_method_choice,ok,ok,0.6372881355932203,0.6372881355932203,0.0,0.619108623196734,0.6356221051172173,1178,236,295,9,3
credit,ok,ok,0.7858211187556088,0.7858211187556088,0.0,0.7858049999606258,0.7858055557811423,13371,2675,3343,10,2
customer_satisfaction_in_airline,ok,ok,0.9647751770865414,0.9647751770865414,0.0,0.9645528948253722,0.9648185097004106,103904,20781,25976,21,2
dabetes_130-us_hospitals,ok,ok,0.6438537879532279,0.6438537879532279,0.0,0.6363960666356766,0.6404690314169945,81412,16283,20354,20,2
default_of_credit_card_clients,ok,ok,0.8271666666666667,0.8271666666666667,0.0,0.6950806989855969,0.8069975508115931,24000,4800,6000,23,2
delta_ailerons,ok,ok,0.953015427769986,0.953015427769986,0.0,0.952863341580678,0.953028571020914,5703,1141,1426,5,2
dis,ok,ok,0.990728476821192,0.990728476821192,0.0,0.8134420558438349,0.989524085374335,3017,604,755,29,2
dna,ok,ok,0.9717868338557992,0.9717868338557992,0.0,0.9675705071944372,0.9719225529564052,2548,510,638,180,3
drug_consumption,ok,ok,0.403183023872679,0.403183023872679,0.0,0.0820955981636511,0.2316968605998004,1507,302,377,12,7
dry_bean_dataset,ok,ok,0.9287550495776716,0.9287550495776716,0.0,0.9409703456133244,0.928732548177597,10888,2178,2723,16,7
eeg-eye-state,ok,ok,0.9939919893190922,0.9939919893190922,0.0,0.993926969579442,0.9939911503547096,11984,2397,2996,14,2
