dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,roc_auc,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4555984555984556,0.43310924250195143,0.8453974755559368,0.01905989646911621,20.356983184814453,ok,,1035,0,0,259,,0,5e-06,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7396094141211818,0.7390358122295975,0.9031368168136297,38.634392976760864,1.0270676612854004,ok,,7987,6389,0,1997,,8,5e-06,True,38.62678265571594,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5868896925858951,0.585301436286202,0.7640941533560642,504.33323073387146,21.150455236434937,ok,,44236,35388,0,11060,,16,5e-06,True,504.3329200744629,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8632437488022905,0.8829923914669676,56.10224485397339,1.5667946338653564,ok,,8000,6400,0,2000,,8,5e-06,True,56.101890325546265,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9108527131782945,0.9108504112395389,0.9743531540963288,130.39584493637085,3.8072593212127686,ok,,16512,13209,0,4128,,8,5e-06,True,130.3955192565918,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8334167709637046,0.762720237122303,0.6269776191502819,130.04539251327515,7.849246263504028,ok,,31958,25566,0,7990,,16,5e-06,True,130.04504227638245,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8995535714285714,0.8864011754201552,0.9022407646805343,16.734845638275146,0.4782114028930664,ok,,1792,1433,0,448,,8,5e-06,True,16.734555959701538,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6777272727272727,0.6657480172844104,0.7308422152595972,40.93672513961792,1.7782609462738037,ok,,8799,7039,0,2200,,8,5e-06,True,40.936468839645386,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7422784810126583,0.7421831122176172,0.8211698626422165,54.51248836517334,2.421436071395874,ok,,7896,6316,0,1975,,8,5e-06,True,54.512213468551636,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7152310325156874,0.7152060087319014,0.7894634251936212,364.46703839302063,15.42823076248169,ok,,35060,28048,0,8765,,16,5e-06,True,364.46668815612793,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
