dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.444015444015444,0.4291542940161871,0.3617351943956222,0.836192218388283,1.5567253148002254,0.0251815319061279,27.11620330810547,ok,,1035,0,0,259,,0,5e-06,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7636454682023035,0.7632216608650894,0.7631429603861637,0.9208418442978608,0.5291906994790369,122.49586415290833,0.976698637008667,ok,,7987,6389,0,1997,,120,5e-06,True,122.48743343353271,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5861663652802893,0.5845636758054341,0.5658865992692795,0.765359899306507,0.8743646123977346,815.7465064525604,12.87961769104004,ok,,44236,35388,0,11060,,540,5e-06,True,815.7461447715759,tabpfn_finetune_epoch_chunks,dataset_val_split,30,18,tabpfn_finetuning_api,,,0,False,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8725,0.8642327204787729,0.7507561490612338,0.8852766479885125,0.3107257585636824,168.31606721878052,1.1068646907806396,ok,,8000,6400,0,2000,,120,5e-06,True,168.31559205055237,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9219961240310076,0.9219961240310076,0.921996105720647,0.9785903835477848,0.1880929211435458,214.09060502052307,2.7016632556915283,ok,,16512,13209,0,4128,,210,5e-06,True,214.09028315544128,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api,,,0,False,False,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8329161451814768,0.7602036831424906,0.5064559025202777,0.6267960769439274,0.4384734747093659,531.2844080924988,7.186419248580933,ok,,31958,25566,0,7990,,390,5e-06,True,531.2840149402618,tabpfn_finetune_epoch_chunks,dataset_val_split,30,13,tabpfn_finetuning_api,,,0,False,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8973214285714286,0.8886775692419826,0.7305206252203549,0.9044736945195284,0.255522133135528,26.51641273498535,0.4531199932098388,ok,,1792,1433,0,448,,30,5e-06,True,26.5157253742218,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6754545454545454,0.6642292210927905,0.7242628781133251,0.733006420059229,0.5043550601578484,81.98216342926025,1.2347266674041748,ok,,8799,7039,0,2200,,120,5e-06,True,81.98177790641785,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7427848101265823,0.7427848101265823,0.7423514354155454,0.8209202519527157,0.5207473881316148,173.35073590278623,1.4155256748199463,ok,,7896,6316,0,1975,,120,5e-06,True,173.35038542747498,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7143183114660582,0.7143612535934681,0.7142666825917985,0.7895505027307745,0.5602170828996126,838.8912181854248,8.694922685623169,ok,,35060,28048,0,8765,,450,5e-06,True,838.890816450119,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,,,0,False,False,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.776566757493188,0.7761071005542206,0.775384935497295,0.8525355210748469,0.4788445978938618,55.62220478057861,0.5373713970184326,ok,,1465,1172,0,367,,30,5e-06,True,55.62178325653076,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
