dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/data0/zhuhao2025/tabiclv2_test/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4826254826254826,0.05441164970397949,80.41746497154236,ok,
BLE_RSSI_dataset_for_Indoor_localization,/data0/zhuhao2025/tabiclv2_test/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7361041562343515,0.6550326347351074,2.0809381008148193,ok,
BNG(cmc),/data0/zhuhao2025/tabiclv2_test/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.579746835443038,6.572720766067505,85.57203459739685,ok,
Bank_Customer_Churn_Dataset,/data0/zhuhao2025/tabiclv2_test/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.878,1.0308170318603516,4.51617693901062,ok,
California-Housing-Classification,/data0/zhuhao2025/tabiclv2_test/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9190891472868217,2.146056652069092,16.746455907821655,ok,
Click_prediction_small,/data0/zhuhao2025/tabiclv2_test/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8330413016270338,2.8511176109313965,23.10140633583069,ok,
Customer_Personality_Analysis,/data0/zhuhao2025/tabiclv2_test/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8950892857142857,0.5791101455688477,1.078129529953003,ok,
E-CommereShippingData,/data0/zhuhao2025/tabiclv2_test/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6790909090909091,1.0692782402038574,5.289074420928955,ok,
FICO-HELOC-cleaned,/data0/zhuhao2025/tabiclv2_test/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7473417721518988,1.9661943912506104,9.586042642593384,ok,
FOREX_audcad-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7123787792355961,5.729720115661621,81.18965101242065,ok,
FOREX_audjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.776566757493188,1.1626360416412354,0.6301798820495605,ok,
FOREX_audsgd-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7094124358243012,9.056050300598145,81.03129243850708,ok,
FOREX_cadjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7247956403269755,0.3273906707763672,0.5131678581237793,ok,
Firm-Teacher_Clave-Direction_Classification,/data0/zhuhao2025/tabiclv2_test/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8513888888888889,1.0222954750061035,5.8078343868255615,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/data0/zhuhao2025/tabiclv2_test/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.38277673721313477,0.49964427947998047,ok,
Gender_Gap_in_Spanish_WP,/data0/zhuhao2025/tabiclv2_test/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.5989473684210527,0.547128438949585,1.800145149230957,ok,
HR_Analytics_Job_Change_of_Data_Scientists,/data0/zhuhao2025/tabiclv2_test/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8001043841336117,1.6871919631958008,15.272867202758789,ok,
INNHotelsGroup,/data0/zhuhao2025/tabiclv2_test/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.8861474844934528,6.821767568588257,74.91093111038208,ok,
JapaneseVowels,/data0/zhuhao2025/tabiclv2_test/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,1.360025405883789,6.866210460662842,ok,
MIC,/data0/zhuhao2025/tabiclv2_test/data178/MIC,binclass,1319,264,330,104,2,0.906060606060606,1.8080065250396729,1.8866572380065918,ok,
Marketing_Campaign,/data0/zhuhao2025/tabiclv2_test/data178/Marketing_Campaign,binclass,1792,359,448,27,2,0.8839285714285714,0.5854556560516357,0.9617743492126465,ok,
National_Health_and_Nutrition_Health_Survey,/data0/zhuhao2025/tabiclv2_test/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8355263157894737,0.35254478454589844,0.5037539005279541,ok,
PieChart3,/data0/zhuhao2025/tabiclv2_test/data178/PieChart3,binclass,861,173,216,37,2,0.875,0.7423946857452393,0.9359443187713623,ok,
PizzaCutter3,/data0/zhuhao2025/tabiclv2_test/data178/PizzaCutter3,binclass,834,167,209,37,2,0.8803827751196173,0.5386590957641602,0.6595470905303955,ok,
QSAR_biodegradation,/data0/zhuhao2025/tabiclv2_test/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.9004739336492891,0.5692479610443115,0.8951141834259033,ok,
SDSS17,/data0/zhuhao2025/tabiclv2_test/data178/SDSS17,multiclass,80000,16000,20000,12,3,0.9747,13.127011060714722,416.4715139865875,ok,
Telecom_Churn_Dataset,/data0/zhuhao2025/tabiclv2_test/data178/Telecom_Churn_Dataset,binclass,2666,534,667,17,2,0.95952023988006,0.6388261318206787,1.6571505069732666,ok,
Water_Quality_and_Potability,/data0/zhuhao2025/tabiclv2_test/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6600609756097561,0.4258553981781006,0.7893280982971191,ok,
abalone,/data0/zhuhao2025/tabiclv2_test/data178/abalone,multiclass,3341,669,836,8,3,0.6543062200956937,0.5077962875366211,1.070838451385498,ok,
ada,/data0/zhuhao2025/tabiclv2_test/data178/ada,binclass,3317,664,830,48,2,0.8530120481927711,1.1779265403747559,3.089176893234253,ok,
