dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,aoc,aoc_metric,aoc_error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,1.4741771221160889,3.916442394256592,ok,,1.5039419252701582,log_loss,,1035,828,0,259,,0,5e-06,False,0.8879561424255371,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880733760592986,3667.3991796970367,20.320056200027462,ok,,0.0008171821224792,1_minus_roc_auc,,31492,25193,0,7874,0.0378288718638941,44,5e-06,True,3667.1398146152496,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.9872995713605334,0.9884108588664868,14,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8645747452614437,271.5397312641144,2.750925064086914,ok,,0.1180456265202029,1_minus_roc_auc,,8000,6400,0,2000,0.3139172289520502,12,5e-06,True,271.448184967041,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.865,0.869375,4,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.734,0.7335202976352835,5203.127091169357,56.00801229476929,ok,,0.1981072891778903,1_minus_roc_auc,,56000,44800,0,14000,0.5314604006707668,48,5e-06,True,5202.614682197571,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,0.7325892857142857,0.7327678571428572,8,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8928571428571429,0.8848287598792377,40.68300914764404,0.7715134620666504,ok,,0.0867121087476006,1_minus_roc_auc,,1792,1433,0,448,0.2665187120437622,9,5e-06,True,40.61457633972168,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8885793871866295,0.8913649025069638,1,True
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8614393125671321,0.8551444492589773,97.18566250801086,1.089115858078003,ok,,0.1210950286415711,1_minus_roc_auc,,3722,2977,0,931,0.3658025534823537,13,5e-06,True,97.12857866287231,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8523489932885906,0.8577181208053691,5,True
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7151169423844838,0.7150814160501828,2774.860576152801,24.537322759628296,ok,,0.2097145753622994,1_minus_roc_auc,,35060,28048,0,8765,0.5515439976006746,30,5e-06,True,2774.566737174988,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.7164860239589276,0.7174843126069596,7,True
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7220764403879064,0.7220514955581413,1482.5277936458588,24.54727840423584,ok,,0.199991359639427,1_minus_roc_auc,,35060,28048,0,8765,0.56995496340096,16,5e-06,True,1482.2604794502258,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.7191956645750143,0.7191956645750143,0,True
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7111716621253406,0.7103545966706896,65.31087732315063,0.4422461986541748,ok,,0.2095806604894274,1_minus_roc_auc,,1467,1173,0,367,0.5241256896406412,24,5e-06,True,65.27438688278198,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.7006802721088435,0.7210884353741497,16,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.8,0.7922205310333165,17.78755497932434,0.2431685924530029,ok,,0.1766391503233607,1_minus_roc_auc,,1200,960,0,300,0.4508652407675981,10,5e-06,True,17.75402808189392,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.7666666666666667,0.775,2,True
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6136842105263158,0.5699184058872218,101.67718768119812,1.2275259494781494,ok,,0.7903519888497201,log_loss,,3796,3036,0,950,0.8009328488260508,12,5e-06,True,101.62232851982117,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.6157894736842106,0.6223684210526316,4,True
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8775510204081632,0.865202906820623,29.56318759918213,0.5903401374816895,ok,,0.1630631406667242,1_minus_roc_auc,,1176,940,0,294,0.3018402056768536,8,5e-06,True,29.48820734024048,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9110169491525424,0.9110169491525424,0,True
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9994982438534872,0.999498083906782,193.22912907600403,3.0105886459350586,ok,,0.0009732406068493,log_loss,,7968,6374,0,1993,0.0142999623494688,8,5e-06,True,193.12566137313843,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9968632371392724,0.9968632371392724,0,True
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.8945846477392219,0.8930703859564486,1374.165364742279,6.435507535934448,ok,,0.0510444284420587,1_minus_roc_auc,,15216,12172,0,3804,0.2806076277047395,22,5e-06,True,1374.0353798866272,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8827201051248358,0.8853482260183968,14,True
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8333333333333334,0.7812470672147456,22.657323360443115,0.4366395473480224,ok,,0.2232197145820664,1_minus_roc_auc,,1822,1457,0,456,0.3817887660115957,8,5e-06,True,22.62435269355774,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8547945205479452,0.8547945205479452,0,True
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7179459691252145,15.318766117095947,0.4079377651214599,ok,,0.1390740740740741,1_minus_roc_auc,,614,491,0,154,0.5465328674763441,8,5e-06,True,15.291364192962646,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.7723577235772358,0.7723577235772358,0,True
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8862559241706162,0.8844403574544338,30.294341564178467,1.1622624397277832,ok,,0.0493963782696176,1_minus_roc_auc,,843,674,0,211,0.2890466507524252,9,5e-06,True,30.177149057388306,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.863905325443787,0.8698224852071006,1,True
Satellite,/home/crc00006699/zh/tabiclv2/data178/Satellite,binclass,4080,816,1020,36,2,0.9931372549019608,0.9921048327071554,109.67765522003174,2.089193820953369,ok,,0.0060364842454394,1_minus_roc_auc,,4080,3264,0,1020,0.0065205784485442,8,5e-06,True,109.54398560523988,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9963235294117648,0.9963235294117648,0,True
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6524390243902439,0.6012679739509007,67.95843648910522,0.7320199012756348,ok,,0.3289453124999999,1_minus_roc_auc,,2620,2096,0,656,0.646893534809351,14,5e-06,True,67.92489433288574,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.6412213740458015,0.6450381679389313,6,True
accelerometer,/home/crc00006699/zh/tabiclv2/data178/accelerometer,multiclass,122403,24481,30601,4,4,0.7456945851442763,0.7436135923528404,5764.056626319885,228.46278643608093,ok,,0.530465135938962,log_loss,,122403,97922,0,30601,0.5729852970689535,48,5e-06,True,5763.654284238815,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,0.7434745312691475,0.7463747395939708,2,True
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8565169769989047,0.8481072303572835,108.56998229026794,1.4938480854034424,ok,,0.0994817687931057,1_minus_roc_auc,,3649,2919,0,913,0.3117978870868683,13,5e-06,True,108.49521493911745,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8342465753424657,0.8424657534246576,5,True
allrep,/home/crc00006699/zh/tabiclv2/data178/allrep,multiclass,3017,604,755,29,4,0.9854304635761588,0.9849641051995724,93.68022108078004,1.3214483261108398,ok,,0.0375981740241013,log_loss,,3017,2413,0,755,0.0485400984762236,11,5e-06,True,93.5659806728363,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9867549668874172,0.98841059602649,3,True
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.714,0.6845230998509687,150.3873908519745,2.040857553482056,ok,,0.6622256905111622,log_loss,,2000,1600,0,500,0.747098796069622,12,5e-06,True,150.13392519950867,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.7075,0.72,4,True
banknote_authentication,/home/crc00006699/zh/tabiclv2/data178/banknote_authentication,binclass,1097,220,275,4,2,0.5381818181818182,0.4176606666870183,19.37871479988098,0.140542984008789,ok,,0.4545965927354548,1_minus_roc_auc,,1097,877,0,275,0.6784989759325981,17,5e-06,True,19.35369634628296,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.5772727272727273,0.5909090909090909,9,True
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.967,0.9656316025636732,83.22294187545776,1.5539495944976809,ok,,0.0676648585275637,1_minus_roc_auc,,4000,3200,0,1000,0.1188717081677168,8,5e-06,True,83.13507676124573,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.975,0.975,0,True
