dataset_name,group,winner,task_type_iclv2_ensmble32,n_train_iclv2_ensmble32,n_val_iclv2_ensmble32,n_test_compare,n_features_iclv2_ensmble32,n_classes_iclv2_ensmble32,acc_iclv2_ensmble32,acc_ttt_step8,delta_ttt_minus_iclv2,delta_pp,delta_correct_est,fit_seconds_iclv2_ensmble32,predict_seconds_iclv2_ensmble32,total_seconds_iclv2_ensmble32,fit_seconds_ttt_step8,predict_seconds_ttt_step8,ttt_update_seconds,total_seconds_ttt_step8,ttt_applied,ttt_steps,ttt_lr,ttt_loss,ttt_split_strategy,ttt_split_reason,ttt_execution_group,change_strength,dataset_dir_iclv2_ensmble32,dataset_dir_ttt_step8
jungle_chess_2pcs_raw_endgame_complete,TTT step8更高,ttt_step8,multiclass,35855,7171,8964,6,3,0.892458723784025,0.933065595716198,0.04060687193217294,4.060687193217294,363.99999999999824,0.6189601421356201,24.453245162963867,25.072205305099487,1079.9050133228302,25.46374487876892,1079.6986367702484,1105.3687582015991,True,8,5e-06,0.1602476141415536,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data178/jungle_chess_2pcs_raw_endgame_complete
compass,TTT step8更高,ttt_step8,binclass,13315,2663,3329,17,2,0.8305797536797838,0.8618203664764194,0.031240612796635592,3.124061279663559,103.99999999999989,0.623884916305542,6.156905651092529,6.780790567398071,176.4980401992798,6.555361270904541,176.27851939201355,183.05340147018435,True,8,5e-06,0.3591696051880717,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/compass,/home/crc00006699/zh/tabiclv2/data178/compass
eye_movements,TTT step8更高,ttt_step8,multiclass,8748,1750,2188,27,3,0.8354661791590493,0.8656307129798904,0.030164533820841055,3.0164533820841055,66.00000000000023,0.5645596981048584,4.274454832077026,4.839014530181885,91.52707481384276,4.528202056884766,91.28988671302795,96.05527687072752,True,8,5e-06,0.4652378158643842,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/eye_movements,/home/crc00006699/zh/tabiclv2/data178/eye_movements
mfeat-morphological,TTT step8更高,ttt_step8,multiclass,1600,320,400,6,10,0.77,0.795,0.025000000000000022,2.500000000000002,10.000000000000009,0.3915579319000244,0.5862913131713867,0.9778492450714111,11.822044849395752,0.5678563117980957,11.792447566986084,12.389901161193848,True,8,5e-06,0.566044881939888,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/mfeat-morphological,/home/crc00006699/zh/tabiclv2/data178/mfeat-morphological
eye_movements_bin,TTT step8更高,ttt_step8,binclass,6086,1218,1522,20,2,0.6550591327201051,0.6780551905387647,0.022996057818659654,2.2996057818659654,34.99999999999999,0.4958975315093994,2.5536603927612305,3.04955792427063,51.39462471008301,2.629765510559082,51.26825428009033,54.02439022064209,True,8,5e-06,0.6060092896223068,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin
Pima_Indians_Diabetes_Database,TTT step8更高,ttt_step8,binclass,614,123,154,8,2,0.7272727272727273,0.7467532467532467,0.01948051948051943,1.9480519480519431,2.9999999999999925,0.3529610633850097,0.5414254665374756,0.8943865299224854,11.036022424697876,0.5212433338165283,11.009694814682009,11.557265758514404,True,8,5e-06,0.4345643315464258,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database
banknote_authentication,TTT step8更高,ttt_step8,binclass,1097,220,275,4,2,0.5381818181818182,0.5563636363636364,0.018181818181818188,1.8181818181818188,5.000000000000002,0.3482005596160888,0.1908698081970214,0.5390703678131102,6.095321178436279,0.2328143119812011,6.071921110153198,6.3281354904174805,True,8,5e-06,0.6839741244912148,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/banknote_authentication,/home/crc00006699/zh/tabiclv2/data178/banknote_authentication
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,TTT step8更高,ttt_step8,binclass,1600,320,400,7,2,0.595,0.61,0.015000000000000013,1.5000000000000013,6.000000000000005,0.3912899494171142,0.483259916305542,0.8745498657226562,10.487465381622314,0.504490852355957,10.450993061065674,10.991956233978271,True,8,5e-06,0.6180656030774117,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,/home/crc00006699/zh/tabiclv2/data178/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
hill-valley,TTT step8更高,ttt_step8,binclass,969,194,243,100,2,0.97119341563786,0.9835390946502056,0.012345679012345623,1.2345679012345623,2.9999999999999862,0.5066592693328857,1.1701486110687256,1.6768078804016113,14.575231075286863,1.1634190082550049,14.430621147155762,15.738650083541868,True,8,5e-06,0.0944459004094824,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley
kc1,TTT step8更高,ttt_step8,binclass,1687,338,422,21,2,0.8720379146919431,0.8838862559241706,0.011848341232227444,1.1848341232227444,4.999999999999981,0.4231724739074707,0.840113639831543,1.2632861137390137,12.602985382080078,0.7170438766479492,12.546012163162231,13.320029258728027,True,8,5e-06,0.3084558043628931,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/kc1,/home/crc00006699/zh/tabiclv2/data178/kc1
FOREX_audcad-day-High,TTT step8更高,ttt_step8,binclass,1467,294,367,10,2,0.7465940054495913,0.7574931880108992,0.01089918256130784,1.089918256130784,3.999999999999978,0.3680727481842041,0.5562481880187988,0.9243209362030029,11.687574863433838,0.4357273578643799,11.655280351638794,12.123302221298218,True,8,5e-06,0.5735081695020199,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High
mfeat-fourier,TTT step8更高,ttt_step8,multiclass,1600,320,400,76,10,0.9225,0.9325,0.010000000000000009,1.0000000000000009,4.0000000000000036,0.4791357517242431,1.4284186363220217,1.9075543880462649,16.670446634292603,1.5172934532165527,16.524283409118652,18.187740087509155,True,8,5e-06,0.2311053965240717,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier
ada_prior,TTT step8更高,ttt_step8,binclass,3649,730,913,14,2,0.8554216867469879,0.8619934282584885,0.006571741511500528,0.6571741511500528,5.999999999999982,0.418839693069458,1.681386947631836,2.100226640701294,25.185532331466675,1.411613941192627,25.11153531074524,26.5971462726593,True,8,5e-06,0.3198757506906986,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior
waveform-5000,TTT step8更高,ttt_step8,multiclass,4000,800,1000,40,3,0.865,0.871,0.006000000000000005,0.6000000000000005,6.000000000000005,0.5685241222381592,2.210875988006592,2.779400110244751,32.31106424331665,2.2933506965637207,32.16428470611572,34.60441493988037,True,8,5e-06,0.2694925805553794,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/waveform-5000,/home/crc00006699/zh/tabiclv2/data178/waveform-5000
