dataset_name,compare_result,accuracy_ttt,accuracy_baseline,delta_accuracy,delta_pp,n_features_data178,n_total_data178,train_size_data178,val_size_data178,test_size_data178,n_num_features_data178,n_cat_features_data178,n_classes,task_type,ttt_applied,ttt_steps,ttt_oom_fallback
FOREX_audjpy-hour-High,declined,0.5171705647461494,0.7210496292070736,-0.2038790644609242,-20.38790644609242,10,43825,28048,7012,8765,10,0,2.0,binclass,True,16,False
FOREX_audsgd-hour-High,declined,0.5354249857387336,0.7005134055904164,-0.16508841985168277,-16.508841985168278,10,43825,28048,7012,8765,10,0,2.0,binclass,True,16,False
FOREX_audusd-hour-High,declined,0.5374786081003993,0.689218482601255,-0.1517398745008557,-15.17398745008557,10,43825,28048,7012,8765,10,0,2.0,binclass,True,16,False
credit,declined,0.6811247382590487,0.784026323661382,-0.1029015854023333,-10.29015854023333,10,16714,10696,2675,3343,10,0,2.0,binclass,True,8,False
FOREX_cadjpy-hour-High,declined,0.619281232173417,0.7108956075299486,-0.09161437535653161,-9.16143753565316,10,43825,28048,7012,8765,10,0,2.0,binclass,True,16,False
hill-valley,declined,0.8724279835390947,0.9423868312757202,-0.06995884773662553,-6.995884773662553,100,1212,775,194,243,100,0,2.0,binclass,True,8,False
MagicTelescope,declined,0.852260778128286,0.898527865404837,-0.04626708727655093,-4.626708727655093,9,19020,12172,3044,3804,9,0,2.0,binclass,True,8,False
artificial-characters,declined,0.8747553816046967,0.9153620352250488,-0.040606653620352096,-4.060665362035209,7,10218,6539,1635,2044,7,0,10.0,multiclass,True,8,False
kc1,declined,0.8601895734597157,0.8909952606635071,-0.0308056872037914,-3.08056872037914,21,2109,1349,338,422,21,0,2.0,binclass,True,8,False
banknote_authentication,declined,0.5163636363636364,0.5454545454545454,-0.029090909090909056,-2.9090909090909056,4,1372,877,220,275,4,0,,binclass,True,8,False
ringnorm,declined,0.9527027027027029,0.9817567567567568,-0.029054054054053924,-2.9054054054053924,20,7400,4736,1184,1480,20,0,2.0,binclass,True,8,False
wine-quality-white,declined,0.6459183673469387,0.6744897959183673,-0.02857142857142858,-2.857142857142858,11,4898,3134,784,980,11,0,7.0,multiclass,True,8,False
steel_plates_faults,declined,0.8406169665809768,0.8688946015424165,-0.028277634961439646,-2.8277634961439646,27,1941,1241,311,389,25,2,,multiclass,True,8,False
wine,declined,0.761252446183953,0.786692759295499,-0.02544031311154593,-2.544031311154593,4,2554,1634,409,511,4,0,2.0,binclass,True,8,False
FOREX_cadjpy-day-High,declined,0.7111716621253406,0.7356948228882834,-0.02452316076294281,-2.452316076294281,10,1834,1173,294,367,10,0,2.0,binclass,True,8,False
first-order-theorem-proving,declined,0.625,0.6495098039215687,-0.02450980392156865,-2.450980392156865,51,6118,3915,979,1224,51,0,6.0,multiclass,True,8,False
autoUniv-au4-2500,declined,0.698,0.722,-0.02400000000000002,-2.400000000000002,100,2500,1600,400,500,58,42,3.0,multiclass,True,8,False
Diabetic_Retinopathy_Debrecen,declined,0.7272727272727273,0.7489177489177489,-0.021645021645021578,-2.164502164502158,19,1151,736,184,231,16,3,,binclass,True,8,False
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,declined,0.605,0.6225,-0.01750000000000007,-1.750000000000007,7,2000,1280,320,400,3,4,2.0,binclass,True,8,False
wine-quality-red,declined,0.659375,0.675,-0.015625,-1.5625,4,1599,1023,256,320,4,0,6.0,multiclass,True,8,False
jm1,declined,0.808451998162609,0.8240698208543867,-0.015617822691777694,-1.5617822691777694,21,10885,6966,1742,2177,21,0,2.0,binclass,True,8,False
UJI_Pen_Characters,declined,0.608058608058608,0.6227106227106227,-0.014652014652014711,-1.465201465201471,80,1364,872,219,273,80,0,,multiclass,False,0,False
waveform_database_generator,declined,0.325,0.339,-0.014000000000000012,-1.4000000000000012,21,4999,3199,800,1000,21,0,,multiclass,True,8,False
pc4,declined,0.9075342465753424,0.9212328767123288,-0.013698630136986356,-1.3698630136986356,37,1458,932,234,292,37,0,2.0,binclass,True,8,False
GesturePhaseSegmentationProcessed,declined,0.8141772151898734,0.8278481012658228,-0.013670886075949351,-1.3670886075949351,32,9873,6318,1580,1975,32,0,5.0,multiclass,True,8,False
autoUniv-au7-1100,declined,0.4227272727272727,0.4363636363636363,-0.013636363636363613,-1.3636363636363613,12,1100,704,176,220,8,4,5.0,multiclass,True,8,False
vehicle,declined,0.8764705882352941,0.888235294117647,-0.0117647058823529,-1.17647058823529,18,846,540,136,170,18,0,4.0,multiclass,True,8,False
compass,declined,0.8522078702313007,0.863923100030039,-0.011715229798738291,-1.1715229798738291,17,16644,10652,2663,3329,8,9,2.0,binclass,True,8,False
Marketing_Campaign,declined,0.8883928571428571,0.8995535714285714,-0.011160714285714302,-1.1160714285714302,27,2240,1433,359,448,19,8,,binclass,True,8,False
segment,declined,0.9372294372294372,0.948051948051948,-0.010822510822510845,-1.0822510822510845,17,2310,1478,370,462,17,0,7.0,multiclass,True,8,False
thyroid-dis,declined,0.6857142857142857,0.6964285714285714,-0.010714285714285676,-1.0714285714285676,26,2800,1792,448,560,6,20,5.0,multiclass,True,8,False
cmc,declined,0.5796610169491525,0.5898305084745763,-0.01016949152542379,-1.016949152542379,9,1473,942,236,295,2,7,3.0,multiclass,True,8,False
ozone-level-8hr,declined,0.9487179487179488,0.9585798816568049,-0.009861932938856066,-0.9861932938856066,72,2534,1621,406,507,72,0,2.0,binclass,True,8,False
maternal_health_risk,declined,0.8571428571428571,0.8669950738916257,-0.009852216748768572,-0.9852216748768572,6,1014,648,163,203,6,0,,multiclass,True,8,False
pc1,declined,0.9369369369369368,0.945945945945946,-0.00900900900900925,-0.900900900900925,21,1109,709,178,222,21,0,2.0,binclass,True,8,False
sylvine,declined,0.9736585365853658,0.982439024390244,-0.008780487804878168,-0.8780487804878168,20,5124,3279,820,1025,20,0,2.0,binclass,True,8,False
electricity,declined,0.8992607304424584,0.9075361359373276,-0.00827540549486927,-0.827540549486927,8,45312,28999,7250,9063,7,1,2.0,binclass,True,16,False
Firm-Teacher_Clave-Direction_Classification,declined,0.8759259259259259,0.8837962962962963,-0.007870370370370416,-0.7870370370370416,16,10800,6912,1728,2160,0,16,,multiclass,True,8,False
