dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy_iclv2_ensmble8,accuracy_tabpfnv3,delta_tabpfnv3_minus_iclv2_ensmble8,delta_correct_estimate,winner
ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.471042471042471,0.444015444015444,-0.027027027027026973,-6.999999999999986,iclv2_ensmble8
Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9435459261519684,0.9433933475740006,-0.00015257857796779906,-1.000000000000955,iclv2_ensmble8
BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7325988983475212,0.7325988983475212,0.0,0.0,tie
BNG(breast-w),binclass,31492,6299,7874,9,2,0.9883159766319533,0.9881889763779528,-0.00012700025400047554,-0.9999999999997444,iclv2_ensmble8
BNG(cmc),multiclass,44236,8848,11060,9,3,0.5839059674502712,0.5886075949367089,0.004701627486437654,52.000000000000455,tabpfnv3_results
BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8139446278892558,0.8157226314452629,0.0017780035560071017,13.999999999999918,tabpfnv3_results
Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.875,0.878,0.0030000000000000027,6.000000000000005,tabpfnv3_results
Basketball_c,binclass,1072,215,268,11,2,0.6940298507462687,0.6977611940298507,0.003731343283582045,0.999999999999988,tabpfnv3_results
California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9207848837209304,0.9195736434108528,-0.001211240310077577,-5.000000000000238,iclv2_ensmble8
Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7315714285714285,0.7339285714285714,0.0023571428571428354,32.999999999999694,tabpfnv3_results
Click_prediction_small,binclass,31958,6392,7990,3,2,0.7178973717146433,0.8334167709637046,0.1155193992490613,922.9999999999998,tabpfnv3_results
Credit_c,multiclass,80000,16000,20000,22,3,0.81845,0.8198,0.0013499999999999623,26.999999999999247,tabpfnv3_results
Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8883928571428571,0.8928571428571429,0.0044642857142858094,2.0000000000000426,tabpfnv3_results
Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7359307359307359,0.7489177489177489,0.012987012987012991,3.000000000000001,tabpfnv3_results
E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6768181818181818,0.6772727272727272,0.00045454545454548523,1.0000000000000675,tabpfnv3_results
Employee,binclass,3722,745,931,8,2,0.8603651987110634,0.8625134264232008,0.002148227712137407,1.999999999999926,tabpfnv3_results
FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7534177215189873,0.7478481012658228,-0.005569620253164542,-10.999999999999972,iclv2_ensmble8
FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7384196185286104,0.7411444141689373,0.0027247956403269047,0.999999999999974,tabpfnv3_results
FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7159155733029093,0.7151169423844838,-0.0007986309184255802,-7.0000000000002105,iclv2_ensmble8
FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7438692098092643,0.7574931880108992,0.013623978201634857,4.999999999999992,tabpfnv3_results
FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7901907356948229,0.773841961852861,-0.016348773841961872,-6.000000000000007,iclv2_ensmble8
FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.720250998288648,0.7210496292070736,0.0007986309184255802,7.0000000000002105,tabpfnv3_results
FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7078151739874501,0.7005134055904164,-0.00730176839703367,-64.00000000000011,iclv2_ensmble8
FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7079292641186538,0.689218482601255,-0.0187107815173988,-164.00000000000048,iclv2_ensmble8
FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7247956403269755,0.7356948228882834,0.01089918256130784,3.999999999999978,tabpfnv3_results
FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.715687393040502,0.7108956075299486,-0.00479178551055337,-42.00000000000029,iclv2_ensmble8
