dataset_name,acc_full,task_type,acc_step,step,delta,delta_pp,winner
ASP-POTASSCO-classification,0.4401544401544401,multiclass,0.4401544401544401,1,0.0,0.0,tie
Bank_Customer_Churn_Dataset,0.877,binclass,0.877,1,0.0,0.0,tie
Customer_Personality_Analysis,0.8839285714285714,binclass,0.8839285714285714,1,0.0,0.0,tie
Employee,0.8528464017185822,binclass,0.8528464017185822,1,0.0,0.0,tie
FOREX_cadjpy-day-High,0.7166212534059946,binclass,0.7166212534059946,1,0.0,0.0,tie
Fitness_Club_c,0.7866666666666666,binclass,0.7866666666666666,1,0.0,0.0,tie
Gender_Gap_in_Spanish_WP,0.6063157894736843,multiclass,0.6063157894736843,1,0.0,0.0,tie
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.8639455782312925,binclass,0.8639455782312925,1,0.0,0.0,tie
JapaneseVowels,0.9989964877069744,multiclass,0.9989964877069744,1,0.0,0.0,tie
MagicTelescope,0.8848580441640379,binclass,0.8848580441640379,1,0.0,0.0,tie
National_Health_and_Nutrition_Health_Survey,0.8399122807017544,binclass,0.8399122807017544,1,0.0,0.0,tie
Pima_Indians_Diabetes_Database,0.7467532467532467,binclass,0.7467532467532467,1,0.0,0.0,tie
QSAR_biodegradation,0.8862559241706162,binclass,0.8862559241706162,1,0.0,0.0,tie
Satellite,0.9931372549019608,binclass,0.9931372549019608,1,0.0,0.0,tie
Water_Quality_and_Potability,0.6417682926829268,binclass,0.6417682926829268,1,0.0,0.0,tie
ada_prior,0.8411829134720701,binclass,0.8411829134720701,1,0.0,0.0,tie
allrep,0.9854304635761588,multiclass,0.9854304635761588,1,0.0,0.0,tie
autoUniv-au4-2500,0.522,multiclass,0.52,1,0.0020000000000000018,0.20000000000000018,full_training
banknote_authentication,0.5490909090909091,binclass,0.5490909090909091,1,0.0,0.0,tie
churn,0.952,binclass,0.952,1,0.0,0.0,tie
compass,0.8269750675878642,binclass,0.8266746770802043,1,0.00030039050765995334,0.030039050765995334,full_training
delta_ailerons,0.9509116409537168,binclass,0.9509116409537168,1,0.0,0.0,tie
drug_consumption,0.403183023872679,multiclass,0.403183023872679,1,0.0,0.0,tie
eye_movements_bin,0.6254927726675427,binclass,0.6248357424441524,1,0.0006570302233902536,0.06570302233902536,full_training
hill-valley,0.9300411522633744,binclass,0.9300411522633744,1,0.0,0.0,tie
ibm-employee-performance,1.0,binclass,1.0,1,0.0,0.0,tie
internet_usage,0.5296735905044511,multiclass,0.5296735905044511,1,0.0,0.0,tie
kc1,0.8815165876777251,binclass,0.8815165876777251,1,0.0,0.0,tie
kropt,0.852815395580898,multiclass,0.852815395580898,1,0.0,0.0,tie
letter,0.98625,multiclass,0.98625,1,0.0,0.0,tie
