dataset_name,task_type,baseline_acc,n_classes,up_count,down_count,flat_count,first_up_step,last_up_step,best_step,best_acc,best_delta_pp,up_steps,first_down_step,last_down_step,worst_step,worst_acc,worst_delta_pp,down_steps,flat_steps,final_step,final_delta_pp,pattern,delta_pp_step1,delta_pp_step2,delta_pp_step3,delta_pp_step4,delta_pp_step5,delta_pp_step10,delta_pp_step20,delta_pp_step30,delta_pp_step40,delta_pp_step50
ASP-POTASSCO-classification,multiclass,0.4401544401544401,11,0,0,10,,,1,0.4401544401544401,0.0,,,,1,0.4401544401544401,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon_employee_access,binclass,0.9443088190418064,2,2,2,6,3,4,3,0.9446139761977418,0.030515715593537607,"3,4",5,10,5,0.9440036618858711,-0.030515715593526505,"5,10","1,2,20,30,40,50",50,0.0,mixed_ended_flat,0.0,0.0,0.030515715593537607,0.030515715593537607,-0.030515715593526505,-0.015257857796757701,0.0,0.0,0.0,0.0
BLE_RSSI_dataset_for_Indoor_localization,multiclass,0.7406109163745619,3,0,9,1,,,1,0.7406109163745619,0.0,,2,50,20,0.7376064096144216,-0.3004506760140302,"2,3,4,5,10,20,30,40,50",1,50,-0.10015022533801377,nonpositive_decline,0.0,-0.050075112669012434,-0.050075112669012434,-0.10015022533801377,-0.1502253380070151,-0.1502253380070151,-0.3004506760140302,-0.20030045067601643,-0.1502253380070151,-0.10015022533801377
BNG(breast-w),binclass,0.9883159766319533,2,4,1,5,5,50,5,0.9884429768859536,0.012700025400036452,"5,30,40,50",20,20,20,0.9881889763779528,-0.012700025400047554,20,"1,2,3,4,10",50,0.012700025400036452,mixed_recovered_to_gain,0.0,0.0,0.0,0.0,0.012700025400036452,0.0,-0.012700025400047554,0.012700025400036452,0.012700025400036452,0.012700025400036452
BNG(cmc),multiclass,0.58625678119349,3,10,0,0,1,50,20,0.5884267631103074,0.21699819168173873,"1,2,3,4,5,10,20,30,40,50",,,1,0.5863471971066908,0.009041591320080311,,,50,0.14466546112116285,all_steps_up,0.009041591320080311,0.02712477396021873,0.009041591320080311,0.01808318264014952,0.03616636528029904,0.13562386980109364,0.21699819168173873,0.14466546112116285,0.21699819168173873,0.14466546112116285
BNG(tic-tac-toe),binclass,0.8150876301752603,2,5,4,1,1,10,3,0.8157226314452629,0.06350012700025998,"1,3,4,5,10",20,50,50,0.8129286258572517,-0.21590043180086393,"20,30,40,50",2,50,-0.21590043180086393,mixed_ended_in_decline,0.012700025400058657,0.0,0.06350012700025998,0.05080010160021242,0.06350012700025998,0.02540005080010621,-0.06350012700024887,-0.08890017780035508,-0.1397002794005564,-0.21590043180086393
Bank_Customer_Churn_Dataset,binclass,0.877,2,2,4,4,5,10,5,0.8775,0.04999999999999449,"5,10",20,50,30,0.8755,-0.15000000000000568,"20,30,40,50","1,2,3,4",50,-0.050000000000005596,mixed_ended_in_decline,0.0,0.0,0.0,0.0,0.04999999999999449,0.04999999999999449,-0.10000000000000009,-0.15000000000000568,-0.15000000000000568,-0.050000000000005596
Basketball_c,binclass,0.7126865671641791,2,0,5,5,,,1,0.7126865671641791,0.0,,10,50,10,0.7089552238805971,-0.3731343283582045,"10,20,30,40,50","1,2,3,4,5",50,-0.3731343283582045,nonpositive_decline,0.0,0.0,0.0,0.0,0.0,-0.3731343283582045,-0.3731343283582045,-0.3731343283582045,-0.3731343283582045,-0.3731343283582045
California-Housing-Classification,binclass,0.9127906976744186,2,2,3,5,10,20,20,0.9132751937984496,0.04844961240310086,"10,20",30,50,40,0.912063953488372,-0.07267441860465684,"30,40,50","1,2,3,4,5",50,-0.07267441860465684,mixed_ended_in_decline,0.0,0.0,0.0,0.0,0.0,0.02422480620154488,0.04844961240310086,-0.04844961240310086,-0.07267441860465684,-0.07267441860465684
Cardiovascular-Disease-dataset,binclass,0.7341428571428571,2,4,4,2,20,50,30,0.7345,0.03571428571429447,"20,30,40,50",1,4,3,0.7338571428571429,-0.028571428571422253,"1,2,3,4","5,10",50,0.028571428571433355,mixed_recovered_to_gain,-0.014285714285711126,-0.02142857142857224,-0.028571428571422253,-0.007142857142850012,0.0,0.0,0.014285714285722229,0.03571428571429447,0.03571428571429447,0.028571428571433355
Click_prediction_small,binclass,0.8320400500625782,2,0,10,0,,,1,0.8319148936170213,-0.012515644555688432,,1,50,3,0.8317897371714643,-0.025031289111387967,"1,2,3,4,5,10,20,30,40,50",,50,-0.025031289111387967,all_steps_down,-0.012515644555688432,-0.012515644555688432,-0.025031289111387967,-0.025031289111387967,-0.025031289111387967,-0.025031289111387967,-0.025031289111387967,-0.025031289111387967,-0.025031289111387967,-0.025031289111387967
Customer_Personality_Analysis,binclass,0.8839285714285714,2,2,0,8,40,50,50,0.8883928571428571,0.44642857142856984,"40,50",,,1,0.8839285714285714,0.0,,"1,2,3,4,5,10,20,30",50,0.44642857142856984,nonnegative_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22321428571429047,0.44642857142856984
