dataset_name,task_type,baseline_acc,best_acc,worst_acc,swing_pp
banknote_authentication,binclass,0.5490909090909091,0.5563636363636364,0.5163636363636364,4.0000000000000036
autoUniv-au7-1100,multiclass,0.4045454545454545,0.4227272727272727,0.3909090909090909,3.18181818181818
FOREX_audchf-day-High,binclass,0.7547683923705722,0.7574931880108992,0.7302452316076294,2.7247956403269713
FOREX_cadjpy-day-High,binclass,0.7166212534059946,0.7193460490463215,0.6948228882833788,2.4523160762942697
abalone,multiclass,0.6519138755980861,0.65311004784689,0.6291866028708134,2.392344497607657
sports_articles_for_objectivity_analysis,binclass,0.855,0.855,0.835,2.0000000000000018
artificial-characters,multiclass,0.8639921722113503,0.8825831702544031,0.8644814090019569,1.8101761252446225
autoUniv-au4-2500,multiclass,0.522,0.538,0.52,1.8000000000000016
jungle_chess_2pcs_raw_endgame_complete,multiclass,0.8624497991967871,0.8796296296296297,0.8621151271753681,1.751450245426156
mfeat-zernike,multiclass,0.8525,0.87,0.855,1.5000000000000013
turiye_student_evaluation,multiclass,0.5223367697594502,0.5352233676975945,0.520618556701031,1.4604810996563522
yeast,multiclass,0.6296296296296297,0.6296296296296297,0.6161616161616161,1.3468013468013518
eye_movements_bin,binclass,0.6254927726675427,0.6379763469119579,0.6248357424441524,1.3140604467805517
FOREX_audusd-hour-High,binclass,0.6816885339418141,0.6956075299486595,0.6827153451226469,1.289218482601262
FOREX_audsgd-hour-High,binclass,0.6838562464346833,0.6990302338847689,0.6861380490587564,1.289218482601251
compass,binclass,0.8266746770802043,0.8392910784019225,0.8266746770802043,1.2616401321718262
website_phishing,multiclass,0.911439114391144,0.922509225092251,0.911439114391144,1.1070110701106972
FOREX_audcad-day-High,binclass,0.7438692098092643,0.7465940054495913,0.7356948228882834,1.0899182561307952
satimage,multiclass,0.9284603421461898,0.942457231726283,0.9315707620528773,1.0886469673405785
first-order-theorem-proving,multiclass,0.6372549019607843,0.6380718954248366,0.6274509803921569,1.06209150326797
mfeat-fourier,multiclass,0.885,0.8975,0.8875,1.0000000000000009
statlog,binclass,0.745,0.745,0.735,1.0000000000000009
eye_movements,multiclass,0.7148080438756855,0.7248628884826326,0.7152650822669104,0.9597806215722149
QSAR_biodegradation,binclass,0.8862559241706162,0.8909952606635071,0.8815165876777251,0.9478672985781977
semeion,multiclass,0.9592476489028212,0.9592476489028212,0.9498432601880876,0.9404388714733591
PieChart3,binclass,0.875,0.8796296296296297,0.8703703703703703,0.92592592592593
golf_play_dataset_extended,binclass,0.9360730593607306,0.9360730593607306,0.9269406392694064,0.91324200913242
spambase,binclass,0.9598262757871878,0.9598262757871878,0.9511400651465798,0.8686210640608039
Diabetic_Retinopathy_Debrecen,binclass,0.7489177489177489,0.7532467532467533,0.7445887445887446,0.8658008658008698
GesturePhaseSegmentationProcessed,multiclass,0.7863291139240506,0.7984810126582278,0.789873417721519,0.8607594936708818
hill-valley,binclass,0.9300411522633744,0.934156378600823,0.925925925925926,0.8230452674896971
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,0.6025,0.6125,0.605,0.7500000000000062
mfeat-morphological,multiclass,0.76,0.7625,0.755,0.7499999999999951
rl,binclass,0.8541247484909457,0.8601609657947686,0.8531187122736419,0.7042253521126751
waveform_database_generator,multiclass,0.356,0.36,0.353,0.7000000000000006
waveform-5000,multiclass,0.866,0.873,0.866,0.7000000000000006
cmc,multiclass,0.5898305084745763,0.5898305084745763,0.5830508474576271,0.6779661016949157
contraceptive_method_choice,multiclass,0.6271186440677966,0.6305084745762712,0.6237288135593221,0.6779661016949157
Fitness_Club_c,binclass,0.7866666666666666,0.7933333333333333,0.7866666666666666,0.666666666666671
FOREX_audjpy-hour-High,binclass,0.7086138049058757,0.7148887621220764,0.7082715345122647,0.661722760981176
Gender_Gap_in_Spanish_WP,multiclass,0.6052631578947368,0.611578947368421,0.6052631578947368,0.6315789473684164
splice,multiclass,0.9561128526645768,0.962382445141066,0.9561128526645768,0.6269592476489172
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,0.66875,0.675,0.66875,0.6250000000000089
wine-quality-red,multiclass,0.66875,0.671875,0.665625,0.6249999999999978
led7,multiclass,0.7375,0.74375,0.7375,0.6249999999999978
wine-quality-white,multiclass,0.6826530612244898,0.6887755102040817,0.6826530612244898,0.612244897959191
Water_Quality_and_Potability,binclass,0.6417682926829268,0.6432926829268293,0.6371951219512195,0.6097560975609762
Pumpkin_Seeds,binclass,0.872,0.874,0.868,0.6000000000000005
internet_firewall,multiclass,0.9310292210269322,0.9310292210269322,0.9250782024872206,0.5951018539711583
in_vehicle_coupon_recommendation,binclass,0.7906976744186046,0.795821836815136,0.7899093417422152,0.5912495072920798
vehicle,multiclass,0.8588235294117647,0.8647058823529412,0.8588235294117647,0.5882352941176561
car-evaluation,multiclass,0.9739884393063584,0.9826589595375722,0.976878612716763,0.578034682080919
phoneme,binclass,0.9037927844588344,0.902867715078631,0.8973172987974098,0.5550416281221104
FOREX_audjpy-day-High,binclass,0.7656675749318801,0.771117166212534,0.7656675749318801,0.544959128065392
thyroid-dis,multiclass,0.6910714285714286,0.6964285714285714,0.6910714285714286,0.5357142857142838
house_16H,binclass,0.890659747961453,0.890659747961453,0.885470719051149,0.5189028910303928
mfeat-factors,multiclass,0.975,0.9775,0.9725,0.5000000000000004
qsar,binclass,0.90521327014218,0.909952606635071,0.90521327014218,0.4739336492891044
dna,multiclass,0.9655172413793104,0.9655172413793104,0.9608150470219436,0.470219435736674
pc1,binclass,0.9414414414414416,0.945945945945946,0.9414414414414416,0.45045045045044585
Customer_Personality_Analysis,binclass,0.8839285714285714,0.8883928571428571,0.8839285714285714,0.44642857142856984
gina_agnostic,binclass,0.9279538904899136,0.930835734870317,0.926512968299712,0.4322766570605041
FOREX_cadjpy-hour-High,binclass,0.7007415858528238,0.7043924700513405,0.7002852253280091,0.410724472333146
waveform_database_generator_version_1,multiclass,0.866,0.867,0.863,0.40000000000000036
FOREX_audcad-hour-High,binclass,0.7120365088419852,0.7153451226468911,0.7113519680547633,0.399315459212779
thyroid-ann,multiclass,0.9880794701986756,0.9933774834437086,0.9894039735099338,0.3973509933774766
wine,binclass,0.7749510763209393,0.7749510763209393,0.7710371819960861,0.3913894324853229
Basketball_c,binclass,0.7126865671641791,0.7126865671641791,0.7089552238805971,0.3731343283582045
wall-robot-navigation,multiclass,0.9862637362637364,0.98992673992674,0.9862637362637364,0.3663003663003539
electricity,binclass,0.9037846187796535,0.906874103497738,0.9032329250799956,0.36411784177423634
telco-customer-churn,binclass,0.8048261178140526,0.8069552874378992,0.8034066713981547,0.35486160397445454
FICO-HELOC-cleaned,binclass,0.7448101265822785,0.7468354430379747,0.7432911392405064,0.35443037974682845
pc4,binclass,0.9143835616438356,0.9143835616438356,0.910958904109589,0.3424657534246589
predict_students_dropout_and_academic_success,multiclass,0.7627118644067796,0.7649717514124293,0.7615819209039548,0.3389830508474523
microaggregation2,multiclass,0.6405,0.6405,0.63725,0.3249999999999975
Employee,binclass,0.8528464017185822,0.8528464017185822,0.849624060150376,0.3222341568206222
madeline,binclass,0.7531847133757962,0.7547770700636943,0.7515923566878981,0.31847133757961776
led24,multiclass,0.734375,0.7359375,0.7328125,0.31250000000000444
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,0.68125,0.68125,0.678125,0.31250000000000444
MIC,binclass,0.9090909090909092,0.9090909090909092,0.906060606060606,0.3030303030303161
BLE_RSSI_dataset_for_Indoor_localization,multiclass,0.7406109163745619,0.7406109163745619,0.7376064096144216,0.3004506760140302
Telecom_Churn_Dataset,binclass,0.9550224887556222,0.9550224887556222,0.952023988005997,0.2998500749625266
KDDCup09_upselling,binclass,0.8118908382066277,0.8148148148148148,0.8118908382066277,0.29239766081871066
BNG(tic-tac-toe),binclass,0.8150876301752603,0.8157226314452629,0.8129286258572517,0.2794005588011239
Firm-Teacher_Clave-Direction_Classification,multiclass,0.8782407407407408,0.8782407407407408,0.875462962962963,0.2777777777777768
jm1,binclass,0.8213137344970143,0.8231511254019293,0.8203950390445567,0.2756086357372567
E-CommereShippingData,binclass,0.6781818181818182,0.6781818181818182,0.6754545454545454,0.27272727272728003
dry_bean_dataset,multiclass,0.927653323540213,0.929122291590158,0.9265515975027544,0.25706940874036244
online_shoppers,binclass,0.9042984590429846,0.9047039740470396,0.9022708840227088,0.24330900243307862
kc1,binclass,0.8815165876777251,0.8838862559241706,0.8815165876777251,0.23696682464454666
estimation_of_obesity_levels,multiclass,0.9858156028368794,0.9858156028368794,0.983451536643026,0.23640661938534313
Marketing_Campaign,binclass,0.890625,0.890625,0.8883928571428571,0.22321428571429047
National_Health_and_Nutrition_Health_Survey,binclass,0.8399122807017544,0.8399122807017544,0.8377192982456141,0.21929824561403022
