dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7406109163745619,0.630218505859375,2.6772477626800537,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8150876301752603,0.6858181953430176,19.008645057678223,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9127906976744186,0.49823617935180664,6.714113712310791,ok,
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.792,1.7806065082550049,111.15165758132935,ok,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6781818181818182,0.43230414390563965,2.8907456398010254,ok,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7438692098092643,0.35283899307250977,0.4371953010559082,ok,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7656675749318801,0.34123682975769043,0.39275145530700684,ok,
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.6816885339418141,0.6303493976593018,23.286025047302246,ok,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8782407407407408,0.4750707149505615,3.1152985095977783,ok,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.36612915992736816,0.46002864837646484,ok,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.7993215031315241,0.5204997062683105,6.392453193664551,ok,
Indian_pines,/home/crc00006699/zh/tabiclv2/data178/Indian_pines,multiclass,7315,1463,1829,220,8,0.9622744669218152,1.4927284717559814,11.215372085571289,ok,
MIC,/home/crc00006699/zh/tabiclv2/data178/MIC,binclass,1319,264,330,104,2,0.9090909090909091,0.5674049854278564,1.170243501663208,ok,
Mobile_Price_Classification,/home/crc00006699/zh/tabiclv2/data178/Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.94,0.36076927185058594,0.5316307544708252,ok,
PieChart3,/home/crc00006699/zh/tabiclv2/data178/PieChart3,binclass,861,173,216,37,2,0.875,0.5609714984893799,0.7397828102111816,ok,
Pumpkin_Seeds,/home/crc00006699/zh/tabiclv2/data178/Pumpkin_Seeds,binclass,2000,400,500,12,2,0.872,0.34388089179992676,0.5485992431640625,ok,
SDSS17,/home/crc00006699/zh/tabiclv2/data178/SDSS17,multiclass,80000,16000,20000,12,3,0.9762,1.0477042198181152,106.15025877952576,ok,
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data178/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5421245421245421,0.4650278091430664,2.3061394691467285,ok,
abalone,/home/crc00006699/zh/tabiclv2/data178/abalone,multiclass,3341,669,836,8,3,0.6519138755980861,0.37078237533569336,0.9034225940704346,ok,
ada_agnostic,/home/crc00006699/zh/tabiclv2/data178/ada_agnostic,binclass,3649,730,913,48,2,0.8400876232201533,0.4654519557952881,1.847543478012085,ok,
allbp,/home/crc00006699/zh/tabiclv2/data178/allbp,multiclass,3017,604,755,29,3,0.9788079470198675,0.4310293197631836,1.1189093589782715,ok,
artificial-characters,/home/crc00006699/zh/tabiclv2/data178/artificial-characters,multiclass,8174,1635,2044,7,10,0.8639921722113503,0.40114426612854004,2.4244563579559326,ok,
bank,/home/crc00006699/zh/tabiclv2/data178/bank,binclass,36168,7234,9043,16,2,0.9089903792989052,0.8194398880004883,25.779200315475464,ok,
car-evaluation,/home/crc00006699/zh/tabiclv2/data178/car-evaluation,multiclass,1382,277,346,21,4,0.9739884393063584,0.4070861339569092,0.5514791011810303,ok,
company_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data178/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9706744868035191,0.7475132942199707,3.9966936111450195,ok,
credit,/home/crc00006699/zh/tabiclv2/data178/credit,binclass,13371,2675,3343,10,2,0.7828297935985642,0.44783854484558105,5.041871547698975,ok,
default_of_credit_card_clients,/home/crc00006699/zh/tabiclv2/data178/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.8261666666666667,0.8290727138519287,14.00501275062561,ok,
dna,/home/crc00006699/zh/tabiclv2/data178/dna,multiclass,2548,510,638,180,3,0.9655172413793104,0.928764820098877,3.4705402851104736,ok,
eeg-eye-state,/home/crc00006699/zh/tabiclv2/data178/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9913217623497997,0.4804403781890869,4.585281133651733,ok,
eye_movements,/home/crc00006699/zh/tabiclv2/data178/eye_movements,multiclass,8748,1750,2188,27,3,0.7148080438756855,0.5552878379821777,3.63812518119812,ok,
gas-drift,/home/crc00006699/zh/tabiclv2/data178/gas-drift,multiclass,11128,2226,2782,128,6,0.9964054636951833,1.5389599800109863,11.846112728118896,ok,
heloc,/home/crc00006699/zh/tabiclv2/data178/heloc,binclass,8000,1600,2000,22,2,0.7255,0.4704298973083496,3.021764039993286,ok,
htru,/home/crc00006699/zh/tabiclv2/data178/htru,binclass,14318,2864,3580,8,2,0.9793296089385475,0.5406637191772461,5.408951044082642,ok,
internet_firewall,/home/crc00006699/zh/tabiclv2/data178/internet_firewall,multiclass,52425,10485,13107,7,4,0.9310292210269322,0.5556683540344238,46.63591432571411,ok,
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data178/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.8624497991967871,0.5121057033538818,23.584383010864258,ok,
kr-vs-k,/home/crc00006699/zh/tabiclv2/data178/kr-vs-k,multiclass,22444,4489,5612,6,18,0.8508553100498931,0.48086118698120117,24.13630962371826,ok,
led7,/home/crc00006699/zh/tabiclv2/data178/led7,multiclass,2560,512,640,7,10,0.7375,0.35001277923583984,0.6779232025146484,ok,
mammography,/home/crc00006699/zh/tabiclv2/data178/mammography,binclass,8946,1790,2237,6,2,0.9888243182834153,0.38842129707336426,2.056993246078491,ok,
mfeat-fourier,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier,multiclass,1600,320,400,76,10,0.885,0.4537379741668701,1.1365127563476562,ok,
mfeat-pixel,/home/crc00006699/zh/tabiclv2/data178/mfeat-pixel,multiclass,1600,320,400,240,10,0.975,1.03774094581604,2.5624771118164062,ok,
microaggregation2,/home/crc00006699/zh/tabiclv2/data178/microaggregation2,multiclass,16000,3200,4000,20,5,0.6405,0.5453312397003174,7.459028005599976,ok,
naticusdroid+android+permissions+dataset,/home/crc00006699/zh/tabiclv2/data178/naticusdroid+android+permissions+dataset,binclass,23465,4693,5867,86,2,0.9710243736151355,2.033097267150879,22.097973346710205,ok,
one-hundred-plants-margin,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-margin,multiclass,1280,256,320,64,100,0.909375,0.4495551586151123,3.6825344562530518,ok,
online_shoppers,/home/crc00006699/zh/tabiclv2/data178/online_shoppers,binclass,9864,1973,2466,14,2,0.9042984590429846,0.46001172065734863,3.556631565093994,ok,
page-blocks,/home/crc00006699/zh/tabiclv2/data178/page-blocks,multiclass,4378,876,1095,10,5,0.9789954337899544,0.37078094482421875,1.215123176574707,ok,
pc4,/home/crc00006699/zh/tabiclv2/data178/pc4,binclass,1166,234,292,37,2,0.9143835616438356,0.3810710906982422,0.5600807666778564,ok,
pol,/home/crc00006699/zh/tabiclv2/data178/pol,binclass,8065,1613,2017,26,2,0.9836390679226574,0.45785069465637207,3.164457082748413,ok,
rice_cammeo_and_osmancik,/home/crc00006699/zh/tabiclv2/data178/rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.9291338582677166,0.35629796981811523,0.7172019481658936,ok,
satimage,/home/crc00006699/zh/tabiclv2/data178/satimage,multiclass,5144,1029,1286,36,6,0.9284603421461898,0.46839356422424316,2.2286250591278076,ok,
semeion,/home/crc00006699/zh/tabiclv2/data178/semeion,multiclass,1274,255,319,256,10,0.9592476489028213,0.7603421211242676,2.5367469787597656,ok,
splice,/home/crc00006699/zh/tabiclv2/data178/splice,multiclass,2552,511,638,60,3,0.9561128526645768,0.5190303325653076,1.4386885166168213,ok,
steel_plates_faults,/home/crc00006699/zh/tabiclv2/data178/steel_plates_faults,multiclass,1552,311,389,27,7,0.8380462724935732,0.37201547622680664,0.5980525016784668,ok,
telco-customer-churn,/home/crc00006699/zh/tabiclv2/data178/telco-customer-churn,binclass,5634,1127,1409,18,2,0.8048261178140526,0.4333200454711914,1.869156837463379,ok,
thyroid-ann,/home/crc00006699/zh/tabiclv2/data178/thyroid-ann,multiclass,3017,604,755,21,3,0.9880794701986755,0.48430371284484863,1.005803108215332,ok,
twonorm,/home/crc00006699/zh/tabiclv2/data178/twonorm,binclass,5920,1184,1480,20,2,0.9790540540540541,0.409146785736084,2.0531344413757324,ok,
walking-activity,/home/crc00006699/zh/tabiclv2/data178/walking-activity,multiclass,119465,23893,29867,4,22,0.6641443733886898,0.7436614036560059,364.9849166870117,ok,
waveform-5000,/home/crc00006699/zh/tabiclv2/data178/waveform-5000,multiclass,4000,800,1000,40,3,0.866,0.47137975692749023,1.816206932067871,ok,
website_phishing,/home/crc00006699/zh/tabiclv2/data178/website_phishing,multiclass,1082,217,271,9,3,0.9114391143911439,0.3441588878631592,0.3168349266052246,ok,
wine-quality-white,/home/crc00006699/zh/tabiclv2/data178/wine-quality-white,multiclass,3918,784,980,11,7,0.6826530612244898,0.3652529716491699,1.0825889110565186,ok,
