dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7386079118678017,22.012844800949097,1.4466514587402344,ok,,7987,5990,1997,1997,0.6098924875259399,30,2e-06,True,21.974106311798096,stratified,stratified split
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8141986283972568,246.31999826431274,19.275245904922485,ok,,31492,23619,7873,7874,0.38516998291015625,30,2e-06,True,245.9723198413849,stratified,stratified split
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9123062015503876,72.62375020980835,6.4529314041137695,ok,,16512,12384,4128,4128,0.4286580979824066,30,2e-06,True,72.48007273674011,stratified,stratified split
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,0,0,0,0,0,,0.0,0.0,fail,"RuntimeError: CUDA error: invalid configuration argument
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",0,0,0,0,,0,,False,0.0,,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,24.907310009002686,2.620286464691162,ok,,8799,6599,2200,2200,0.46468937397003174,30,2e-06,True,24.813613653182983,stratified,stratified split
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7411444141689373,2.032737970352173,0.3280792236328125,ok,,1467,1100,367,367,0.5021985769271851,30,2e-06,True,2.002469062805176,stratified,stratified split
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.771117166212534,2.029975175857544,0.30683135986328125,ok,,1465,1098,367,367,0.6899368166923523,30,2e-06,True,2.00197434425354,stratified,stratified split
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.6956075299486595,300.6733808517456,23.159136056900024,ok,,35060,26295,8765,8765,0.554402232170105,30,2e-06,True,300.33878898620605,stratified,stratified split
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8773148148148148,23.378340244293213,2.8746559619903564,ok,,8640,6480,2160,2160,0.2664479911327362,30,2e-06,True,23.2067813873291,stratified,stratified split
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,1.9858205318450928,0.40593981742858887,ok,,1280,960,320,320,0.43696069717407227,30,2e-06,True,1.9285998344421387,stratified,stratified split
