dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,1.3323395252227783,3.445371150970459,ok,,1035,776,259,259,,0,2e-06,False,0.782444953918457,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9883159766319533,17.077744960784912,18.705265283584595,ok,,31492,23619,7873,7874,0.0399074479937553,2,2e-06,True,16.801259756088257,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,1.8653264045715328,2.2598354816436768,ok,,8000,6000,2000,2000,0.3755723536014557,2,2e-06,True,1.7781939506530762,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7339285714285714,50.467108488082886,53.21849799156189,ok,,56000,42000,14000,14000,0.5876149535179138,2,2e-06,True,49.921748876571655,stratified,stratified split
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,0.657768964767456,0.5690219402313232,ok,,1792,1344,448,448,0.3051488101482391,2,2e-06,True,0.595604419708252,stratified,stratified split
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8506981740064447,0.8287191390991211,0.8201112747192383,ok,,3722,2791,931,931,0.5081365704536438,2,2e-06,True,0.7824435234069824,stratified,stratified split
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7120365088419852,20.989367485046387,23.08552098274231,ok,,35060,26295,8765,8765,0.5799975991249084,2,2e-06,True,20.682719945907596,stratified,stratified split
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7086138049058757,20.954986810684204,23.01734757423401,ok,,35060,26295,8765,8765,0.6912462711334229,2,2e-06,True,20.67700982093811,stratified,stratified split
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7138964577656676,0.5075886249542236,0.3686344623565674,ok,,1467,1100,367,367,0.6924244165420532,2,2e-06,True,0.4771864414215088,stratified,stratified split
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.7866666666666666,0.4638473987579345,0.1918807029724121,ok,,1200,900,300,300,0.525317370891571,2,2e-06,True,0.4388341903686523,stratified,stratified split
