dataset_name,dataset_dir,method,context_length,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_b,n_holdout_c,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_step_losses
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,baseline,10,multiclass,1035,207,259,141,11,,0.0,0.0,skip,ValueError: Cannot build a class-covering context because n_classes=11 exceeds context_length=10,0,0,,0,,False,0.0,,,
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,ttt,10,multiclass,1035,207,259,141,11,,0.0,0.0,skip,ValueError: Cannot build a class-covering context because n_classes=11 exceeds context_length=10,0,0,,0,,False,0.0,,,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,baseline,10,binclass,26215,5243,6554,7,2,0.9334757400061032,0.3888530731201172,2.8354713916778564,ok,,0,0,,0,,False,0.0,,,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,ttt,10,binclass,26215,5243,6554,7,2,0.9334757400061032,113.82833170890808,1.4700167179107666,ok,,19661,6554,0.1757053881883621,20,1e-05,True,113.78667306900024,stratified,stratified split,"[0.21576085686683655, 0.2019585520029068, 0.20044420659542084, 0.19748571515083313, 0.19414448738098145, 0.19304770231246948, 0.19257619976997375, 0.19147244095802307, 0.18998531997203827, 0.18883737921714783, 0.18761737644672394, 0.18638218939304352, 0.18536554276943207, 0.18423984944820404, 0.18312589824199677, 0.18168102204799652, 0.18021506071090698, 0.17854969203472137, 0.17683862149715424, 0.17570538818836212]"
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,baseline,10,multiclass,7987,1598,1997,3,3,0.3765648472709063,0.3680257797241211,0.2593042850494385,ok,,0,0,,0,,False,0.0,,,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,ttt,10,multiclass,7987,1598,1997,3,3,0.3790686029043565,13.618975639343262,0.3073973655700683,ok,,5990,1997,0.6105614900588989,20,1e-05,True,13.596962690353394,stratified,stratified split,"[0.638681173324585, 0.6616612076759338, 0.6411728858947754, 0.6230864524841309, 0.6248567700386047, 0.6229679584503174, 0.6179426908493042, 0.6179444193840027, 0.6165174841880798, 0.6149067282676697, 0.6147798895835876, 0.6142516136169434, 0.6131624579429626, 0.6126596927642822, 0.6125943660736084, 0.6121974587440491, 0.6114221811294556, 0.6111962795257568, 0.6107723712921143, 0.6105614900588989]"
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),baseline,10,binclass,31492,6299,7874,9,2,0.965963931927864,0.3378691673278808,1.9285705089569087,ok,,0,0,,0,,False,0.0,,,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),ttt,10,binclass,31492,6299,7874,9,2,0.9657099314198628,163.59716296195984,1.9868955612182615,ok,,23619,7873,0.0075267879292368,20,1e-05,True,163.54889965057373,stratified,stratified split,"[0.0405731126666069, 0.0382121205329895, 0.036481309682130814, 0.034746862947940826, 0.03332577645778656, 0.032236624509096146, 0.0309769120067358, 0.029616370797157288, 0.028322994709014893, 0.026940234005451202, 0.025426950305700302, 0.023906437680125237, 0.022246308624744415, 0.020359842106699944, 0.018411772325634956, 0.01627829670906067, 0.013996712863445282, 0.011602136306464672, 0.009352345019578934, 0.007526787929236889]"
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),baseline,10,multiclass,44236,8848,11060,9,3,0.377757685352622,0.3775644302368164,2.62914514541626,ok,,0,0,,0,,False,0.0,,,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),ttt,10,multiclass,44236,8848,11060,9,3,0.3764014466546112,308.9563899040222,2.706348180770874,ok,,33177,11059,0.8649851679801941,20,1e-05,True,308.8926956653595,stratified,stratified split,"[0.9176764488220215, 0.9073690176010132, 0.8964222073554993, 0.893548309803009, 0.8919525742530823, 0.8898811340332031, 0.8874732255935669, 0.8849363327026367, 0.8826721906661987, 0.8808529376983643, 0.8794286847114563, 0.8778724670410156, 0.8761813640594482, 0.8746702671051025, 0.8730831742286682, 0.8713591694831848, 0.8697441220283508, 0.868221640586853, 0.8667094111442566, 0.8649851679801941]"
