dataset_name,task_type,accuracy_ensemble,fit_seconds_ensemble,predict_seconds_ensemble,ttt_update_seconds_ensemble,accuracy_icl,fit_seconds_icl,predict_seconds_icl,ttt_update_seconds_icl,delta_ensemble_minus_icl,delta_pp,total_seconds_ensemble,total_seconds_icl,winner
eye_movements_bin,binclass,0.6747700394218134,55.146729707717896,2.311565399169922,55.02075529098511,0.6281208935611038,5.0972089767456055,1.9583652019500728,4.97042989730835,0.04664914586070956,4.664914586070957,57.45829510688782,7.055574178695679,ensemble
compass,binclass,0.878642234905377,203.3169915676117,5.727554321289063,203.0975215435028,0.8347852207870231,17.65207290649414,5.300164699554443,17.43485164642334,0.043857014118353854,4.385701411835385,209.04454588890076,22.952237606048584,ensemble
mfeat-zernike,multiclass,0.905,11.652193069458008,0.8394374847412109,11.551729440689089,0.8625,1.356877088546753,0.7282259464263916,1.2575979232788086,0.04249999999999998,4.249999999999998,12.491630554199219,2.0851030349731445,ensemble
hill-valley,binclass,0.9670781893004116,11.285787105560305,0.944038152694702,11.146308183670044,0.9300411522633744,1.4405734539031982,0.7292439937591553,1.2999277114868164,0.0370370370370372,3.70370370370372,12.229825258255007,2.1698174476623535,ensemble
eye_movements,multiclass,0.756398537477148,102.88049983978271,3.66237735748291,102.64758563041688,0.7193784277879341,9.436222314834597,3.432291269302368,9.196274995803831,0.037020109689213876,3.7020109689213876,106.54287719726562,12.868513584136965,ensemble
autoUniv-au4-2500,multiclass,0.558,22.213808059692383,1.66680908203125,21.963123559951782,0.522,2.5727553367614746,1.4481706619262695,2.3242335319519043,0.03600000000000003,3.600000000000003,23.880617141723633,4.020925998687744,ensemble
vehicle,multiclass,0.888235294117647,5.802511930465698,0.4266772270202636,5.768357276916504,0.8588235294117647,0.8663895130157471,0.3445067405700683,0.8308596611022949,0.02941176470588236,2.941176470588236,6.229189157485962,1.2108962535858154,ensemble
artificial-characters,multiclass,0.898238747553816,82.43718934059143,2.7929441928863525,82.36231470108032,0.8708414872798435,7.215044260025024,2.361956834793091,7.145111322402954,0.0273972602739726,2.73972602739726,85.23013353347778,9.577001094818115,ensemble
Pima_Indians_Diabetes_Database,binclass,0.7662337662337663,5.583172559738159,0.319575548171997,5.558885335922241,0.7467532467532467,0.7128853797912598,0.2686502933502197,0.6876616477966309,0.019480519480519543,1.9480519480519543,5.902748107910156,0.9815356731414795,ensemble
autoUniv-au7-1100,multiclass,0.4227272727272727,6.282572984695435,0.4959373474121094,6.247995615005493,0.4045454545454545,0.7950479984283447,0.410259485244751,0.7602512836456299,0.018181818181818188,1.8181818181818188,6.778510332107544,1.2053074836730957,ensemble
contraceptive_method_choice,multiclass,0.6406779661016949,7.088054656982422,0.3568329811096191,7.056198596954346,0.6237288135593221,0.8234596252441406,0.2443838119506836,0.7930116653442383,0.016949152542372836,1.6949152542372836,7.444887638092041,1.0678434371948242,ensemble
website_phishing,multiclass,0.92619926199262,6.712502956390381,0.3440485000610351,6.681385040283203,0.911439114391144,0.8046021461486816,0.2764415740966797,0.7739248275756836,0.014760147601476037,1.4760147601476037,7.056551456451416,1.0810437202453613,ensemble
GesturePhaseSegmentationProcessed,multiclass,0.8055696202531646,90.05749726295471,3.507164001464844,89.83971834182739,0.7939240506329114,8.102089881896973,3.274106025695801,7.886489152908325,0.011645569620253204,1.1645569620253204,93.56466126441956,11.376195907592773,ensemble
yeast,multiclass,0.632996632996633,7.001620531082153,0.3274903297424316,6.973238706588745,0.622895622895623,0.8089797496795654,0.243298053741455,0.783405065536499,0.010101010101010055,1.0101010101010055,7.329110860824585,1.0522778034210205,ensemble
mfeat-morphological,multiclass,0.765,8.513895988464355,0.4678788185119629,8.48948621749878,0.755,0.9373049736022948,0.35243821144104,0.912954330444336,0.010000000000000009,1.0000000000000009,8.981774806976318,1.2897431850433347,ensemble
qsar,binclass,0.914691943127962,6.52556300163269,0.7276096343994141,6.450372695922852,0.90521327014218,0.9414496421813964,0.7123777866363525,0.8654344081878662,0.009478672985781977,0.9478672985781977,7.2531726360321045,1.653827428817749,ensemble
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,0.678125,7.764822244644165,0.4695587158203125,7.705281019210815,0.66875,0.9863264560699464,0.4441256523132324,0.9280438423156738,0.009375000000000022,0.9375000000000022,8.234380960464478,1.4304521083831787,ensemble
car-evaluation,multiclass,0.9913294797687862,8.642874479293823,0.5467612743377686,8.572184085845947,0.9826589595375722,1.054525375366211,0.4819276332855224,0.9926812648773192,0.008670520231213952,0.8670520231213952,9.189635753631592,1.5364530086517334,ensemble
steel_plates_faults,multiclass,0.8457583547557841,9.683119058609009,0.606604814529419,9.61996340751648,0.8380462724935732,1.1373250484466553,0.5231022834777832,1.0752942562103271,0.007712082262210873,0.7712082262210873,10.289723873138428,1.6604273319244385,ensemble
ada_prior,binclass,0.8477546549835706,24.53117728233337,1.2168221473693848,24.460933208465576,0.8400876232201533,2.541601181030273,0.9745514392852784,2.4731040000915527,0.00766703176341732,0.766703176341732,25.747999429702755,3.5161526203155513,ensemble
Mobile_Price_Classification,multiclass,0.9475,9.4410502910614,0.5868451595306396,9.388492107391356,0.94,1.079106330871582,0.4645369052886963,1.0270893573760986,0.007500000000000062,0.7500000000000062,10.02789545059204,1.5436432361602783,ensemble
banknote_authentication,binclass,0.5563636363636364,4.0787434577941895,0.2880289554595947,4.059051275253296,0.5490909090909091,0.7628438472747803,0.1892886161804199,0.7449710369110107,0.0072727272727273196,0.727272727272732,4.366772413253784,0.9521324634552002,ensemble
waveform-5000,multiclass,0.876,33.084168434143066,1.87908935546875,32.94096922874451,0.869,3.404991388320923,1.7212836742401123,3.2620444297790527,0.007000000000000006,0.7000000000000006,34.963257789611816,5.126275062561035,ensemble
segment,multiclass,0.9415584415584416,10.93779969215393,0.5800023078918457,10.891345500946043,0.935064935064935,1.399510622024536,0.4532840251922607,1.3534367084503174,0.006493506493506551,0.6493506493506551,11.517802000045776,1.8527946472167967,ensemble
madeline,binclass,0.7611464968152867,56.658571004867554,4.622269153594971,56.06919765472412,0.7547770700636943,5.936850309371948,4.518911838531494,5.354533433914185,0.006369426751592355,0.6369426751592355,61.280840158462524,10.455762147903442,ensemble
predict_students_dropout_and_academic_success,multiclass,0.768361581920904,27.70004439353943,1.5027215480804443,27.54560136795044,0.7627118644067796,2.974554538726806,1.3082168102264404,2.821610689163208,0.005649717514124353,0.5649717514124353,29.202765941619873,4.282771348953247,ensemble
FOREX_cadjpy-day-High,binclass,0.7138964577656676,8.178714513778687,0.5007619857788086,8.14870810508728,0.7084468664850136,0.96425199508667,0.3664343357086181,0.9342234134674072,0.00544959128065392,0.544959128065392,8.679476499557495,1.330686330795288,ensemble
MagicTelescope,binclass,0.8882754994742377,248.7645447254181,6.464554071426392,248.6311161518097,0.8832807570977917,21.29445457458496,5.873544216156006,21.16277265548706,0.0049947423764459264,0.49947423764459264,255.22909879684448,27.167998790740967,ensemble
PieChart3,binclass,0.8796296296296297,6.942813396453857,0.7234475612640381,6.8768720626831055,0.875,1.039924144744873,0.6355745792388916,0.9749109745025636,0.00462962962962965,0.462962962962965,7.6662609577178955,1.6754987239837646,ensemble
waveform_database_generator_version_1,multiclass,0.869,28.966144561767575,1.4630894660949707,28.884917497634888,0.865,2.9900426864624023,1.2268073558807373,2.904276132583618,0.0040000000000000036,0.40000000000000036,30.429234027862545,4.21685004234314,ensemble
thyroid-ann,multiclass,0.9933774834437086,19.908939123153687,1.0809831619262695,19.84421944618225,0.9894039735099338,1.9955861568450928,0.8907556533813477,1.9289867877960205,0.003973509933774766,0.3973509933774766,20.989922285079956,2.8863418102264404,ensemble
wine,binclass,0.7788649706457925,6.4260618686676025,0.3530974388122558,6.4032487869262695,0.7749510763209393,1.2200722694396973,0.1844773292541504,1.1999809741973877,0.003913894324853229,0.3913894324853229,6.779159307479858,1.4045495986938477,ensemble
baseball,multiclass,0.9514925373134328,6.948192834854126,0.3626711368560791,6.905153274536133,0.9477611940298508,0.8629283905029297,0.2609913349151611,0.821774959564209,0.003731343283581934,0.3731343283581934,7.310863971710205,1.1239197254180908,ensemble
Firm-Teacher_Clave-Direction_Classification,multiclass,0.8805555555555555,93.25401949882507,3.218562364578247,93.08210229873656,0.8768518518518519,8.238432168960571,2.874096393585205,8.06633996963501,0.0037037037037036535,0.37037037037036535,96.47258186340332,11.112528562545776,ensemble
phoneme,binclass,0.9056429232192414,18.85895800590515,0.9053969383239746,18.82309317588806,0.9019426456984274,2.771209716796875,0.6344597339630127,2.735823154449463,0.0037002775208140326,0.37002775208140326,19.764354944229126,3.4056694507598877,ensemble
