dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7391086629944917,8.593618392944336,1.430232048034668,ok,,7987,5990,1997,1997,0.6154716610908508,10,2e-06,True,8.550940990447998,stratified,stratified split
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8153416306832614,82.72842240333557,19.298699140548706,ok,,31492,23619,7873,7874,0.3994164764881134,10,2e-06,True,82.36221194267273,stratified,stratified split
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9130329457364341,24.628108978271484,6.449357748031616,ok,,16512,12384,4128,4128,0.4652988910675049,10,2e-06,True,24.484629154205322,stratified,stratified split
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,0,0,0,0,0,,0.0,0.0,fail,"RuntimeError: CUDA error: invalid configuration argument
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",0,0,0,0,,0,,False,0.0,,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6759090909090909,8.610041618347168,2.6334726810455322,ok,,8799,6599,2200,2200,0.5209206938743591,10,2e-06,True,8.5192711353302,stratified,stratified split
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7411444141689373,0.9601850509643555,0.3276093006134033,ok,,1467,1100,367,367,0.5726471543312073,10,2e-06,True,0.9307858943939209,stratified,stratified split
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.771117166212534,0.9271697998046875,0.30525898933410645,ok,,1465,1098,367,367,0.6920716762542725,10,2e-06,True,0.9000444412231445,stratified,stratified split
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.689560752994866,100.85234999656677,23.179813385009766,ok,,35060,26295,8765,8765,0.570963978767395,10,2e-06,True,100.51860737800598,stratified,stratified split
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8768518518518519,8.238432168960571,2.874096393585205,ok,,8640,6480,2160,2160,0.32967138290405273,10,2e-06,True,8.06633996963501,stratified,stratified split
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.9481985569000244,0.40077996253967285,ok,,1280,960,320,320,0.49030718207359314,10,2e-06,True,0.8904335498809814,stratified,stratified split
