dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_gate_d,n_test_e,ttt_loss,ttt_steps,ttt_lr,ttt_update_ran,ttt_gate_passed,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,gate_baseline_accuracy,gate_adapted_accuracy,gate_accuracy_delta,gate_baseline_loss,gate_adapted_loss,gate_loss_delta,ttt_gate_threshold,ttt_gate_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9443088190418065,33.387704610824585,12.141246318817139,ok,,26215,15628,7290,3297,6554,0.1993212252855301,5,8.298362510761046e-06,True,False,False,20.438239574432373,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.9457082195935699,0.9457082195935699,0.0,0.16926167799795894,0.17025104014001963,0.0009893621420606902,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5869801084990959,84.08366870880127,34.3228018283844,ok,,44236,26371,12301,5564,11060,0.894195020198822,5,8.298362510761046e-06,True,True,True,55.690553426742554,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.5623652048885693,0.5627246585190511,0.00035945363048173196,0.8955196915028957,0.8941826764123607,-0.0013370150905349654,0.0,Gate passed: gate_accuracy_delta=0.000359 > threshold=0.000000
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,1.9472124576568604,0.2859342098236084,ok,,1072,639,298,135,268,0.5364336967468262,5,8.298362510761046e-06,True,False,False,0.5484302043914795,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6370370370370371,0.6222222222222222,-0.014814814814814836,0.5977676997110007,0.5996846069623851,0.001916907251384381,0.0,Gate rejected: gate_accuracy_delta=-0.014815 <= threshold=0.000000
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8320400500625782,36.05461835861206,7.049388885498047,ok,,31958,19052,8887,4019,7990,0.4383728802204132,5,8.298362510761046e-06,True,False,False,29.51442861557007,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8305548643941278,0.8305548643941278,0.0,0.4447802440726652,0.44416724170795024,-0.0006130023647149541,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7489177489177489,1.9298794269561768,0.5393118858337402,ok,,920,548,256,116,231,0.4822438955307007,5,8.298362510761046e-06,True,False,False,0.5535378456115723,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6810344827586207,0.6810344827586207,0.0,0.5880864216528205,0.5769333616453088,-0.011153060007511706,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7448101265822785,7.059794902801514,2.9816701412200928,ok,,7896,4707,2196,993,1975,0.5708368420600891,5,8.298362510761046e-06,True,False,False,3.05189847946167,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7391742195367573,0.7391742195367573,0.0,0.5360605340120673,0.534877634562189,-0.0011828994498783718,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7547683923705722,2.1452600955963135,0.3606736660003662,ok,,1466,874,408,184,367,0.5342692136764526,5,8.298362510761046e-06,True,False,False,0.5896062850952148,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7391304347826086,0.7391304347826086,0.0,0.5599251422647794,0.5697721869531721,0.009847044688392703,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6953793496862521,55.244086027145386,23.24707555770874,ok,,35060,20901,9749,4410,8765,0.594891369342804,5,8.298362510761046e-06,True,True,True,35.3099570274353,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6829931972789116,0.7022675736961451,0.019274376417233507,0.5929247902020539,0.5729878640781952,-0.019936926123858667,0.0,Gate passed: gate_accuracy_delta=0.019274 > threshold=0.000000
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7007415858528238,55.5010130405426,23.140145778656006,ok,,35060,20901,9749,4410,8765,0.6898419260978699,5,8.298362510761046e-06,True,False,False,35.18791937828064,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6866213151927437,0.6861678004535148,-0.00045351473922894403,0.5897847063341445,0.5929482842259155,0.003163577891771019,0.0,Gate rejected: gate_accuracy_delta=-0.000454 <= threshold=0.000000
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.66875,2.2211813926696777,0.41134166717529297,ok,,1280,763,356,161,320,0.6199805736541748,5,8.298362510761046e-06,True,False,False,0.6054012775421143,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6086956521739131,0.6086956521739131,0.0,0.6826376183524063,0.6756576415713915,-0.006979976781014807,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.7979746835443038,7.34006929397583,3.1471245288848877,ok,,7898,4709,2196,993,1975,0.6696230173110962,5,8.298362510761046e-06,True,True,True,3.2112841606140137,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7311178247734139,0.743202416918429,0.012084592145015116,0.7446576559410559,0.7141405046606698,-0.030517151280386123,0.0,Gate passed: gate_accuracy_delta=0.012085 > threshold=0.000000
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9021364576154376,42.52733111381531,17.896409511566162,ok,,29020,17300,8070,3650,7255,0.2986912429332733,5,8.298362510761046e-06,True,False,False,25.859914302825928,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8980821917808219,0.8980821917808219,0.0,0.24903477011862685,0.24877136635643182,-0.0002634037621950247,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
