step,common_dataset_count,down_count,down_rate,mean_decline_magnitude_pp,median_decline_magnitude_pp,max_decline_magnitude_pp,count_decline_ge_0_1pp,count_decline_ge_0_5pp,count_decline_ge_1_0pp
1,172,18,0.10465116279069768,0.1461345383262591,0.0479374391744225,1.0101010101010166,4,1,1
2,172,26,0.1511627906976744,0.15856790730111595,0.06307084538034191,1.0101010101010166,10,1,1
3,172,31,0.18023255813953487,0.14316692274110962,0.09186954524575963,1.0101010101010166,14,1,1
4,172,33,0.19186046511627908,0.1682280652901745,0.11961722488038617,1.0101010101010166,22,2,1
5,172,35,0.20348837209302326,0.20897470118894804,0.12048192771083599,1.3468013468013518,22,4,2
10,172,36,0.20930232558139536,0.26157097401119805,0.15323766900350866,1.6348773841961872,28,5,2
20,172,37,0.21511627906976744,0.3344575422523002,0.24999999999999467,1.6348773841961872,30,6,2
30,172,48,0.27906976744186046,0.364948514658137,0.2500000000000002,1.5000000000000013,40,9,4
40,172,44,0.2558139534883721,0.41405885406800924,0.29513888888888506,2.1798365122615793,36,11,4
50,172,47,0.27325581395348836,0.5404268180951729,0.2998500749625266,3.2727272727272716,40,13,5
