dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.44015444015444016,1.339672565460205,3.4872634410858154,ok,,1035,776,259,259,,0,2e-06,False,0.772496223449707,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9883159766319533,25.246684789657593,18.784614324569702,ok,,31492,23619,7873,7874,0.03934013843536377,3,2e-06,True,24.970798015594482,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,2.5537524223327637,2.2725677490234375,ok,,8000,6000,2000,2000,0.37005916237831116,3,2e-06,True,2.464493989944458,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7338571428571429,75.29226469993591,53.413737773895264,ok,,56000,42000,14000,14000,0.5834296941757202,3,2e-06,True,74.74865937232971,stratified,stratified split
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,0.7626428604125977,0.5814898014068604,ok,,1792,1344,448,448,0.3002319633960724,3,2e-06,True,0.7006468772888184,stratified,stratified split
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8506981740064447,1.0382604598999023,0.8219659328460693,ok,,3722,2791,931,931,0.5054806470870972,3,2e-06,True,0.9926719665527344,stratified,stratified split
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7113519680547633,31.12639594078064,23.15104341506958,ok,,35060,26295,8765,8765,0.5710986256599426,3,2e-06,True,30.817384719848633,stratified,stratified split
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7089560752994866,31.065819263458252,23.05885148048401,ok,,35060,26295,8765,8765,0.691024661064148,3,2e-06,True,30.785255193710327,stratified,stratified split
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7138964577656676,0.5674817562103271,0.36908841133117676,ok,,1467,1100,367,367,0.6921846866607666,3,2e-06,True,0.5387372970581055,stratified,stratified split
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.7866666666666666,0.5149037837982178,0.19075965881347656,ok,,1200,900,300,300,0.5198204517364502,3,2e-06,True,0.4901161193847656,stratified,stratified split
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6052631578947368,1.0605010986328125,0.9495315551757812,ok,,3796,2847,949,950,0.8363909721374512,3,2e-06,True,1.0117132663726807,stratified,stratified split
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8639455782312925,0.6185348033905029,0.3845510482788086,ok,,1176,882,294,294,0.2802480459213257,3,2e-06,True,0.552222728729248,stratified,stratified split
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,2.5753109455108643,2.465859889984131,ok,,7968,5976,1992,1993,0.012942984700202942,3,2e-06,True,2.4719059467315674,stratified,stratified split
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.8840694006309149,6.777850151062012,5.886765718460083,ok,,15216,11412,3804,3804,0.35394594073295593,3,2e-06,True,6.646241903305054,stratified,stratified split
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8377192982456141,0.7537515163421631,0.3499622344970703,ok,,1822,1366,456,456,0.424147367477417,3,2e-06,True,0.7266347408294678,stratified,stratified split
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7467532467532467,0.4838526248931885,0.2679159641265869,ok,,614,460,154,154,0.572594404220581,3,2e-06,True,0.4604799747467041,stratified,stratified split
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8862559241706162,0.6868166923522949,0.6293787956237793,ok,,843,632,211,211,0.3046753406524658,3,2e-06,True,0.574390172958374,stratified,stratified split
Satellite,/home/crc00006699/zh/tabiclv2/data178/Satellite,binclass,4080,816,1020,36,2,0.9931372549019608,1.3928465843200684,1.5769145488739014,ok,,4080,3060,1020,1020,0.03995492309331894,3,2e-06,True,1.2632453441619873,stratified,stratified split
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6417682926829268,0.7288224697113037,0.5807056427001953,ok,,2620,1965,655,656,0.6666468381881714,3,2e-06,True,0.6964478492736816,stratified,stratified split
accelerometer,/home/crc00006699/zh/tabiclv2/data178/accelerometer,multiclass,0,0,0,0,0,,0.0,0.0,fail,"RuntimeError: CUDA error: invalid configuration argument
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",0,0,0,0,,0,,False,0.0,,
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8411829134720701,1.0811033248901367,1.2073180675506592,ok,,3649,2736,913,913,0.36614155769348145,3,2e-06,True,1.013824462890625,stratified,stratified split
allrep,/home/crc00006699/zh/tabiclv2/data178/allrep,multiclass,3017,604,755,29,4,0.9854304635761589,1.043602705001831,0.9608016014099121,ok,,3017,2262,755,755,0.09464187175035477,3,2e-06,True,0.9380960464477539,stratified,stratified split
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.522,1.3448543548583984,1.4415099620819092,ok,,2000,1500,500,500,0.9081655740737915,3,2e-06,True,1.0940601825714111,stratified,stratified split
banknote_authentication,/home/crc00006699/zh/tabiclv2/data178/banknote_authentication,binclass,1097,220,275,4,2,0.5527272727272727,0.4849357604980469,0.10649228096008301,ok,,1097,822,275,275,0.685619056224823,3,2e-06,True,0.4672107696533203,stratified,stratified split
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.952,1.2188544273376465,1.167489767074585,ok,,4000,3000,1000,1000,0.2874917685985565,3,2e-06,True,1.1345787048339844,stratified,stratified split
