dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,1.3266823291778564,3.420123338699341,ok,,1035,776,259,259,,0,2e-06,False,0.765798807144165,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9884429768859536,41.55759358406067,18.828378438949585,ok,,31492,23619,7873,7874,0.0383773557841777,5,2e-06,True,41.27787923812866,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8775,3.901092290878296,2.286099433898926,ok,,8000,6000,2000,2000,0.3626874685287475,5,2e-06,True,3.813286542892456,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7341428571428571,125.1582863330841,53.62031054496765,ok,,56000,42000,14000,14000,0.5804589986801147,5,2e-06,True,124.61139559745789,stratified,stratified split
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,0.9293806552886964,0.603085994720459,ok,,1792,1344,448,448,0.2912557721138,5,2e-06,True,0.8626711368560791,stratified,stratified split
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8517722878625135,1.448450803756714,0.8363227844238281,ok,,3722,2791,931,931,0.5000165104866028,5,2e-06,True,1.4009089469909668,stratified,stratified split
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7122646891043924,51.398751735687256,23.173670291900635,ok,,35060,26295,8765,8765,0.5635207295417786,5,2e-06,True,51.08267211914063,stratified,stratified split
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7082715345122647,51.22449707984924,23.08350515365601,ok,,35060,26295,8765,8765,0.6909430623054504,5,2e-06,True,50.94111967086792,stratified,stratified split
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7111716621253406,0.6775145530700684,0.3696146011352539,ok,,1467,1100,367,367,0.6917650103569031,5,2e-06,True,0.6481168270111084,stratified,stratified split
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.79,0.5908255577087402,0.1921529769897461,ok,,1200,900,300,300,0.5117204189300537,5,2e-06,True,0.5654833316802979,stratified,stratified split
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6052631578947368,1.4876127243041992,0.9725756645202636,ok,,3796,2847,949,950,0.8327541947364807,5,2e-06,True,1.438013792037964,stratified,stratified split
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8639455782312925,0.726219892501831,0.3958921432495117,ok,,1176,882,294,294,0.2702291309833526,5,2e-06,True,0.6575019359588623,stratified,stratified split
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,3.95157241821289,2.4715735912323,ok,,7968,5976,1992,1993,0.010113432072103,5,2e-06,True,3.848530769348145,stratified,stratified split
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.8835436382754994,10.926944494247437,5.997679948806763,ok,,15216,11412,3804,3804,0.3467219471931457,5,2e-06,True,10.793988943099976,stratified,stratified split
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8377192982456141,0.888399600982666,0.3554615974426269,ok,,1822,1366,456,456,0.4118432402610779,5,2e-06,True,0.8609206676483154,stratified,stratified split
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7467532467532467,0.5487790107727051,0.268578290939331,ok,,614,460,154,154,0.5401294231414795,5,2e-06,True,0.52663254737854,stratified,stratified split
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8862559241706162,0.763084888458252,0.619408130645752,ok,,843,632,211,211,0.2921914756298065,5,2e-06,True,0.6496984958648682,stratified,stratified split
Satellite,/home/crc00006699/zh/tabiclv2/data178/Satellite,binclass,4080,816,1020,36,2,0.9931372549019608,1.951359748840332,1.5781936645507812,ok,,4080,3060,1020,1020,0.0344621390104293,5,2e-06,True,1.8212826251983645,stratified,stratified split
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6417682926829268,0.95300030708313,0.5576889514923096,ok,,2620,1965,655,656,0.6639691591262817,5,2e-06,True,0.9211382865905762,stratified,stratified split
accelerometer,/home/crc00006699/zh/tabiclv2/data178/accelerometer,multiclass,0,0,0,0,0,,0.0,0.0,fail,"RuntimeError: CUDA error: invalid configuration argument
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",0,0,0,0,,0,,False,0.0,,
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8411829134720701,1.49468731880188,0.976813793182373,ok,,3649,2736,913,913,0.3587427735328674,5,2e-06,True,1.4258537292480469,stratified,stratified split
allrep,/home/crc00006699/zh/tabiclv2/data178/allrep,multiclass,3017,604,755,29,4,0.9854304635761588,1.3738679885864258,0.9559099674224854,ok,,3017,2262,755,755,0.0892854779958725,5,2e-06,True,1.2667977809906006,stratified,stratified split
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.522,1.7194056510925293,1.4545483589172363,ok,,2000,1500,500,500,0.9041461944580078,5,2e-06,True,1.464855670928955,stratified,stratified split
banknote_authentication,/home/crc00006699/zh/tabiclv2/data178/banknote_authentication,binclass,1097,220,275,4,2,0.5527272727272727,0.5609846115112305,0.1074440479278564,ok,,1097,822,275,275,0.683422327041626,5,2e-06,True,0.5424880981445312,stratified,stratified split
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.952,1.7101585865020752,1.1703524589538574,ok,,4000,3000,1000,1000,0.2730380296707153,5,2e-06,True,1.6214194297790527,stratified,stratified split
compass,/home/crc00006699/zh/tabiclv2/data178/compass,binclass,13315,2663,3329,17,2,0.8299789726644639,9.173490524291992,5.295160293579102,ok,,13315,9986,3329,3329,0.3764315545558929,5,2e-06,True,8.954033613204956,stratified,stratified split
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data178/customer_satisfaction_in_airline,binclass,0,0,0,0,0,,0.0,0.0,fail,"RuntimeError: CUDA error: invalid configuration argument
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",0,0,0,0,,0,,False,0.0,,
delta_ailerons,/home/crc00006699/zh/tabiclv2/data178/delta_ailerons,binclass,5703,1141,1426,5,2,0.9516129032258064,2.2923097610473637,0.8737668991088867,ok,,5703,4277,1426,1426,0.1663721799850464,5,2e-06,True,2.25237250328064,stratified,stratified split
drug_consumption,/home/crc00006699/zh/tabiclv2/data178/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.6697969436645508,0.3663632869720459,ok,,1507,1130,377,377,1.5100486278533936,5,2e-06,True,0.635695219039917,stratified,stratified split
electricity,/home/crc00006699/zh/tabiclv2/data178/electricity,binclass,36249,7250,9063,8,2,0.9035639412997905,53.77995300292969,24.148850202560425,ok,,36249,27186,9063,9063,0.2822505831718445,5,2e-06,True,53.46592402458191,stratified,stratified split
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.6274638633377135,2.828850030899048,1.9583101272583008,ok,,6086,4564,1522,1522,0.6711264848709106,5,2e-06,True,2.7031683921813965,stratified,stratified split
gina_agnostic,/home/crc00006699/zh/tabiclv2/data178/gina_agnostic,binclass,2774,555,694,970,2,0.926512968299712,17.040958642959595,90.0962917804718,ok,,2774,2080,694,694,0.5671384930610657,5,2e-06,True,14.23361611366272,stratified,stratified split
hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley,binclass,969,194,243,100,2,0.9300411522633744,1.0416018962860107,0.7408757209777832,ok,,969,726,243,243,0.6417751908302307,5,2e-06,True,0.8947122097015381,stratified,stratified split
ibm-employee-performance,/home/crc00006699/zh/tabiclv2/data178/ibm-employee-performance,binclass,1176,236,294,30,2,1.0,0.740149974822998,0.398500919342041,ok,,1176,882,294,294,0.4258129894733429,5,2e-06,True,0.6674239635467529,stratified,stratified split
