dataset_name,accuracy_1c,n_train_1c,n_val_1c,n_test_1c,n_features_1c,n_classes_1c,accuracy_iclv2,n_train_iclv2,n_val_iclv2,n_test_iclv2,n_features_iclv2,n_classes_iclv2,delta_accuracy,tsne_png
autoUniv-au4-2500,0.716,2000,400,500,100,3,0.728,2000,400,500,100,3,-0.01200000000000001,autoUniv-au4-2500.png
cmc,0.5966101694915255,1178,236,295,9,3,0.6033898305084746,1178,236,295,9,3,-0.006779661016949157,cmc.png
wine-quality-red,0.675,1279,256,320,4,6,0.68125,1279,256,320,4,6,-0.006249999999999978,wine-quality-red.png
waveform_database_generator,0.348,3999,800,1000,21,3,0.354,3999,800,1000,21,3,-0.006000000000000005,waveform_database_generator.png
QSAR_biodegradation,0.8862559241706162,843,169,211,41,2,0.8909952606635071,843,169,211,41,2,-0.004739336492890933,QSAR_biodegradation.png
Water_Quality_and_Potability,0.6524390243902439,2620,524,656,8,2,0.6570121951219512,2620,524,656,8,2,-0.004573170731707266,Water_Quality_and_Potability.png
Gender_Gap_in_Spanish_WP,0.6105263157894737,3796,760,950,13,3,0.6147368421052631,3796,760,950,13,3,-0.004210526315789442,Gender_Gap_in_Spanish_WP.png
yeast,0.632996632996633,1187,238,297,8,10,0.6363636363636364,1187,238,297,8,10,-0.0033670033670033517,yeast.png
Fitness_Club_c,0.8,1200,240,300,6,2,0.8033333333333333,1200,240,300,6,2,-0.0033333333333332993,Fitness_Club_c.png
led24,0.73125,2560,512,640,24,10,0.734375,2560,512,640,24,10,-0.0031250000000000444,led24.png
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.675,1280,256,320,20,2,0.678125,1280,256,320,20,2,-0.0031249999999999334,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.png
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.68125,1280,256,320,20,2,0.684375,1280,256,320,20,2,-0.0031249999999999334,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001.png
ringnorm,0.977027027027027,5920,1184,1480,20,2,0.9797297297297296,5920,1184,1480,20,2,-0.002702702702702564,ringnorm.png
first-order-theorem-proving,0.6486928104575164,4894,979,1224,51,6,0.6511437908496732,4894,979,1224,51,6,-0.002450980392156854,first-order-theorem-proving.png
Pumpkin_Seeds,0.88,2000,400,500,12,2,0.882,2000,400,500,12,2,-0.0020000000000000018,Pumpkin_Seeds.png
credit,0.784026323661382,13371,2675,3343,10,2,0.7858211187556088,13371,2675,3343,10,2,-0.0017947950942267532,credit.png
Employee,0.8592910848549946,3722,745,931,8,2,0.8603651987110634,3722,745,931,8,2,-0.0010741138560688146,Employee.png
pol,0.9930589985126426,8065,1613,2017,26,2,0.9940505701536936,8065,1613,2017,26,2,-0.0009915716410510145,pol.png
PhishingWebsites,0.9796472184531886,8844,1769,2211,30,2,0.9805517865219358,8844,1769,2211,30,2,-0.0009045680687471691,PhishingWebsites.png
taiwanese_bankruptcy_prediction,0.9706744868035192,5455,1091,1364,95,2,0.9714076246334312,5455,1091,1364,95,2,-0.0007331378299120228,taiwanese_bankruptcy_prediction.png
Bank_Customer_Churn_Dataset,0.8745,8000,1600,2000,10,2,0.875,8000,1600,2000,10,2,-0.0004999999999999449,Bank_Customer_Churn_Dataset.png
mobile_c36_oversampling,0.9938176197836168,41408,8282,10352,6,2,0.9943006182380216,41408,8282,10352,6,2,-0.0004829984544048038,mobile_c36_oversampling.png
jm1,0.8194763435920992,8708,1742,2177,21,2,0.819935691318328,8708,1742,2177,21,2,-0.00045934772622879816,jm1.png
eeg-eye-state,0.9936582109479306,11984,2397,2996,14,2,0.9939919893190922,11984,2397,2996,14,2,-0.00033377837116155273,eeg-eye-state.png
BNG(breast-w),0.9879349758699516,31492,6299,7874,9,2,0.9880619761239524,31492,6299,7874,9,2,-0.0001270002540008086,BNG(breast-w).png
BNG(tic-tac-toe),0.8147066294132588,31492,6299,7874,9,2,0.8148336296672594,31492,6299,7874,9,2,-0.00012700025400058657,BNG(tic-tac-toe).png
